K,fitted_slope,theory_slope_1_over_2sqrtK,fitted_intercept,theory_intercept_-1_over_2sqrtK,R2
10000,0.005011838766553352,0.005,-0.005110809590058447,-0.005,0.9999995756114459
20000,0.003539703770754016,0.0035355339059327377,-0.0035745226513594895,-0.0035355339059327377,0.9999998949603378
30000,0.0028890182905483212,0.002886751345948129,-0.0029079402090277286,-0.002886751345948129,0.9999999534706004
50000,0.0022371205045469793,0.00223606797749979,-0.0022459031010681075,-0.00223606797749979,0.999999983293799
70000,0.0018904574842050152,0.0018898223650461359,-0.0018957564030491986,-0.0018898223650461359,0.9999999914861009
