a,K,PO_simulated_%
2,0.15,83.05186244427556
2,0.16746816956456112,82.3331185981593
2,0.18697058544869735,81.59836668640853
2,0.2087441447167181,80.84889115155276
2,0.2330533321535242,80.08641683084474
2,0.2601934329778159,79.3130072757372
2,0.2904941196900943,78.53082398485938
2,0.3243234566251242,77.74260990704866
2,0.362092370852406,76.95160501892735
2,0.4042596437329645,76.1607381461832
2,0.4513374837652079,75.37423568105585
2,0.5038977484135613,74.59636191016241
2,0.5625788904968189,73.8312813835168
2,0.6280937135144263,73.0849596079518
2,0.7012380301151255,72.36212059353886
2,0.7829003288829246,71.66834966540834
2,0.8740725668634419,71.01068464793406
2,0.9758622189281205,70.39438091460227
2,1.0895057303406892,69.82583881476114
2,1.216383535935037,69.31133791918045
2,1.3580368283433952,68.85604862007007
2,1.5161862789595362,68.46472034362007
2,1.6927529390417109,68.14294526410262
2,1.8898815748423101,67.89376182842881
2,2.1099667202175447,67.71952498326033
2,2.3556817631798186,67.62202818569061
2,2.6300114197089486,67.60189099591702
2,2.9362879892836697,67.65877922906188
2,3.278231832531611,67.79033610626692
2,3.659996562682306,67.99463643073224
2,4.08621949976661,68.26834153036944
2,4.56207800043287,68.60737609105155
2,5.093352347621641,69.0071385069626
2,5.6864959640237105,69.46345994131802
2,6.348713802208767,69.97136171067537
2,7.088049863634451,70.52481600545859
2,7.913484909634659,71.11968200939577
2,8.835045551288616,71.74956081180784
2,9.863926043292158,72.40965962852732
2,11.01262426126895,73.09713086092798
2,12.29509351424659,73.80462188552521
2,13.726912036373214,74.5297716816673
2,15.325472216701101,75.26704885660413
2,17.11019186562314,76.01255521005268
2,19.102750084229008,76.76331219683536
2,21.327350601700658,77.51868706397764
2,23.811015779523007,78.26969941255129
2,26.58391485379734,79.02040496043416
2,29.67973040283723,79.7644249846349
2,33.13606749155204,80.49972168157815
2,36.99491046251987,81.22606871209321
2,41.30313292242023,81.94002889265002
2,46.1130671186632,82.64089363976821
2,51.48313962246853,83.32736195754092
2,57.47858104007692,83.9984912974213
2,64.17221837299974,84.65320569639978
2,71.64535965215713,85.29106421782767
2,79.98878159160945,85.91131205520468
2,89.30383225897533,86.513379669224
2,99.7036621567414,87.09734291861477
2,111.31459866848591,87.66261920994761
2,124.27768056550038,88.20924743609817
2,138.75037121355723,88.73733358885838
2,154.90847129025207,89.24675917570826
2,172.94825424681923,89.7377027245291
2,193.08885045400774,90.21047342702009
2,215.5749089923864,90.66513256955666
2,240.67956942001206,91.10216695058119
2,268.7077796157074,91.5218182424284
2,300.0,91.92450587300931
5,0.15,81.5489311851103
5,0.16746816956456112,80.67529975317042
5,0.18697058544869735,79.76924780998336
5,0.2087441447167181,78.83048215241016
5,0.2330533321535242,77.858810801842
5,0.2601934329778159,76.8541513630107
5,0.2904941196900943,75.81654865577994
5,0.3243234566251242,74.74617976654957
5,0.362092370852406,73.64335503504185
5,0.4042596437329645,72.5085644893539
5,0.4513374837652079,71.34244887448895
5,0.5038977484135613,70.1458496558736
5,0.5625788904968189,68.91978542277755
5,0.6280937135144263,67.66552255601633
5,0.7012380301151255,66.3844922843143
5,0.7829003288829246,65.07839624434038
5,0.8740725668634419,63.74918057200589
5,0.9758622189281205,62.399062479665915
5,1.0895057303406892,61.030499836398214
5,1.216383535935037,59.64627089136745
5,1.3580368283433952,58.24942667352146
5,1.5161862789595362,56.843432982189924
5,1.6927529390417109,55.4320414359275
5,1.8898815748423101,54.01937970009178
5,2.1099667202175447,52.61000103608286
5,2.3556817631798186,51.209026257355376
5,2.6300114197089486,49.822042455793046
5,2.9362879892836697,48.45516426853567
5,3.278231832531611,47.115618810867275
5,3.659996562682306,45.811068676958875
5,4.08621949976661,44.55057702855847
5,4.56207800043287,43.34430830019143
5,5.093352347621641,42.203927469995946
5,5.6864959640237105,41.142747602589424
5,6.348713802208767,40.17556248179312
5,7.088049863634451,39.318773155570355
5,7.913484909634659,38.58928737009468
5,8.835045551288616,38.0038917763466
5,9.863926043292158,37.57765698494744
5,11.01262426126895,37.32228962590991
5,12.29509351424659,37.24501428033029
5,13.726912036373214,37.34766234802485
5,15.325472216701101,37.626923607028196
5,17.11019186562314,38.07502019890545
5,19.102750084229008,38.680900250518846
5,21.327350601700658,39.43119546531821
5,23.811015779523007,40.31143036500096
5,26.58391485379734,41.30704744419364
5,29.67973040283723,42.403230928307046
5,33.13606749155204,43.586090421978255
5,36.99491046251987,44.8426211009181
5,41.30313292242023,46.16036199997815
5,46.1130671186632,47.52829244432082
5,51.48313962246853,48.93550370381065
5,57.47858104007692,50.37379865304128
5,64.17221837299974,51.833699458249825
5,71.64535965215713,53.30765580158199
5,79.98878159160945,54.78859774075031
5,89.30383225897533,56.270835016132835
5,99.7036621567414,57.74817830415233
5,111.31459866848591,59.216001253550864
5,124.27768056550038,60.6697667520707
5,138.75037121355723,62.105392329793375
5,154.90847129025207,63.517571147726095
5,172.94825424681923,64.90920575317121
5,193.08885045400774,66.27083883327813
5,215.5749089923864,67.60635511165837
5,240.67956942001206,68.91076942965813
5,268.7077796157074,70.182534820316
5,300.0,71.42024377792198
9,0.15,84.16341583603027
9,0.16746816956456112,83.38301098678167
9,0.18697058544869735,82.57035831336582
9,0.2087441447167181,81.72476713024449
9,0.2330533321535242,80.84560330572053
9,0.2601934329778159,79.9322959034338
9,0.2904941196900943,78.98434271415444
9,0.3243234566251242,78.00132758955752
9,0.362092370852406,76.98292461283324
9,0.4042596437329645,75.9289087871877
9,0.4513374837652079,74.83917282627775
9,0.5038977484135613,73.71372543048393
9,0.5625788904968189,72.5527139151932
9,0.6280937135144263,71.3564301828609
9,0.7012380301151255,70.12532090438532
9,0.7829003288829246,68.85999503411297
9,0.8740725668634419,67.56124009113948
9,0.9758622189281205,66.23002357219308
9,1.0895057303406892,64.86750863449937
9,1.216383535935037,63.47505651587784
9,1.3580368283433952,62.05422376849887
9,1.5161862789595362,60.606801820719156
9,1.6927529390417109,59.13475969148656
9,1.8898815748423101,57.6403173952883
9,2.1099667202175447,56.12587202087782
9,2.3556817631798186,54.59407233213216
9,2.6300114197089486,53.047744826016995
9,2.9362879892836697,51.48994374859821
9,3.278231832531611,49.92391838246899
9,3.659996562682306,48.35310769778349
9,4.08621949976661,46.781149712509304
9,4.56207800043287,45.2118559338192
9,5.093352347621641,43.6492604730407
9,5.6864959640237105,42.09752156077664
9,6.348713802208767,40.56104653647397
9,7.088049863634451,39.04447895410059
9,7.913484909634659,37.55263977478991
9,8.835045551288616,36.09077612962848
9,9.863926043292158,34.66451031057902
9,11.01262426126895,33.28002710054137
9,12.29509351424659,31.9444546284805
9,13.726912036373214,30.665940267123904
9,15.325472216701101,29.454484187222384
9,17.11019186562314,28.322389172401664
9,19.102750084229008,27.285354680989006
9,21.327350601700658,26.363180263503814
9,23.811015779523007,25.58035017048157
9,26.58391485379734,24.965100840809274
9,29.67973040283723,24.546363649553715
9,33.13606749155204,24.34853393220355
9,36.99491046251987,24.386275491888032
9,41.30313292242023,24.66192366291482
9,46.1130671186632,25.16632560811738
9,51.48313962246853,25.88243662554639
9,57.47858104007692,26.788933923588143
9,64.17221837299974,27.862880241789647
9,71.64535965215713,29.081698976533232
9,79.98878159160945,30.42477247135682
9,89.30383225897533,31.87224258738437
9,99.7036621567414,33.40673581799174
9,111.31459866848591,35.01221707977895
9,124.27768056550038,36.67549518693747
9,138.75037121355723,38.38308020508685
9,154.90847129025207,40.12412066046915
9,172.94825424681923,41.88848296525707
9,193.08885045400774,43.666767155993846
9,215.5749089923864,45.45287732593173
9,240.67956942001206,47.23645363440825
9,268.7077796157074,49.014560776109505
9,300.0,50.77930552589096
20,0.15,88.19520017369081
20,0.16746816956456112,87.58837463350409
20,0.18697058544869735,86.95376107568131
20,0.2087441447167181,86.29044891201086
20,0.2330533321535242,85.59754379416165
20,0.2601934329778159,84.87416092744984
20,0.2904941196900943,84.1194412108429
20,0.3243234566251242,83.33255250402145
20,0.362092370852406,82.51269551936049
20,0.4042596437329645,81.65911527659226
20,0.4513374837652079,80.77110582338901
20,0.5038977484135613,79.84802050675673
20,0.5625788904968189,78.88928138408333
20,0.6280937135144263,77.89438592283014
20,0.7012380301151255,76.86292030561621
20,0.7829003288829246,75.79456630476658
20,0.8740725668634419,74.68911454887778
20,0.9758622189281205,73.54647487680724
20,1.0895057303406892,72.3666863223216
20,1.216383535935037,71.14992709270282
20,1.3580368283433952,69.89652662979562
20,1.5161862789595362,68.60697401128692
20,1.6927529390417109,67.28193041881838
20,1.8898815748423101,65.92223673241662
20,2.1099667202175447,64.52891935645691
20,2.3556817631798186,63.103200256384426
20,2.6300114197089486,61.64650182090485
20,2.9362879892836697,60.1604497778734
20,3.278231832531611,58.646877154179556
20,3.659996562682306,57.1078251866749
20,4.08621949976661,55.54553674246294
20,4.56207800043287,53.96245775387416
20,5.093352347621641,52.36123104347299
20,5.6864959640237105,50.74468070339682
20,6.348713802208767,49.11580689808903
20,7.088049863634451,47.477769349197516
20,7.913484909634659,45.8338719542797
20,8.835045551288616,44.18753976915524
20,9.863926043292158,42.54230056024184
20,11.01262426126895,40.901763122124926
20,12.29509351424659,39.269593536959405
20,13.726912036373214,37.649473471749914
20,15.325472216701101,36.04510222886545
20,17.11019186562314,34.46014095647709
20,19.102750084229008,32.898215046601244
20,21.327350601700658,31.36286407748321
20,23.811015779523007,29.8575308891319
20,26.58391485379734,28.385555750389347
20,29.67973040283723,26.950147224035568
20,33.13606749155204,25.554402682405232
20,36.99491046251987,24.20127188146075
20,41.30313292242023,22.89365446285725
20,46.1130671186632,21.634375143416396
20,51.48313962246853,20.42632958118249
20,57.47858104007692,19.272622945295304
20,64.17221837299974,18.17683626053721
20,71.64535965215713,17.143525054616738
20,79.98878159160945,16.179070011867267
20,89.30383225897533,15.293287617415153
