a,K,t,y
5,0.15,0.0,0.0
5,0.15,0.04001819008640291,0.00011400634204074454
5,0.15,0.08003638017280582,0.0004338774874038302
5,0.15,0.12005457025920872,0.0009309213203549836
5,0.15,0.16007276034561163,0.0015816067037565922
5,0.15,0.20009095043201452,0.0023666312533186643
5,0.15,0.24010914051841745,0.0032701574304680758
5,0.15,0.28012733060482037,0.004279186563218463
5,0.15,0.32014552069122326,0.0053830458915769715
5,0.15,0.36016371077762616,0.006572968230449217
5,0.15,0.40018190086402905,0.007841747527580451
5,0.15,0.440200090950432,0.00918345661338178
5,0.15,0.4802182810368349,0.010593215913651791
5,0.15,0.5202364711232378,0.012067003923645214
5,0.15,0.5602546612096407,0.01360150190331846
5,0.15,0.6002728512960436,0.015193966614991294
5,0.15,0.6402910413824465,0.016842126040264936
5,0.15,0.6803092314688495,0.018544093927211815
5,0.15,0.7203274215552523,0.020298299767968556
5,0.15,0.7603456116416553,0.022103431420724358
5,0.15,0.8003638017280581,0.02395838809312232
5,0.15,0.840381991814461,0.025862241816293142
5,0.15,0.880400181900864,0.02781420587651792
5,0.15,0.9204183719872668,0.02981360894830693
5,0.15,0.9604365620736698,0.03185987389949551
5,0.15,1.0004547521600726,0.03395250042482075
5,0.15,1.0404729422464756,0.03609105081674622
5,0.15,1.0804911323328785,0.03827513830710721
5,0.15,1.1205093224192815,0.04050441751541942
5,0.15,1.1605275125056844,0.04277857662349987
5,0.15,1.2005457025920871,0.04509733096472199
5,0.15,1.24056389267849,0.04746041777250258
5,0.15,1.280582082764893,0.04986759187873117
5,0.15,1.320600272851296,0.05231862219064092
5,0.15,1.360618462937699,0.05481328880558522
5,0.15,1.4006366530241017,0.05735138064855802
5,0.15,1.4406548431105046,0.0599326935380894
5,0.15,1.4806730331969076,0.0625570286031859
5,0.15,1.5206912232833105,0.06522419098794759
5,0.15,1.5607094133697135,0.06793398879193507
5,0.15,1.6007276034561162,0.07068623220373528
5,0.15,1.6407457935425191,0.07348073279285726
5,0.15,1.680763983628922,0.076317302931385
5,0.15,1.720782173715325,0.07919575532197329
5,0.15,1.760800363801728,0.0821159026129997
5,0.15,1.800818553888131,0.08507755708515016
5,0.15,1.8408367439745337,0.08808053039655434
5,0.15,1.8808549340609366,0.09112463337591269
5,0.15,1.9208731241473396,0.094209675854964
5,0.15,1.9608913142337425,0.0973354665332035
5,0.15,2.0009095043201452,0.10050181286904177
5,0.15,2.040927694406548,0.10370852099264379
5,0.15,2.080945884492951,0.10695539563654681
5,0.15,2.120964074579354,0.11024224008085962
5,0.15,2.160982264665757,0.11356885611042368
5,0.15,2.20100045475216,0.116935043981789
5,0.15,2.241018644838563,0.12034060239824508
5,0.15,2.281036834924966,0.12378532849146523
5,0.15,2.321055025011369,0.1272690178085827
5,0.15,2.3610732150977713,0.13079146430372987
5,0.15,2.4010914051841743,0.13435246033324688
5,0.15,2.4411095952705772,0.13795179665390958
5,0.15,2.48112778535698,0.1415892624236431
5,0.15,2.521145975443383,0.14526464520428428
5,0.15,2.561164165529786,0.14897773096603495
5,0.15,2.601182355616189,0.15272830409331167
5,0.15,2.641200545702592,0.15651614739175226
5,0.15,2.681218735788995,0.16034104209618066
5,0.15,2.721236925875398,0.16420276787936872
5,0.15,2.761255115961801,0.16810110286146254
5,0.15,2.8012733060482033,0.17203582361996334
5,0.15,2.8412914961346063,0.1760067052001747
5,0.15,2.8813096862210092,0.18001352112604213
5,0.15,2.921327876307412,0.18405604341132462
5,0.15,2.961346066393815,0.1881340425710494
5,0.15,3.001364256480218,0.19224728763320836
5,0.15,3.041382446566621,0.19639554615066354
5,0.15,3.081400636653024,0.20057858421323327
5,0.15,3.121418826739427,0.2047961664599371
5,0.15,3.16143701682583,0.20904805609138055
5,0.15,3.2014552069122324,0.2133340148822637
5,0.15,3.2414733969986353,0.21765380319400182
5,0.15,3.2814915870850383,0.22200717998744635
5,0.15,3.3215097771714412,0.2263939028356985
5,0.15,3.361527967257844,0.23081372793700708
5,0.15,3.401546157344247,0.23526641012774543
5,0.15,3.44156434743065,0.2397517028954614
5,0.15,3.481582537517053,0.24426935839199662
5,0.15,3.521600727603456,0.248819127446671
5,0.15,3.561618917689859,0.25340075957952984
5,0.15,3.601637107776262,0.25801400301464983
5,0.15,3.6416552978626644,0.262658604693503
5,0.15,3.6816734879490673,0.2673343102883751
5,0.15,3.7216916780354703,0.27204086421583795
5,0.15,3.7617098681218732,0.276778009650273
5,0.15,3.801728058208276,0.2815454885374454
