a,K_star_best_damping,zeta_max,heuristic_(a-1)sqrt(a)
2,2.828425604230007,0.20710678118653086,1.4142135623730951
3,5.196155120721306,0.36602540378438503,3.4641016151377544
5,11.180331450254341,0.6180339887492207,8.94427190999916
7,18.52025321118404,0.8228756555313967,15.874507866387544
