K,RMSE,MaxAbsErr,MeanPctErr
10000,0.00026061213706834877,0.0005805940288238498,0.1156734201861319
20000,9.181576189183604e-05,0.00020440981986238893,0.05771892368502539
30000,4.991967290527319e-05,0.00011111153919796113,0.038453242001943735
50000,2.317888208831696e-05,5.158251495464283e-05,0.023059474561092617
70000,1.398706496541216e-05,3.112458104950755e-05,0.016467241288577655
