a,K,pole_real,pole_imag,zeta_exact,zeta_approx,abs_error,pct_error_%
14,20000,-6.49967459312494,141.22587022511865,0.0459745929532798,0.045961940777125586,1.2652176154211159e-05,0.027519930773652584
15,20000,-6.999649526713668,141.19842702625635,0.049512340098043374,0.049497474683058325,1.4865414985049119e-05,0.03002365663915887
16,20000,-7.499624455276805,141.16920740140787,0.05305026461792373,0.053033008588991064,1.7256028932668976e-05,0.03252769624609714
17,20000,-7.999599378812469,141.13821024720718,0.05658836655961798,0.0565685424949238,1.9824064694175247e-05,0.035032049693977024
18,20000,-8.499574297318738,141.10543439217145,0.06012664596984481,0.060104076400856535,2.2569568988273225e-05,0.03753671708146251
19,20000,-8.99954921079377,141.07087859647842,0.06366510289534545,0.06363961030678927,2.5492588556177975e-05,0.04004169850802477
20,20000,-9.499524119235623,141.0345415517291,0.067203737382883,0.06717514421272201,2.8593170160989834e-05,0.042546994072791854
21,20000,-9.999499022642425,140.99642188070067,0.07074254947924277,0.07071067811865475,3.1871360588020536e-05,0.04505260387508681
22,20000,-10.499473921012267,140.95651813708196,0.07428153923123224,0.07424621202458749,3.5327206644744646e-05,0.047558528014307835
23,20000,-10.999448814343246,140.91482880519806,0.07782070668568082,0.07778174593052023,3.896075516059139e-05,0.05006476658963603
24,20000,-11.499423702633514,140.87135229971943,0.08136005188944065,0.08131727983645297,4.2772052987680165e-05,0.0525713197009789
25,20000,-11.99939858588112,140.82608696535763,0.08489957488938543,0.0848528137423857,4.67611469997381e-05,0.0550781874475374
26,20000,-12.499373464084204,140.7790310765477,0.08843927573241143,0.08838834764831843,5.092808409300209e-05,0.05758536992896002
27,20000,-12.999348337240828,140.73018283711485,0.09197915446543695,0.09192388155425117,5.527291118577471e-05,0.06009286724476755
28,20000,-13.499323205349114,140.67954037992834,0.09551921113540264,0.09545941546018391,5.979567521872953e-05,0.06260067949468988
29,20000,-13.999298068407139,140.62710176653962,0.09905944578927137,0.09899494936611665,6.449642315471682e-05,0.06510880677842648
30,20000,-14.499272926413038,140.57286498680693,0.10259985847402833,0.10253048327204939,6.937520197894398e-05,0.06761724919582156
31,20000,-14.999247779364868,140.5168279585036,0.10614044923668084,0.10606601717798213,7.443205869871183e-05,0.0701260068465859
32,20000,-15.499222627260757,140.45898852691312,0.1096812181242586,0.10960155108391487,7.966704034373384e-05,0.07263507983060373
33,20000,-15.99919747009876,140.39934446440668,0.11322216518381371,0.1131370849898476,8.508019396610833e-05,0.07514446824787575
34,20000,-16.49917230787698,140.3378934700083,0.11676329046242032,0.11667261889578033,9.067156663998543e-05,0.07765417219821125
35,20000,-16.999147140593536,140.2746331689414,0.12030459400717541,0.12020815280171307,9.644120546234425e-05,0.08016419178189665
36,20000,-17.499121968246488,140.2095611121615,0.12384607586519762,0.12374368670764581,0.00010238915755181321,0.0826745270986708
37,20000,-17.99909679083395,140.14267477587165,0.12738773608362863,0.12727922061357855,0.00010851547005008566,0.08518517824890652
38,20000,-18.49907160835399,140.07397156102257,0.13092957470963215,0.1308147545195113,0.0001148201901208512,0.08769614533270471
39,20000,-18.999046420804646,140.00344879279535,0.13447159179039425,0.13435028842544403,0.00012130336495022598,0.09020742845024542
40,20000,-19.49902122818412,139.93110372006925,0.13801378737312375,0.13788582233137675,0.0001279650417470024,0.09271902770195393
41,20000,-19.998996030490396,139.856933514869,0.14155616150505135,0.1414213562373095,0.00013480526774184431,0.0952309431878978
42,20000,-20.498970827721628,139.78093527179848,0.14509871423343093,0.14495689014324223,0.00014182409018870246,0.09774317500880102
43,20000,-20.998945619875826,139.70310600745486,0.148641445605538,0.14849242404917498,0.0001490215563630104,0.10025572326474888
44,20000,-21.49892040695115,139.6234426598254,0.1521843556686714,0.1520279579551077,0.00015639771356368293,0.10276858805657045
45,20000,-21.998895188945642,139.54194208766606,0.15572744447015174,0.15556349186104046,0.00016395260911128418,0.10528176948457467
46,20000,-22.498869965857356,139.45860106986157,0.15927071205732252,0.15909902576697318,0.00017168629034933214,0.10779526764942268
47,20000,-22.998844737684387,139.37341630476735,0.16281415847754957,0.16263455967290594,0.00017959880464363254,0.110309082651677
48,20000,-23.498819504424866,139.28638440953168,0.16635778377822166,0.16617009357883866,0.00018769019938300047,0.11282321459224169
49,20000,-23.998794266076786,139.19750191939846,0.16990158800674932,0.1697056274847714,0.00019596052197792813,0.1153376635715398
50,20000,-24.49876902263825,139.10676528699074,0.17344557121056653,0.17324116139070414,0.00020440981986238893,0.11785242969059796
1,30000,0.0,173.20508075688767,-0.0,0.0,0.0,
