Variation_Label,K,PO,tp,ts,ess,Pole1_Real,Pole1_Imag,Pole2_Real,Pole2_Imag,Pole3_Real,Pole3_Imag,Pole4_Real,Pole4_Imag
Negative20,5,58.6249334926869,0.580267065681384,12.1055715426634,4.0467508505504e-05,-0.31191119946924,5.52544111424393,-0.31191119946924,-5.52544111424393,-0.214263612830161,0,-0.76191398823136,0
Nominal,5,38.7875623340114,0.560276146628672,9.38462545603025,7.66953356718947e-05,-0.559524079581394,5.79253544618783,-0.559524079581394,-5.79253544618783,-0.225114217132141,0,-0.655837623705066,0
Positive20,5,24.7129696582131,0.540185323016234,10.1634868182314,0.000122349067934957,-0.792360107070678,5.99193671305679,-0.792360107070678,-5.99193671305679,-0.236465269537243,0,-0.578814516321402,0
