K,zeta,omega_n,omega_d,num_complex_pairs,num_real_poles,PO_measured,PO_approx,PO_error_percent,tp_measured,tp_approx,tp_error_percent,ts_measured,ts_approx,ts_error_percent,ess_measured,y_ss,P1_real,P1_imag,P2_real,P2_imag,P3_real,P3_imag,P4_real,P4_imag
1,0.779304376555715,0.264673685159657,0.1658565961614,2,0,13.0227632554299,2.01022331590607,84.5637728608181,7.92316926770708,18.9416202086568,139.066206572895,17.9471788715486,19.3928711448912,8.05526196451067,8.60422844084496e-14,0.999999999999914,-0.20626136120405,0.1658565961614,-0.79373863879595,3.69392154293417,-0.20626136120405,-0.1658565961614,-0.79373863879595,-3.69392154293417
1.02010050251256,0.784695699196979,0.266454389062769,0.165170057313622,2,0,12.8426194523538,1.87439922776205,85.4048526882224,7.86314525810324,19.0203521430315,141.892417330462,17.8271308523409,19.1309193402918,7.31350714116526,4.48530101948563e-14,0.999999999999955,-0.209085613129714,0.165170057313622,-0.790914386870286,3.70708561078727,-0.209085613129714,-0.165170057313622,-0.790914386870286,-3.70708561078727
1.04020100502513,0.78998048748875,0.26819908500114,0.164441437002588,2,0,12.6678115677525,1.74618495408671,86.2155752416476,7.8031212484994,19.104629045174,144.833169148153,17.7070828331333,18.8793194520652,6.62015663437518,2.03170813506404e-14,0.99999999999998,-0.211872043913237,0.164441437002588,-0.788127956086762,3.72021497726672,-0.211872043913237,-0.164441437002588,-0.788127956086762,-3.72021497726672
1.06030150753769,0.795162046527716,0.269908914013271,0.163671955319821,2,0,12.4979439666754,1.62520274270816,86.996239165085,7.74309723889556,19.1944468889066,147.891073774561,17.5870348139256,18.637477009256,5.9728214929029,6.55031584528842e-15,0.999999999999993,-0.214621324442866,0.163671955319821,-0.785378675557134,3.73330965842049,-0.214621324442866,-0.163671955319821,-0.785378675557134,-3.73330965842049
1.08040201005025,0.800243534860723,0.271584965848883,0.162862754994159,2,0,12.3325674110145,1.51109572285873,87.7471115908183,7.68307322929172,19.2898164697169,151.069017488659,17.5270108043217,18.4048419422233,5.00844751967141,1.11022302462516e-15,1,-0.217334113085939,0.162862754994159,-0.782665886914061,3.7463696801753,-0.217334113085939,-0.162862754994159,-0.782665886914061,-3.7463696801753
1.10050251256281,0.805227973314331,0.273228282072467,0.162014904989874,2,0,12.1711801482816,1.40352637148798,88.4684446833519,7.62304921968787,19.3907631756853,154.370168903084,17.406962785114,18.180904523157,4.44616184682623,4.21884749357559e-15,1,-0.220011055825369,0.162014904989874,-0.779988944174632,3.75939507781442,-0.220011055825369,-0.162014904989874,-0.779988944174632,-3.75939507781442
1.12060301507538,0.810118253135391,0.274839858925168,0.161129403773326,2,0,12.0145103950886,1.30217511431939,89.1616464466857,7.62304921968787,19.4973268690879,155.768083180319,17.2869147659064,17.9651917435889,3.92364390562163,5.99520433297585e-15,1.00000000000001,-0.222652786404435,0.161129403773326,-0.777347213595565,3.77238589547716,-0.222652786404435,-0.161129403773326,-0.777347213595565,-3.77238589547716
1.14070351758794,0.81491714350881,0.276420649968144,0.16020718227201,2,0,11.8624223157633,1.20673904779604,89.8272122196116,7.56302521008403,19.6095618750463,159.281984792279,17.1668667466987,17.7572640749968,3.43916765365281,6.21724893790088e-15,1.00000000000001,-0.225259926478889,0.16020718227201,-0.774740073521111,3.78534218567951,-0.225259926478889,-0.16020718227201,-0.774740073521111,-3.78534218567951
1.1608040201005,0.819627298511251,0.277971568527884,0.159249106546602,2,0,11.7132365345445,1.11693076971456,90.4643710863302,7.50300120048019,19.7275370751952,162.928614138201,17.046818727491,17.5567125660689,2.99113779954498,6.88338275267597e-15,1.00000000000001,-0.227833085775445,0.159249106546602,-0.772166914224555,3.79826400885505,-0.227833085775445,-0.159249106546602,-0.772166914224555,-3.79826400885505
1.18090452261307,0.824251263552932,0.279493489961756,0.158255980193717,2,0,11.5684400428634,1.03247730778198,91.0750515717207,7.50300120048019,19.8513361058726,164.57860761907,16.9867947178872,17.3631562365127,2.21561233226203,5.55111512312578e-15,1.00000000000001,-0.230372862255796,0.158255980193717,-0.769627137744204,3.81115143291558,-0.230372862255796,-0.158255980193717,-0.769627137744204,-3.81115143291558
1.20100502512563,0.828791481354015,0.280987253760026,0.157228546494405,2,0,11.427525168899,0.953119136577523,91.6594439960498,7.44297719087635,19.981057661826,168.455177940339,16.8667466986795,17.1762397326706,1.83493022999697,4.66293670342566e-15,1,-0.232879842285369,0.157228546494405,-0.767120157714631,3.82400453283078,-0.232879842285369,-0.157228546494405,-0.767120157714631,-3.82400453283078
1.22110552763819,0.833250297497086,0.282453665498875,0.156167490321005,2,0,11.2889523768347,0.878609274489259,92.2170875989149,7.44297719087635,20.1168159079217,170.279155666109,16.7466986794718,16.9956312147719,1.48645736132634,3.5527136788005e-15,1,-0.23535460080608,0.156167490321005,-0.76464539919392,3.83682339022619,-0.23535460080608,-0.156167490321005,-0.76464539919392,-3.83682339022619
1.24120603015075,0.837629965592839,0.283893498657397,0.155073439812705,2,0,11.1557234958766,0.808712453146154,92.7506947133902,7.38295318127251,20.2587410028704,174.39888220148,16.6866746698679,16.8210204495647,0.805108161779876,2.44249065417534e-15,1,-0.237797701512426,0.155073439812705,-0.762202298487574,3.84960809299892,-0.237797701512426,-0.155073439812705,-0.762202298487574,-3.84960809299892
