K,zeta,omega_n,omega_d,PO_Approx,tp_Approx,ts_Approx,ess_Approx,NumComplexPairs,DominantPole_Real,DominantPole_Imag
0.1,0.285246732980024,0.0981453046217114,0.0940677716337116,39.2596335941608,33.3971199596688,142.879455011463,0,2,-0.0279956275006725,0.0940677716337116
0.5,0.596698214483106,0.203860517278633,0.163591077928074,9.6710973573371,19.2039363844223,32.8830529028761,0,2,-0.121643206663763,0.163591077928074
1,0.779304376555715,0.264673685159657,0.1658565961614,2.01022331590607,18.9416202086568,19.3928711448912,0,2,-0.20626136120405,0.1658565961614
2,0.960650918192265,0.324125130670012,0.0900285270592816,0.00191069590879195,34.8955242988828,12.8464072087567,0,2,-0.311371104387335,0.0900285270592816
5,0.09614648352748,5.81949603410586,5.79253544618783,73.8260192359779,0.542351908378451,7.14893271973671,0,1,-0.559524079581394,5.79253544618783
10,0.0640773060973069,7.67009191830558,7.65432940219028,81.7324286077852,0.410433427739709,8.13870257479217,0,1,-0.491478827643747,7.65432940219028
20,0.0430811704126237,10.4319918290662,10.4223065111396,87.3306006656739,0.301429693152084,8.90031258385806,0,1,-0.449422417731097,10.4223065111396
50,0.0261549440376782,16.0882541936033,16.0827504168911,92.1091131385175,0.195339265495925,9.50598832841416,0,1,-0.420787388097635,16.0827504168911
