Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
1,K12,-0.494232,-0.01,-2.06512580746419,0.47504964+0.4152194613i,0.47504964-0.4152194613i,-0.3500990799,0.630935306867279,YES
2,K12,-0.504232,-0.02,-4.13025161492838,0.5140507796+0.5628351217i,0.5140507796-0.5628351217i,-0.4281013592,0.762254274008811,YES
3,K12,-0.514232,-0.03,-6.19537742239258,0.541822328+0.6684883124i,0.541822328-0.6684883124i,-0.4836444559,0.860492916274003,YES
4,K12,-0.524232,-0.04,-8.26050322985677,0.5637014937+0.7540788145i,0.5637014937-0.7540788145i,-0.5274027873,0.941485120667784,YES
5,K12,-0.534232,-0.05,-10.325629037321,0.5818669981+0.827475172i,0.5818669981-0.827475172i,-0.5637337963,1.01157518936181,NO
6,K12,-0.484232,0,0,0.5000392469,0.2999432651,-0.1999823119,0.500039246869543,YES
7,K12,-0.474232,0.01,2.06512580746419,0.8215976882,-0.1107987441+0.290412205i,-0.1107987441-0.290412205i,0.821597688202153,YES
8,K12,-0.464232,0.02,4.13025161492838,0.9677827912,-0.1838912956+0.4015219235i,-0.1838912956-0.4015219235i,0.967782791225061,YES
9,K12,-0.454232,0.03,6.19537742239258,1.076684958,-0.2383423792+0.4691321722i,-0.2383423792-0.4691321722i,1.07668495846543,NO
