K_Element,Nominal_Value,Lower_Boundary,Upper_Boundary,Stable_Range_Width,Max_Neg_Change_pct,Max_Pos_Change_pct,Most_Sensitive_Eigenvalue,Critical,Stable_Points_Count
K11,0.195155,0.129449547738693,0.298126231155779,0.168676683417085,33.6683417085427,52.7638190954774,-0.81477959971217+0i,NO,87
K12,-0.484232,-0.462332060301508,-0.530465206030151,-0.0681331457286433,4.52261306532663,9.54773869346734,-0.567384340546999+0i,YES,15
K13,-1.826888,-1.74426492462312,-1.94623244221106,-0.20196751758794,4.52261306532663,6.53266331658291,0.395589387017756+0i,YES,12
K21,-15.859694,-15.1424214070352,-16.7363605025126,-1.59393909547738,4.52261306532663,5.52763819095477,-0.107233280760345-1.05872834737458i,YES,11
K22,-5.224297,-4.56797828140704,-5.67059372864322,-1.10261544723618,12.5628140703518,8.5427135678392,-0.656622537523076+0i,YES,22
K23,10.454099,9.45596894472362,10.9268974472362,1.47092850251256,9.54773869346734,4.52261306532663,0.672661761242339+0i,NO,15
