Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
1,K23,0,-10.454099,-100,9.56091034200267+0i,1.10164387201203+0i,0.391544985985305+0i,9.56091034200267,NO
2,K23,0.105066321608042,-10.349032678392,-98.9949748743718,9.45477114127888+0i,1.10270758448339+0i,0.391554152629682+0i,9.45477114127888,NO
3,K23,0.210132643216081,-10.2439663567839,-97.9899497487437,9.34860433598974+0i,1.10379871263646+0i,0.391563508157719+0i,9.34860433598974,NO
4,K23,0.315198964824121,-10.1389000351759,-96.9849246231156,9.24240883518411+0i,1.10491834152402+0i,0.391573058467748+0i,9.24240883518411,NO
5,K23,0.420265286432163,-10.0338337135678,-95.9798994974874,9.13618348902212+0i,1.10606761483934+0i,0.391582809706372+0i,9.13618348902212,NO
6,K23,0.525331608040202,-9.9287673919598,-94.9748743718593,9.02992708470354+0i,1.10724773897484+0i,0.391592768281414+0i,9.02992708470354,NO
7,K23,0.630397929648242,-9.82370107035176,-93.9698492462311,8.92363834205018+0i,1.1084599874254+0i,0.391602940876193+0i,8.92363834205018,NO
8,K23,0.735464251256282,-9.71863474874372,-92.964824120603,8.81731590870664+0i,1.10970570557282+0i,0.391613334464258+0i,8.81731590870664,NO
9,K23,0.840530572864323,-9.61356842713568,-91.9597989949749,8.71095835492062+0i,1.11098631588954+0i,0.391623956325516+0i,8.71095835492062,NO
10,K23,0.945596894472362,-9.50850210552764,-90.9547738693467,8.60456416785789+0i,1.11230332360671+0i,0.391634814063041+0i,8.60456416785789,NO
11,K23,1.0506632160804,-9.4034357839196,-89.9497487437186,8.49813174540298+0i,1.11365832289517+0i,0.391645915621453+0i,8.49813174540298,NO
12,K23,1.15572953768844,-9.29836946231156,-88.9447236180904,8.39165938938941+0i,1.11505300361608+0i,0.391657269306068+0i,8.39165938938941,NO
13,K23,1.26079585929648,-9.19330314070352,-87.9396984924623,8.28514529819667+0i,1.11648915870316+0i,0.391668883803698+0i,8.28514529819667,NO
14,K23,1.36586218090452,-9.08823681909548,-86.9346733668342,8.17858755864284+0i,1.11796869224778+0i,0.391680768204852+0i,8.17858755864284,NO
15,K23,1.47092850251256,-8.98317049748744,-85.929648241206,8.07198413709268+0i,1.1194936283673+0i,0.39169293202745+0i,8.07198413709268,NO
16,K23,1.5759948241206,-8.8781041758794,-84.9246231155779,7.96533286968943+0i,1.12106612094784+0i,0.391705385242134+0i,7.96533286968943,NO
17,K23,1.68106114572864,-8.77303785427135,-83.9195979899497,7.85863145160723+0i,1.12268846436446+0i,0.391718138299667+0i,7.85863145160723,NO
18,K23,1.78612746733668,-8.66797153266332,-82.9145728643216,7.75187742520569+0i,1.12436310529763+0i,0.39173120216001+0i,7.75187742520569,NO
19,K23,1.89119378894472,-8.56290521105528,-81.9095477386935,7.64506816695165+0i,1.1260926557797+0i,0.391744588323922+0i,7.64506816695165,NO
20,K23,1.99626011055276,-8.45783888944723,-80.9045226130653,7.53820087295394+0i,1.12787990762683+0i,0.391758308866463+0i,7.53820087295394,NO
21,K23,2.1013264321608,-8.35277256783919,-79.8994974874372,7.43127254293354+0i,1.1297278484321+0i,0.391772376473556+0i,7.43127254293354,NO
22,K23,2.20639275376885,-8.24770624623115,-78.894472361809,7.32427996242523+0i,1.13163967932501+0i,0.391786804480912+0i,7.32427996242523,NO
23,K23,2.31145907537688,-8.14263992462311,-77.8894472361809,7.21721968297543+0i,1.13361883473138+0i,0.391801606916314+0i,7.21721968297543,NO
24,K23,2.41652539698492,-8.03757360301507,-76.8844221105528,7.11008800006325+0i,1.1356690044069+0i,0.391816798544921+0i,7.11008800006325,NO
25,K23,2.52159171859297,-7.93250728140703,-75.8793969849246,7.00288092842902+0i,1.13779415805947+0i,0.391832394918545+0i,7.00288092842902,NO
26,K23,2.62665804020101,-7.82744095979899,-74.8743718592965,6.89559417444113+0i,1.13999857292924+0i,0.391848412428621+0i,6.89559417444113,NO
27,K23,2.73172436180905,-7.72237463819095,-73.8693467336683,6.78822310507133+0i,1.14228686475592+0i,0.391864868363712+0i,6.78822310507133,NO
28,K23,2.83679068341709,-7.61730831658291,-72.8643216080402,6.68076271297333+0i,1.14466402263798+0i,0.391881780971611+0i,6.68076271297333,NO
29,K23,2.94185700502513,-7.51224199497487,-71.859296482412,6.57320757707121+0i,1.14713544837673+0i,0.391899169526939+0i,6.57320757707121,NO
30,K23,3.04692332663317,-7.40717567336683,-70.8542713567839,6.46555181795574+0i,1.14970700100679+0i,0.391917054404289+0i,6.46555181795574,NO
31,K23,3.15198964824121,-7.30210935175879,-69.8492462311558,6.3577890472573+0i,1.15238504734361+0i,0.391935457157888+0i,6.3577890472573,NO
32,K23,3.25705596984925,-7.19704303015075,-68.8442211055276,6.24991231000427+0i,1.15517651953838+0i,0.391954400608101+0i,6.24991231000427,NO
33,K23,3.36212229145729,-7.09197670854271,-67.8391959798995,6.14191401878272+0i,1.15808898082409+0i,0.3919739089359+0i,6.14191401878272,NO
34,K23,3.46718861306533,-6.98691038693467,-66.8341708542713,6.03378587827324+0i,1.16113070087571+0i,0.391994007785729+0i,6.03378587827324,NO
35,K23,3.57225493467337,-6.88184406532663,-65.8291457286432,5.92551879844577+0i,1.16431074250301+0i,0.392014724377845+0i,5.92551879844577,NO
36,K23,3.67732125628141,-6.77677774371859,-64.8241206030151,5.81710279432579+0i,1.16763906176146+0i,0.392036087631345+0i,5.81710279432579,NO
37,K23,3.78238757788945,-6.67171142211055,-63.8190954773869,5.70852686978422+0i,1.17112662402771+0i,0.392058128298629+0i,5.70852686978422,NO
38,K23,3.88745389949749,-6.56664510050251,-62.8140703517588,5.59977888222433+0i,1.17478553916503+0i,0.392080879113145+0i,5.59977888222433,NO
39,K23,3.99252022110553,-6.46157877889447,-61.8090452261306,5.49084538430203+0i,1.17862921964111+0i,0.392104374951338+0i,5.49084538430203,NO
40,K23,4.09758654271357,-6.35651245728643,-60.8040201005025,5.38171143787545+0i,1.18267256639996+0i,0.39212865301102+0i,5.38171143787545,NO
41,K23,4.20265286432161,-6.25144613567839,-59.7989949748744,5.27236039416728+0i,1.18693218850343+0i,0.392153753007684+0i,5.27236039416728,NO
42,K23,4.30771918592965,-6.14637981407035,-58.7939698492462,5.16277363254694+0i,1.19142666413231+0i,0.392179717391098+0i,5.16277363254694,NO
43,K23,4.41278550753769,-6.04131349246231,-57.7889447236181,5.05293024827354+0i,1.19617685260399+0i,0.392206591584773+0i,5.05293024827354,NO
44,K23,4.51785182914573,-5.93624717085427,-56.7839195979899,4.94280667680306+0i,1.20120626980033+0i,0.392234424250882+0i,4.94280667680306,NO
45,K23,4.62291815075377,-5.83118084924623,-55.7788944723618,4.83237623859973+0i,1.2065415430625+0i,0.392263267584012+0i,4.83237623859973,NO
46,K23,4.72798447236181,-5.72611452763819,-54.7738693467337,4.72160858343211+0i,1.21221296656844+0i,0.392293177637645+0i,4.72160858343211,NO
47,K23,4.83305079396985,-5.62104820603015,-53.7688442211055,4.61046900633632+0i,1.21825518500645+0i,0.392324214687379+0i,4.61046900633632,NO
48,K23,4.93811711557789,-5.51598188442211,-52.7638190954774,4.49891759798459+0i,1.22470804280162+0i,0.392356443635907+0i,4.49891759798459,NO
