Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
1,K13,-0,1.826888,-100,3.18732676993492+0i,0.389741595990292+0i,-4.80395616592521+0i,4.80395616592521,NO
2,K13,-0.0183606834170857,1.80852731658291,-98.9949748743718,3.17546647141257+0i,0.389737514863626+0i,-4.77373110285911+0i,4.77373110285911,NO
3,K13,-0.036721366834171,1.79016663316583,-97.9899497487437,3.16351553479065+0i,0.389733350156559+0i,-4.74341531811303+0i,4.74341531811303,NO
4,K13,-0.0550820502512563,1.77180594974874,-96.9849246231156,3.15147249941445+0i,0.389729099275018+0i,-4.71300734843821+0i,4.71300734843821,NO
5,K13,-0.073442733668342,1.75344526633166,-95.9798994974874,3.13933586650573+0i,0.389724759516447+0i,-4.68250569235383+0i,4.68250569235383,NO
6,K13,-0.0918034170854273,1.73508458291457,-94.9748743718593,3.12710409776565+0i,0.389720328064104+0i,-4.65190880874431+0i,4.65190880874431,NO
7,K13,-0.110164100502513,1.71672389949749,-93.9698492462311,3.1147756139115+0i,0.389715801980949+0i,-4.62121511538993+0i,4.62121511538993,NO
8,K13,-0.128524783919598,1.6983632160804,-92.964824120603,3.10234879314314+0i,0.389711178203156+0i,-4.59042298742669+0i,4.59042298742669,NO
9,K13,-0.146885467336684,1.68000253266332,-91.9597989949749,3.08982196953502+0i,0.389706453533189+0i,-4.55953075573152+0i,4.55953075573152,NO
10,K13,-0.165246150753769,1.66164184924623,-90.9547738693467,3.07719343134943+0i,0.389701624632447+0i,-4.5285367052281+0i,4.5285367052281,NO
11,K13,-0.183606834170854,1.64328116582915,-89.9497487437186,3.064461419266+0i,0.38969668801337+0i,-4.49743907310851+0i,4.49743907310851,NO
12,K13,-0.20196751758794,1.62492048241206,-88.9447236180904,3.05162412452261+0i,0.389691640031078+0i,-4.46623604696574+0i,4.46623604696574,NO
13,K13,-0.220328201005025,1.60655979899497,-87.9396984924623,3.03867968696198+0i,0.389686476874351+0i,-4.4349257628313+0i,4.4349257628313,NO
14,K13,-0.238688884422111,1.58819911557789,-86.9346733668342,3.02562619297816+0i,0.389681194556068+0i,-4.40350630311211+0i,4.40350630311211,NO
15,K13,-0.257049567839196,1.5698384321608,-85.929648241206,3.01246167335652+0i,0.389675788902944+0i,-4.37197569442026+0i,4.37197569442026,NO
16,K13,-0.275410251256281,1.55147774874372,-84.9246231155779,2.99918410100056+0i,0.389670255544482+0i,-4.34033190528876+0i,4.34033190528876,NO
17,K13,-0.293770934673367,1.53311706532663,-83.9195979899497,2.98579138853794+0i,0.389664589901264+0i,-4.30857284376583+0i,4.30857284376583,NO
18,K13,-0.312131618090452,1.51475638190955,-82.9145728643216,2.97228138579818+0i,0.389658787172235+0i,-4.27669635487995+0i,4.27669635487995,NO
19,K13,-0.330492301507538,1.49639569849246,-81.9095477386935,2.95865187715305+0i,0.389652842321212+0i,-4.24470021796672+0i,4.24470021796672,NO
20,K13,-0.348852984924623,1.47803501507538,-80.9045226130653,2.94490057871101+0i,0.389646750062249+0i,-4.21258214384864+0i,4.21258214384864,NO
21,K13,-0.367213668341709,1.45967433165829,-79.8994974874372,2.93102513535517+0i,0.389640504843973+0i,-4.18033977185743+0i,4.18033977185743,NO
22,K13,-0.385574351758794,1.44131364824121,-78.894472361809,2.91702311761441+0i,0.38963410083275+0i,-4.14797066668836+0i,4.14797066668836,NO
23,K13,-0.40393503517588,1.42295296482412,-77.8894472361809,2.90289201835603+0i,0.389627531894471+0i,-4.11547231507462+0i,4.11547231507462,NO
24,K13,-0.422295718592965,1.40459228140704,-76.8844221105528,2.88862924928694+0i,0.38962079157496+0i,-4.08284212226894+0i,4.08284212226894,NO
25,K13,-0.440656402010051,1.38623159798995,-75.8793969849246,2.87423213725027+0i,0.389613873078851+0i,-4.05007740831907+0i,4.05007740831907,NO
26,K13,-0.459017085427136,1.36787091457286,-74.8743718592965,2.85969792030206+0i,0.38960676924671+0i,-4.01717540412163+0i,4.01717540412163,NO
27,K13,-0.477377768844221,1.34951023115578,-73.8693467336683,2.84502374355224+0i,0.389599472530351+0i,-3.98413324723837+0i,3.98413324723837,NO
28,K13,-0.495738452261307,1.33114954773869,-72.8643216080402,2.8302066547522+0i,0.389591974966038+0i,-3.95094797745693+0i,3.95094797745693,NO
29,K13,-0.514099135678392,1.31278886432161,-71.859296482412,2.81524359960986+0i,0.38958426814557+0i,-3.91761653207704+0i,3.91761653207704,NO
30,K13,-0.532459819095477,1.29442818090452,-70.8542713567839,2.80013141681149+0i,0.389576343184767+0i,-3.88413574090078+0i,3.88413574090078,NO
31,K13,-0.550820502512563,1.27606749748744,-69.8492462311558,2.78486683272741+0i,0.389568190689331+0i,-3.85050232090418+0i,3.85050232090418,NO
32,K13,-0.569181185929648,1.25770681407035,-68.8442211055276,2.76944645577681+0i,0.389559800717698+0i,-3.81671287056486+0i,3.81671287056486,NO
33,K13,-0.587541869346734,1.23934613065327,-67.8391959798995,2.75386677042453+0i,0.389551162740606+0i,-3.78276386381841+0i,3.78276386381841,NO
34,K13,-0.605902552763819,1.22098544723618,-66.8341708542713,2.73812413077988+0i,0.38954226559701+0i,-3.74865164361306+0i,3.74865164361306,NO
35,K13,-0.624263236180905,1.2026247638191,-65.8291457286432,2.72221475376486+0i,0.389533097446001+0i,-3.71437241502996+0i,3.71437241502996,NO
36,K13,-0.64262391959799,1.18426408040201,-64.8241206030151,2.70613471181615+0i,0.389523645714181+0i,-3.67992223793234+0i,3.67992223793234,NO
37,K13,-0.660984603015075,1.16590339698492,-63.8190954773869,2.68987992508077+0i,0.389513897038175+0i,-3.64529701910387+0i,3.64529701910387,NO
38,K13,-0.679345286432161,1.14754271356784,-62.8140703517588,2.67344615306257+0i,0.389503837201654+0i,-3.61049250383205+0i,3.61049250383205,NO
39,K13,-0.697705969849246,1.12918203015075,-61.8090452261306,2.65682898567114+0i,0.389493451066072+0i,-3.57550426688797+0i,3.57550426688797,NO
40,K13,-0.716066653266332,1.11082134673367,-60.8040201005025,2.64002383362033+0i,0.389482722494714+0i,-3.54032770284871+0i,3.54032770284871,NO
41,K13,-0.734427336683417,1.09246066331658,-59.7989949748744,2.62302591811746+0i,0.389471634269096+0i,-3.50495801570314+0i,3.50495801570314,NO
42,K13,-0.752788020100503,1.0740999798995,-58.7939698492462,2.60583025977861+0i,0.389460167996677+0i,-3.46939020767479+0i,3.46939020767479,NO
43,K13,-0.771148703517588,1.05573929648241,-57.7889447236181,2.58843166669735+0i,0.389448304009137+0i,-3.4336190671889+0i,3.4336190671889,NO
44,K13,-0.789509386934674,1.03737861306533,-56.7839195979899,2.57082472158694+0i,0.389436021249783+0i,-3.39763915590205+0i,3.39763915590205,NO
45,K13,-0.807870070351759,1.01901792964824,-55.7788944723618,2.55300376790651+0i,0.389423297148864+0i,-3.36144479470361+0i,3.36144479470361,NO
46,K13,-0.826230753768844,1.00065724623116,-54.7738693467337,2.53496289487138+0i,0.389410107485139+0i,-3.32503004858767+0i,3.32503004858767,NO
47,K13,-0.84459143718593,0.98229656281407,-53.7688442211055,2.51669592123588+0i,0.389396426232134+0i,-3.28838871028208+0i,3.28838871028208,NO
48,K13,-0.862952120603015,0.963935879396985,-52.7638190954774,2.49819637772394+0i,0.389382225386615+0i,-3.25151428250754+0i,3.25151428250754,NO
