Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
1,K21,-0,15.859694,-100,-4.00793711709098+0i,1.01415231973314+0i,3.59378499735784+0i,4.00793711709098,NO
2,K21,-0.159393909547741,15.7003000904523,-98.9949748743718,-3.98841963399897+0i,1.01450221194314+0i,3.57391762205582+0i,3.98841963399897,NO
3,K21,-0.318787819095479,15.5409061809045,-97.9899497487437,-3.96880182435224+0i,1.01486038481515+0i,3.55394163953709+0i,3.96880182435224,NO
4,K21,-0.478181728643216,15.3815122713568,-96.9849246231156,-3.94908212883952+0i,1.01522713765321+0i,3.53385519118631+0i,3.94908212883952,NO
5,K21,-0.637575638190958,15.222118361809,-95.9798994974874,-3.92925894739813+0i,1.01560278445357+0i,3.51365636294456+0i,3.92925894739813,NO
6,K21,-0.796969547738695,15.0627244522613,-94.9748743718593,-3.90933063770886+0i,1.01598765482317+0i,3.4933431828857+0i,3.90933063770886,NO
7,K21,-0.956363457286433,14.9033305427136,-93.9698492462311,-3.88929551361871+0i,1.01638209496849+0i,3.47291361865022+0i,3.88929551361871,NO
8,K21,-1.11575736683417,14.7439366331658,-92.964824120603,-3.86915184348721+0i,1.01678646876097+0i,3.45236557472623+0i,3.86915184348721,NO
9,K21,-1.27515127638191,14.5845427236181,-91.9597989949749,-3.84889784845159+0i,1.01720115888609+0i,3.43169688956549+0i,3.84889784845159,NO
10,K21,-1.43454518592965,14.4251488140704,-90.9547738693467,-3.82853170060621+0i,1.01762656808408+0i,3.41090533252213+0i,3.82853170060621,NO
11,K21,-1.59393909547739,14.2657549045226,-89.9497487437186,-3.80805152109069+0i,1.01806312049069+0i,3.38998860060001+0i,3.80805152109069,NO
12,K21,-1.75333300502513,14.1063609949749,-88.9447236180904,-3.78745537808126+0i,1.0185112630879+0i,3.36894431499336+0i,3.78745537808126,NO
13,K21,-1.91272691457287,13.9469670854271,-87.9396984924623,-3.76674128467919+0i,1.01897146727515+0i,3.34777001740404+0i,3.76674128467919,NO
14,K21,-2.07212082412061,13.7875731758794,-86.9346733668342,-3.74590719668992+0i,1.01944423057308+0i,3.32646316611684+0i,3.74590719668992,NO
15,K21,-2.23151473366834,13.6281792663317,-85.929648241206,-3.72495101028577+0i,1.01993007847309+0i,3.30502113181267+0i,3.72495101028577,NO
16,K21,-2.39090864321608,13.4687853567839,-84.9246231155779,-3.70387055954465+0i,1.02042956644761+0i,3.28344119309705+0i,3.70387055954465,NO
17,K21,-2.55030255276382,13.3093914472362,-83.9195979899497,-3.6826636138569+0i,1.02094328213778+0i,3.26172053171911+0i,3.6826636138569,NO
18,K21,-2.70969646231156,13.1499975376884,-82.9145728643216,-3.66132787519112+0i,1.02147184773719+0i,3.23985622745393+0i,3.66132787519112,NO
19,K21,-2.8690903718593,12.9906036281407,-81.9095477386935,-3.63986097520992+0i,1.02201592259269+0i,3.21784525261724+0i,3.63986097520992,NO
20,K21,-3.02848428140704,12.831209718593,-80.9045226130653,-3.61826047222515+0i,1.02257620604589+0i,3.19568446617926+0i,3.61826047222515,NO
21,K21,-3.18787819095478,12.6718158090452,-79.8994974874372,-3.59652384798161+0i,1.02315344054204+0i,3.17337060743957+0i,3.59652384798161,NO
22,K21,-3.34727210050251,12.5124218994975,-78.894472361809,-3.57464850425735+0i,1.02374841503625+0i,3.1509002892211+0i,3.57464850425735,NO
23,K21,-3.50666601005025,12.3530279899497,-77.8894472361809,3.12826999053627+0i,1.02436196873129+0i,-3.55263175926756+0i,3.55263175926756,NO
24,K21,-3.66605991959799,12.193634080402,-76.8844221105528,3.10547604867262+0i,1.02499499518547+0i,-3.53047084385809+0i,3.53047084385809,NO
25,K21,-3.82545382914573,12.0342401708543,-75.8793969849246,3.08251465063865+0i,1.02564844683458+0i,-3.50816289747323+0i,3.50816289747323,NO
26,K21,-3.98484773869347,11.8748462613065,-74.8743718592965,3.05938182390343+0i,1.02632333997792+0i,-3.48570496388134+0i,3.48570496388134,NO
27,K21,-4.14424164824121,11.7154523517588,-73.8693467336683,3.03607342635462+0i,1.02702076028565+0i,-3.46309398664027+0i,3.46309398664027,NO
28,K21,-4.30363555778895,11.5560584422111,-72.8643216080402,3.0125851353901+0i,1.02774186889276+0i,-3.44032680428285+0i,3.44032680428285,NO
29,K21,-4.46302946733668,11.3966645326633,-71.859296482412,2.98891243604643+0i,1.0284879091549+0i,-3.41740014520132+0i,3.41740014520132,NO
30,K21,-4.62242337688442,11.2372706231156,-70.8542713567839,2.96505060805469+0i,1.02926021415237+0i,-3.39431062220706+0i,3.39431062220706,NO
31,K21,-4.78181728643216,11.0778767135678,-69.8492462311558,2.94099471169821+0i,1.03006021504207+0i,-3.37105472674028+0i,3.37105472674028,NO
32,K21,-4.9412111959799,10.9184828040201,-68.8442211055276,2.91673957232904+0i,1.03088945037283+0i,-3.34762882270188+0i,3.34762882270188,NO
33,K21,-5.10060510552764,10.7590888944724,-67.8391959798995,2.89227976337869+0i,1.03174957649786+0i,-3.32402913987655+0i,3.32402913987655,NO
34,K21,-5.25999901507538,10.5996949849246,-66.8341708542713,2.86760958767349+0i,1.03264237924049+0i,-3.30025176691397+0i,3.30025176691397,NO
35,K21,-5.41939292462312,10.4403010753769,-65.8291457286432,2.84272305683589+0i,1.03356978699509+0i,-3.27629264383097+0i,3.27629264383097,NO
36,K21,-5.57878683417085,10.2809071658291,-64.8241206030151,2.81761386851762+0i,1.0345338854767+0i,-3.25214755399432+0i,3.25214755399432,NO
37,K21,-5.73818074371859,10.1215132562814,-63.8190954773869,2.79227538116902+0i,1.03553693437039+0i,-3.22781211553941+0i,3.22781211553941,NO
38,K21,-5.89757465326633,9.96211934673367,-62.8140703517588,2.76670058599912+0i,1.03658138617651+0i,-3.20328177217563+0i,3.20328177217563,NO
39,K21,-6.05696856281407,9.80272543718593,-61.8090452261306,2.74088207572085+0i,1.03766990760318+0i,-3.17855178332403+0i,3.17855178332403,NO
40,K21,-6.21636247236181,9.64333152763819,-60.8040201005025,2.71481200960335+0i,1.0388054039238+0i,-3.15361721352714+0i,3.15361721352714,NO
41,K21,-6.37575638190955,9.48393761809045,-59.7989949748744,2.68848207426529+0i,1.03999104679893+0i,-3.12847292106422+0i,3.12847292106422,NO
42,K21,-6.53515029145729,9.32454370854271,-58.7939698492462,2.66188343953541+0i,1.04123030616239+0i,-3.1031135456978+0i,3.1031135456978,NO
43,K21,-6.69454420100503,9.16514979899497,-57.7889447236181,2.63500670857485+0i,1.04252698689459+0i,-3.07753349546944+0i,3.07753349546944,NO
44,K21,-6.85393811055276,9.00575588944723,-56.7839195979899,2.60784186129219+0i,1.04388527116058+0i,-3.05172693245278+0i,3.05172693245278,NO
45,K21,-7.0133320201005,8.8463619798995,-55.7788944723618,2.58037818987988+0i,1.04530976748179+0i,-3.02568775736166+0i,3.02568775736166,NO
46,K21,-7.17272592964824,8.68696807035176,-54.7738693467337,2.55260422504635+0i,1.04680556785262+0i,-2.99940959289897+0i,2.99940959289897,NO
47,K21,-7.33211983919598,8.52757416080402,-53.7688442211055,2.5245076511988+0i,1.0483783145191+0i,-2.9728857657179+0i,2.9728857657179,NO
48,K21,-7.49151374874372,8.36818025125628,-52.7638190954774,2.49607520842468+0i,1.05003427842735+0i,-2.94610928685203+0i,2.94610928685203,NO
49,K21,-7.65090765829146,8.20878634170854,-51.7587939698492,2.46729257860014+0i,1.05178045185208+0i,-2.91907283045221+0i,2.91907283045221,NO
50,K21,-7.8103015678392,8.0493924321608,-50.7537688442211,2.43814425228154+0i,1.05362465836657+0i,-2.89176871064812+0i,2.89176871064812,NO
51,K21,-7.96969547738693,7.88999852261307,-49.748743718593,2.40861337216082+0i,1.05557568416743+0i,-2.86418885632825+0i,2.86418885632825,NO
52,K21,-8.12908938693467,7.73060461306533,-48.7437185929648,2.37868154771279+0i,1.05764343589252+0i,-2.83632478360531+0i,2.83632478360531,NO
53,K21,-8.28848329648241,7.57121070351759,-47.7386934673367,2.34832863412978+0i,1.05983913157227+0i,-2.80816756570206+0i,2.80816756570206,NO
54,K21,-8.44787720603015,7.41181679396985,-46.7336683417085,2.31753246657631+0i,1.06217553337996+0i,-2.77970779995627+0i,2.77970779995627,NO
