Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
1,K23,10.401828505,-0.0522704950000001,-0.500000000000001,0.4795677981,0.2497232151,-0.0770203182,0.479567798103494,YES
2,K23,10.34955801,-0.10454099,-1,0.461520288,0.121510451+0.1012573677i,0.121510451-0.1012573677i,0.461520288032528,YES
3,K23,10.297287515,-0.156811485,-1.5,0.44705725,0.1548772175+0.2197724662i,0.1548772175-0.2197724662i,0.447057250008463,YES
4,K23,10.24501702,-0.209081980000001,-2.00000000000001,0.4362018946,0.1864401427+0.2948589085i,0.1864401427-0.2948589085i,0.43620189458634,YES
5,K23,10.192746525,-0.261352475000001,-2.50000000000001,0.4282425168,0.2165550791+0.3543563709i,0.2165550791-0.3543563709i,0.428242516842727,YES
6,K23,10.14047603,-0.313622970000001,-3.00000000000001,0.4223691268,0.2456270216+0.4046053428i,0.2456270216-0.4046053428i,0.473326649546214,YES
7,K23,10.088205535,-0.365893464999999,-3.49999999999999,0.4179474998,0.2739730826+0.4483777571i,0.2739730826-0.4483777571i,0.525455862139398,YES
8,K23,10.03593504,-0.418163959999999,-3.99999999999999,0.4145388597,0.3018126501+0.487224289i,0.3018126501-0.487224289i,0.573130337297993,YES
9,K23,9.983664545,-0.470434454999999,-4.49999999999999,0.3292924223+0.5221311318i,0.3292924223-0.5221311318i,0.4118498103,0.617296053961798,YES
10,K23,9.93139405,-0.52270495,-5,0.3565107212+0.553775436i,0.3565107212-0.553775436i,0.4096837076,0.658609996777709,YES
11,K23,9.879123555,-0.574975445,-5.5,0.3835345541+0.5826466105i,0.3835345541-0.5826466105i,0.4079065369,0.697549874146362,YES
12,K23,9.82685306,-0.62724594,-6,0.4104105828+0.60911181i,0.4104105828-0.60911181i,0.4064249743,0.734475352592211,YES
13,K23,9.774582565,-0.679516435,-6.5,0.4371720366+0.6334544826i,0.4371720366-0.6334544826i,0.4051725618,0.769664843375747,YES
14,K23,9.72231207,-0.73178693,-7,0.4638430921+0.6558985097i,0.4638430921-0.6558985097i,0.4041009459,0.803338825810493,YES
15,K23,9.670041575,-0.784057425,-7.5,0.4904416932+0.676624047i,0.4904416932-0.676624047i,0.4031742387,0.835675269112403,YES
16,K23,9.61777108,-0.83632792,-8,0.5169814023+0.6957783138i,0.5169814023-0.6957783138i,0.4023653154,0.866820184531733,YES
17,K23,9.565500585,-0.888598415000001,-8.50000000000001,0.5434726406+0.7134831671i,0.5434726406-0.7134831671i,0.4016533339,0.896895055606961,YES
18,K23,9.51323009,-0.940868910000001,-9.00000000000001,0.5699235357+0.7298405567i,0.5699235357-0.7298405567i,0.4010220387,0.926002200190623,YES
19,K23,9.460959595,-0.993139405000001,-9.50000000000001,0.5963405129+0.7449365403i,0.5963405129-0.7449365403i,0.4004585792,0.954228723314966,YES
20,K23,9.4086891,-1.0454099,-9.99999999999999,0.6227287141+0.758844294i,0.6227287141-0.758844294i,0.3999526717,0.981649486276344,YES
21,K23,9.356418605,-1.097680395,-10.5,0.6490923005+0.7716264071i,0.6490923005-0.7716264071i,0.3994959941,1.00832937405911,NO
22,K23,10.454099,0,0,0.5000392469,0.2999432651,-0.1999823119,0.500039246869543,YES
23,K23,10.506369495,0.0522704950000001,0.500000000000001,0.5212504756,0.3255927492,-0.2991135197,0.521250475556804,YES
24,K23,10.55863999,0.10454099,1,0.5419060809,0.3408429085,-0.3872897794,0.541906080932356,YES
25,K23,10.610910485,0.156811485,1.5,0.561349918,0.3507040821,-0.4688652851,0.561349918008076,YES
26,K23,10.66318098,0.209081980000001,2.00000000000001,0.5793682152,0.3574907296,-0.5459407248,0.579368215225864,YES
27,K23,10.715451475,0.261352475000001,2.50000000000001,0.5959685459,0.3623966184,-0.6197174393,0.619717439295134,YES
28,K23,10.76772197,0.313622970000001,3.00000000000001,0.6112489667,0.3660851361,-0.6909568728,0.69095687282105,YES
29,K23,10.819992465,0.365893464999999,3.49999999999999,0.6253352303,0.3689479378,-0.7601764331,0.760176433124061,YES
30,K23,10.87226296,0.418163959999999,3.99999999999999,0.6383537264,0.3712284028,-0.8277458892,0.827745889203494,YES
31,K23,10.924533455,0.470434454999999,4.49999999999999,0.6504210446,0.3730845206,-0.8939398202,0.893939820236721,YES
32,K23,10.97680395,0.52270495,5,-0.9589683578,0.3746227531,0.6616408547,0.958968357848714,YES
33,K23,11.029074445,0.574975445,5.5,-1.022996275,0.3759171792,0.6721038508,1.02299627502407,NO
