Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
1,K13,-1.836888,-0.01,-0.547378930728102,0.4511972321,0.1067406516,0.05206231626,0.451197232136005,YES
2,K13,-1.846888,-0.02,-1.0947578614562,0.4269593189,0.09652044054+0.2695911712i,0.09652044054-0.2695911712i,0.426959318926596,YES
3,K13,-1.856888,-0.03,-1.64213679218431,0.4154669924,0.1072666038+0.3885694022i,0.1072666038-0.3885694022i,0.415466992423192,YES
4,K13,-1.866888,-0.04,-2.18951572291241,0.4092254097,0.1153873951+0.4807059237i,0.1153873951-0.4807059237i,0.494360633558095,YES
5,K13,-1.876888,-0.05,-2.73689465364051,0.4053914831,0.1223043585+0.5584964373i,0.1223043585-0.5584964373i,0.571731253817249,YES
6,K13,-1.886888,-0.0600000000000001,-3.28427358436861,0.4028189979,0.128590601+0.6269876182i,0.128590601-0.6269876182i,0.640038292611142,YES
7,K13,-1.896888,-0.0700000000000001,-3.83165251509671,0.4009802636,0.1345099682+0.6888319436i,0.1345099682-0.6888319436i,0.70184213189395,YES
8,K13,-1.906888,-0.0800000000000001,-4.37903144582482,0.3996031713,0.1401985144+0.7456262273i,0.1401985144-0.7456262273i,0.758692358088597,YES
9,K13,-1.916888,-0.0900000000000001,-4.92641037655292,0.3985344058,0.1457328971+0.7984184271i,0.1457328971-0.7984184271i,0.81160955022384,YES
10,K13,-1.926888,-0.1,-5.47378930728102,0.3976813941,0.151159403+0.8479392978i,0.151159403-0.8479392978i,0.861307272649802,YES
11,K13,-1.936888,-0.11,-6.02116823800912,0.396985081,0.1565075595+0.8947219717i,0.1565075595-0.8947219717i,0.908307229270952,YES
12,K13,-1.946888,-0.12,-6.56854716873721,0.3964060797,0.1617970601+0.939169294i,0.1617970601-0.939169294i,0.953004329201575,YES
13,K13,-1.956888,-0.13,-7.11592609946533,0.1670415298+0.981594325i,0.1670415298-0.981594325i,0.3959171404,0.995705926216037,YES
14,K13,-1.966888,-0.14,-7.66330503019342,0.1722506886+1.022246i,0.1722506886-1.022246i,0.3954988228,1.03665673440188,NO
15,K13,-1.826888,0,0,0.5000392469,0.2999432651,-0.1999823119,0.500039246869543,YES
16,K13,-1.816888,0.01,0.547378930728102,0.5670755229,0.3436338745,-0.3207091975,0.567075522917041,YES
17,K13,-1.806888,0.02,1.0947578614562,0.6347531191,0.3604495043,-0.4152024234,0.63475311909441,YES
18,K13,-1.796888,0.03,1.64213679218431,0.6973176113,0.3686530158,-0.4959704272,0.697317611339092,YES
19,K13,-1.786888,0.04,2.18951572291241,0.7545278995,0.373387741,-0.5679154405,0.754527899513928,YES
20,K13,-1.776888,0.05,2.73689465364051,0.8071286398,0.3764405758,-0.6335690156,0.807128639763969,YES
21,K13,-1.766888,0.0600000000000001,3.28427358436861,0.8558788265,0.3785636079,-0.6944422344,0.855878826496451,YES
22,K13,-1.756888,0.0700000000000001,3.83165251509671,0.9014012007,0.3801221987,-0.7515231994,0.901401200718323,YES
23,K13,-1.746888,0.0800000000000001,4.37903144582482,0.9441867485,0.3813136442,-0.8055001927,0.944186748487116,YES
24,K13,-1.736888,0.0900000000000001,4.92641037655292,0.9846223494,0.3822533491,-0.8568754985,0.984622349433593,YES
25,K13,-1.726888,0.1,5.47378930728102,1.023016081,0.3830131404,-0.9060290215,1.02301608113745,NO
