n,theta_rad,group_delay_samples
1,0.0001,0.8660253372003758
1,0.0006236527177179184,0.8660251957882827
1,0.0011473054354358368,0.8660247942270987
1,0.0016709581531537553,0.8660241551924184
1,0.0021946108708716734,0.8660232786854682
1,0.002718263588589592,0.866022164707932
1,0.0032419163063075102,0.8660208132619469
1,0.0037655690240254286,0.8660192243501057
1,0.0042892217417433475,0.8660173979754595
1,0.004812874459461266,0.8660153341415153
1,0.005336527177179184,0.8660130328522313
1,0.005860179894897103,0.8660104941120279
1,0.006383832612615021,0.8660077179257781
1,0.0069074853303329395,0.8660047042988044
1,0.007431138048050858,0.8660014532368949
1,0.007954790765768775,0.8659979647462936
1,0.008478443483486694,0.8659942388336894
1,0.009002096201204613,0.8659902755062401
1,0.00952574891892253,0.8659860747715404
1,0.010049401636640448,0.8659816366376631
1,0.010573054354358367,0.8659769611131267
1,0.011096707072076287,0.8659720482068991
1,0.011620359789794204,0.8659668979284074
1,0.012144012507512122,0.8659615102875335
1,0.012667665225230041,0.8659558852946247
1,0.01319131794294796,0.8659500229604795
1,0.013714970660665878,0.8659439232963297
1,0.014238623378383795,0.8659375863138834
1,0.014762276096101715,0.8659310120253121
1,0.015285928813819634,0.8659242004432262
1,0.01580958153153755,0.8659171515806925
1,0.01633323424925547,0.8659098654512345
1,0.016856886966973388,0.8659023420688357
1,0.017380539684691308,0.8658945814479289
1,0.017904192402409227,0.8658865836034035
1,0.018427845120127143,0.8658783485505914
1,0.018951497837845062,0.8658698763053003
1,0.01947515055556298,0.8658611668837999
1,0.019998803273280897,0.8658522203027736
1,0.020522455990998816,0.8658430365793919
1,0.021046108708716735,0.8658336157312654
1,0.021569761426434655,0.8658239577764597
1,0.022093414144152574,0.8658140627335236
1,0.02261706686187049,0.8658039306214036
1,0.02314071957958841,0.8657935614595402
1,0.02366437229730633,0.8657829552678358
1,0.024188025015024244,0.8657721120666189
1,0.024711677732742163,0.8657610318766693
1,0.025235330450460083,0.8657497147192608
1,0.025758983168178002,0.8657381606160683
1,0.02628263588589592,0.8657263695892539
1,0.026806288603613837,0.865714341661441
1,0.027329941321331756,0.8657020768556478
1,0.027853594039049676,0.8656895751954217
1,0.02837724675676759,0.8656768367047292
1,0.02890089947448551,0.8656638614079704
1,0.02942455219220343,0.8656506493300249
1,0.02994820490992135,0.865637200496213
1,0.03047185762763927,0.8656235149323095
1,0.030995510345357184,0.8656095926645513
1,0.031519163063075104,0.8655954337196015
1,0.03204281578079302,0.8655810381246134
1,0.03256646849851094,0.865566405907181
1,0.03309012121622886,0.8655515370952962
1,0.03361377393394678,0.8655364317174339
1,0.0341374266516647,0.8655210898026375
1,0.03466107936938262,0.8655055113802135
1,0.03518473208710054,0.8654896964800081
1,0.03570838480481846,0.8654736451323615
1,0.03623203752253637,0.8654573573679372
1,0.03675569024025429,0.8654408332180061
1,0.03727934295797221,0.8654240727141698
1,0.03780299567569013,0.8654070758885304
1,0.03832664839340805,0.8653898427736699
1,0.038850301111125966,0.8653723734025505
1,0.039373953828843886,0.8653546678086315
1,0.0398976065465618,0.8653367260257809
1,0.04042125926427972,0.865318548088382
1,0.040944911981997636,0.8653001340312301
1,0.041468564699715556,0.8652814838895324
1,0.041992217417433475,0.865262597699008
1,0.042515870135151394,0.8652434754958307
1,0.043039522852869314,0.8652241173165578
1,0.04356317557058723,0.8652045231982228
1,0.04408682828830515,0.8651846931783425
1,0.044610481006023064,0.8651646272948241
1,0.045134133723740984,0.865144325586094
1,0.0456577864414589,0.8651237880909406
1,0.04618143915917682,0.8651030148486782
1,0.04670509187689474,0.8650820058990476
1,0.04722874459461266,0.8650607612821872
1,0.04775239731233058,0.8650392810387402
1,0.04827605003004849,0.8650175652098042
1,0.04879970274776641,0.8649956138368537
1,0.04932335546548433,0.8649734269618818
1,0.04984700818320225,0.8649510046273008
1,0.05037066090092017,0.8649283468759421
1,0.05089431361863809,0.864905453751156
1,0.05141796633635601,0.8648823252966622
1,0.05194161905407393,0.8648589615566422
1,0.05246527177179185,0.8648353625757679
1,0.05298892448950976,0.8648115283991231
1,0.05351257720722768,0.864787459072204
1,0.0540362299249456,0.8647631546410537
1,0.05455988264266352,0.8647386151520493
1,0.055083535360381436,0.8647138406520298
1,0.055607188078099355,0.8646888311883671
1,0.056130840795817274,0.8646635868087742
1,0.05665449351353519,0.8646381075614471
1,0.057178146231253106,0.864612393495058
1,0.057701798948971025,0.86458644465867
1,0.058225451666688945,0.8645602611018219
1,0.058749104384406864,0.8645338428744509
1,0.05927275710212478,0.8645071900269983
1,0.0597964098198427,0.8644803026103176
1,0.06032006253756062,0.8644531806757314
1,0.06084371525527854,0.8644258242749672
1,0.06136736797299645,0.8643982334601361
1,0.06189102069071437,0.8643704082839179
1,0.06241467340843229,0.8643423487994042
1,0.0629383261261502,0.8643140550600563
1,0.06346197884386813,0.86428552711984
1,0.06398563156158604,0.8642567650331188
1,0.06450928427930397,0.8642277688547324
1,0.06503293699702188,0.8641985386399611
1,0.06555658971473981,0.8641690744444759
1,0.06608024243245772,0.8641393763244665
1,0.06660389515017565,0.8641094443364565
1,0.06712754786789356,0.8640792785375027
1,0.06765120058561147,0.8640488789850878
1,0.0681748533033294,0.8640182457370642
1,0.06869850602104731,0.8639873788517889
1,0.06922215873876524,0.8639562783880805
1,0.06974581145648315,0.8639249444050989
1,0.07026946417420107,0.8638933769624586
1,0.07079311689191899,0.8638615761203425
1,0.07131676960963691,0.8638295419392108
1,0.07184042232735482,0.8637972744800209
1,0.07236407504507274,0.8637647738042062
1,0.07288772776279066,0.8637320399735842
1,0.07341138048050858,0.8636990730503769
1,0.0739350331982265,0.8636658730973323
1,0.07445868591594441,0.8636324401776108
1,0.07498233863366234,0.8635987743547062
1,0.07550599135138025,0.863564875692667
1,0.07602964406909817,0.8635307442559821
1,0.07655329678681609,0.8634963801094457
1,0.077076949504534,0.8634617833184279
1,0.07760060222225193,0.8634269539485828
1,0.07812425493996984,0.8633918920661472
1,0.07864790765768777,0.8633565977377771
1,0.07917156037540568,0.8633210710304269
1,0.07969521309312359,0.863285312011584
1,0.08021886581084152,0.8632493207491336
1,0.08074251852855943,0.8632130973114016
1,0.08126617124627736,0.8631766417672111
1,0.08178982396399527,0.8631399541857263
1,0.0823134766817132,0.8631030346365662
1,0.08283712939943111,0.8630658831897762
1,0.08336078211714903,0.8630284999158704
1,0.08388443483486695,0.8629908848857184
1,0.08440808755258486,0.8629530381706871
1,0.08493174027030279,0.862914959842584
1,0.0854553929880207,0.8628766499735008
1,0.08597904570573862,0.8628381086361401
1,0.08650269842345654,0.8627993359036026
1,0.08702635114117446,0.8627603318492874
1,0.08755000385889238,0.862721096547105
1,0.0880736565766103,0.8626816300714495
1,0.08859730929432821,0.8626419324970129
1,0.08912096201204613,0.8626020038990276
1,0.08964461472976405,0.8625618443530954
1,0.09016826744748196,0.8625214539352299
1,0.09069192016519989,0.8624808327219853
1,0.0912155728829178,0.8624399807901284
1,0.09173922560063573,0.8623988982169806
1,0.09226287831835364,0.8623575850804173
1,0.09278653103607155,0.8623160414584703
1,0.09331018375378948,0.8622742674297115
1,0.09383383647150739,0.8622322630731958
1,0.09435748918922532,0.8621900284683335
1,0.09488114190694323,0.862147563695018
1,0.09540479462466116,0.8621048688334696
1,0.09592844734237907,0.8620619439643775
1,0.09645210006009698,0.8620187891688573
1,0.09697575277781491,0.8619754045284083
1,0.09749940549553282,0.8619317901250838
1,0.09802305821325075,0.8618879460412074
1,0.09854671093096866,0.8618438723594721
1,0.09907036364868659,0.861799569163253
1,0.0995940163664045,0.861755036536124
1,0.10011766908412242,0.8617102745620997
1,0.10064132180184034,0.8616652833255927
1,0.10116497451955825,0.8616200629115411
1,0.10168862723727617,0.8615746134053666
