theta_rad,phase_deg,mag_dB
1e-05,-89.99961241097452,69.04595342081943
0.00016708648700383984,-89.99352391012668,44.587127117275045
0.0003241729740076797,-89.98743541042845,38.83041828778987
0.00048125946101151954,-89.98134691274943,35.39836995982478
0.0006383459480153594,-89.97525841807662,32.944835076830834
0.0007954324350191993,-89.9691699274064,31.033893362854194
0.000952518922023039,-89.96308144172791,29.468489592854205
0.0011096054090268788,-89.95699296201482,28.14259352834609
0.0012666918960307187,-89.95090448926172,26.99254844972343
0.0014237783830345586,-89.94481602444273,25.97712431110722
0.0015808648700383985,-89.93872756854985,25.068081608803126
0.0017379513570422382,-89.93263912256663,24.24522907511654
0.001895037844046078,-89.92655068747496,23.493628957828005
0.0020521243310499177,-89.92046226426088,22.80191905771286
0.0022092108180537576,-89.91437385390839,22.161255430104873
0.0023662973050575975,-89.90828545740267,21.564619133459292
0.0025233837920614374,-89.90219707572894,21.006346250291994
0.0026804702790652773,-89.8961087098693,20.4818000879022
0.002837556766069117,-89.89002036081028,19.98713687531003
0.002994643253072957,-89.88393202953537,19.519134675258712
0.003151729740076797,-89.877843717031,19.07506608836677
0.0033088162270806364,-89.87175542427958,18.652601950985584
0.0034659027140844763,-89.86566715226778,18.249737390175838
0.003622989201088316,-89.85957890197542,17.864734282785633
0.003780075688092156,-89.85349067439176,17.49607593658734
0.003937162175095995,-89.84740247049993,17.142431004756865
0.004094248662099835,-89.84131429128239,16.802624464345094
0.004251335149103675,-89.83522613772695,16.475614061682325
0.004408421636107515,-89.82913801081571,16.16047103365292
0.004565508123111355,-89.82304991153354,15.856364205941205
0.004722594610115195,-89.81696184086357,15.562546782374033
0.0048796810971190345,-89.8108737997921,15.278345296698792
0.005036767584122874,-89.80478578930328,15.00315031546789
0.005193854071126714,-89.79869781038083,14.73640856918408
0.005350940558130554,-89.79260986401067,14.47761625623807
0.005508027045134394,-89.78652195117395,14.226313315940963
0.005665113532138234,-89.7804340728567,13.982078507071254
0.005822200019142074,-89.77434623004307,13.744525159690644
0.005979286506145914,-89.76825842371859,13.51329749263969
0.006136372993149754,-89.76217065486496,13.288067408663313
0.0062934594801535935,-89.75608292446823,13.068531694702301
0.0064505459671574325,-89.74999523351195,12.854409567397422
0.006607632454161272,-89.74390758298179,12.645440513954044
0.006764718941165112,-89.73781997385944,12.44138238671734
0.006921805428168952,-89.73173240713001,12.242009716503006
0.007078891915172792,-89.72564488377881,12.047112215221219
0.007235978402176632,-89.71955740478839,11.85649344285948
0.007393064889180472,-89.71346997114411,11.669969617639577
0.007550151376184312,-89.70738258382839,11.487368551282822
0.007707237863188152,-89.70129524382686,11.308528693922359
0.00786432435019199,-89.695207952122,11.1332982753858
0.008021410837195831,-89.68912070969918,10.961534531409761
0.00817849732419967,-89.683033517542,10.793103004901399
0.008335583811203511,-89.67694637663415,10.62787691367842
0.00849267029820735,-89.67085928795937,10.465736577239475
0.008649756785211191,-89.66477225250186,10.30656889607222
0.00880684327221503,-89.6586852712453,10.150266877824885
0.00896392975921887,-89.65259834517441,9.996729205369135
0.00912101624622271,-89.6465114752719,9.84585984238713
0.00927810273322655,-89.64042466252127,9.69756767263754
0.00943518922023039,-89.63433790790738,9.55176616950743
0.00959227570723423,-89.62825121241411,9.408373092849056
0.00974936219423807,-89.62216457702381,9.26731021044202
0.00990644868124191,-89.61607800272081,9.128503041718702
0.010063535168245749,-89.609991490489,8.991880621651184
0.010220621655249588,-89.60390504131193,8.857375282925796
0.010377708142253429,-89.59781865617286,8.724922454731365
0.010534794629257268,-89.59173233605517,8.594460476663512
0.010691881116261109,-89.5856460819432,8.465930426402377
0.010848967603264948,-89.57955989481951,8.339275959958329
0.011006054090268788,-89.57347377566796,8.214443163401492
0.011163140577272627,-89.56738772547227,8.091380415098554
0.011320227064276468,-89.56130174521586,7.970038257575699
0.011477313551280307,-89.55521583588154,7.850369278211779
0.011634400038284148,-89.54912999845234,7.7323279980412805
0.011791486525287987,-89.54304423391214,7.6158707680145445
0.011948573012291828,-89.53695854324422,7.5009556721229735
0.012105659499295667,-89.53087292743224,7.387542436851245
0.012262745986299508,-89.52478738745792,7.275592346467014
0.012419832473303347,-89.51870192430567,7.165068163702248
0.012576918960307187,-89.51261653895779,7.055934055419587
0.012734005447311026,-89.50653123239782,6.948155522892405
0.012891091934314865,-89.50044600560864,6.841699336359159
0.013048178421318706,-89.49436085957335,6.736533473541413
0.013205264908322545,-89.48827579527456,6.632627061840841
0.013362351395326386,-89.48219081369564,6.529950323954235
0.013519437882330225,-89.47610591581889,6.428474526666747
0.013676524369334066,-89.4700211026277,6.328171932603116
0.013833610856337905,-89.46393637510434,6.229015754734123
0.013990697343341746,-89.45785173423181,6.130980113451652
0.014147783830345585,-89.45176718099265,6.034039996040197
0.014304870317349425,-89.44568271637003,5.938171218386134
0.014461956804353264,-89.43959834134556,5.8433503887780125
0.014619043291357105,-89.43351405690291,5.749554873662381
0.014776129778360944,-89.42742986402398,5.656762765229701
0.014933216265364785,-89.42134576369132,5.5649528507142545
0.015090302752368624,-89.41526175688765,5.474104583300377
0.015247389239372463,-89.40917784459424,5.384198054535272
0.015404475726376304,-89.40309402779509,5.295213968155643
0.015561562213380143,-89.39701030747118,5.20713361524221
0.01571864870038398,-89.39092668460567,5.119938850621936
0.015875735187387822,-89.38484316017995,5.033612070443658
0.016032821674391663,-89.37875973517654,4.948136190857656
0.016189908161395504,-89.37267641057781,4.86349462773472
0.01634699464839934,-89.3665931873653,4.77967127736437
0.016504081135403182,-89.36051006652133,4.696650498076097
0.016661167622407023,-89.35442704902817,4.6144170927311405
0.016818254109410864,-89.34834413586668,4.532956292035849
0.0169753405964147,-89.34226132801965,4.452253738630661
0.01713242708341854,-89.33617862646834,4.372295471911948
0.017289513570422382,-89.33009603219523,4.293067913546573
0.017446600057426223,-89.32401354618091,4.21455785364153
0.01760368654443006,-89.31793116940824,4.136752437533416
0.0177607730314339,-89.31184890285758,4.059639153164808
0.017917859518437742,-89.30576674751131,3.983205819016375
0.01807494600544158,-89.29968470435081,3.907440572565756
0.01823203249244542,-89.29360277435717,3.832331859245776
0.01838911897944926,-89.28752095851212,3.757868421876305
0.0185462054664531,-89.28143925779662,3.6840392905456327
0.01870329195345694,-89.27535767319226,3.6108337729185447
0.01886037844046078,-89.26927620567982,3.5382414449497226
0.01901746492746462,-89.26319485624109,3.4662521419823102
0.01917455141446846,-89.25711362585656,3.394855950212585
0.0193316379014723,-89.25103251550777,3.324043198502867
0.01948872438847614,-89.24495152617486,3.253804450525709
0.01964581087547998,-89.23887065883957,3.1841304972234545
0.01980289736248382,-89.2327899144826,3.115012349568031
0.019959983849487658,-89.22670929408446,3.046441231606836
0.0201170703364915,-89.2206287986259,2.9784085737811354
0.02027415682349534,-89.21454842908771,2.9109060065044137
0.020431243310499177,-89.20846818645062,2.8439253539884692
