K,f_percent,stable,max_abs_root,PO
0.32323709742100853,-20.23660196610077,False,1.0795368734792148,100.0
0.015979080210363414,-1.6507674571673938,True,0.996129201804036,0.0
0.012016368341672695,-9.13453625514159,True,0.992591055108845,0.0
0.7226877284228556,15.067932065650389,False,1.632040017172902,100.0
0.35450666643659534,-20.401279500327156,False,1.1041466841876784,100.0
0.009122176361500475,-8.644969440707843,True,0.9943924812345836,0.0
0.19957685731723696,13.422995697032526,False,1.2761885125262966,100.0
0.0436223306458442,-3.48162479975646,False,1.0000275805391994,4.0318201165449485
0.06365329819459925,-6.843120712026035,True,0.9834893633409039,0.2073784161567671
0.005694814611714598,-1.4214636884907215,True,0.9967391173012488,0.0
0.049550531073049166,23.684455121521466,False,1.270587374424558,100.0
0.0948413767318751,-16.236206996720714,True,0.9407212772740983,0.0
0.1918904677804038,-14.984687324688133,False,1.013877080454301,100.0
0.08206577391797916,-16.526028249804853,True,0.9480672294498742,0.0
0.00019566859693366035,0.08094861582151935,False,1.0009626787666148,0.0
0.0806145796451893,-4.128694674810561,False,1.023192402173182,100.0
0.0004329688867633211,5.134377925297258,False,1.0516722541540326,100.0
0.0012065622527591443,20.587369162640343,False,1.2067118096732852,100.0
0.2850019494838402,-19.91812734191186,False,1.0501065997062045,100.0
0.13512559229537627,-19.816224468916257,True,0.9221468920625345,3.4771074908235278e-09
0.007285909956625779,14.485999964990349,False,1.1500912770092704,100.0
0.05350021166614999,-18.122744294307882,True,0.9648485103187407,0.0
0.03321780832520514,-3.155354818093013,True,0.9949430917737834,0.3497682593101459
0.012342371075674602,-2.6332798962507873,True,0.9928781443044981,0.0
0.13229536914224072,-12.781251098949692,True,0.983983566075275,4.052154844239553
0.05205925188948012,27.68916228813596,False,1.3116081104535595,100.0
0.10618238523317698,-26.84316662814297,True,0.9265176968321804,0.0
0.7117503031053825,8.421878107996413,False,1.5759414718262876,100.0
0.09793161074242313,19.079576057445145,False,1.2588939824823129,100.0
0.04206528468437012,17.11226130936989,False,1.200815236482806,100.0
0.08297739474922898,18.92680162886316,False,1.247083120119914,100.0
