type,re,im,mag,angle_deg
Zero,-2.1624404748406687,0.0,2.1624404748406687,180.0
Zero,0.46244047484066875,0.0,0.46244047484066875,0.0
Pole,-0.5,0.8660254037844389,1.0000000000000002,119.99999999999999
Pole,-0.5,-0.8660254037844389,1.0000000000000002,-119.99999999999999
Pole,0.9999999999999998,0.0,0.9999999999999998,0.0
