frequency_rad_s,magnitude_dB,phase_deg
0.001,34.334049154957,-359.959892956766
0.00100461733293603,34.3340498373947,-359.959707769217
0.0010092559856355,34.334050526149,-359.959521726596
0.00101391605653885,34.3340512212785,-359.959334824954
0.00101859764454108,34.3340519228421,-359.959147060325
0.00102330084899378,34.3340526308995,-359.958958428725
0.0010280257697073,34.3340533455107,-359.958768926151
0.00103277250695285,34.3340540667363,-359.95857854858
0.00103754116146463,34.3340547946377,-359.958387291973
0.00104233183444194,34.3340555292766,-359.958195152271
0.00104714462755138,34.3340562707154,-359.958002125396
0.00105197964292896,34.3340570190169,-359.957808207252
0.00105683698318228,34.3340577742448,-359.957613393724
0.00106171675139274,34.3340585364632,-359.957417680678
0.00106661905111768,34.3340593057367,-359.957221063959
0.0010715439863926,34.3340600821306,-359.957023539396
0.00107649166173337,34.3340608657109,-359.956825102797
0.00108146218213845,34.3340616565441,-359.95662574995
0.00108645565309111,34.3340624546973,-359.956425476625
0.00109147218056166,34.3340632602382,-359.956224278572
0.00109651187100972,34.3340640732353,-359.956022151521
0.00110157483138648,34.3340648937576,-359.955819091183
0.00110666116913694,34.3340657218747,-359.955615093248
0.00111177099220222,34.3340665576569,-359.955410153386
0.00111690440902183,34.3340674011751,-359.95520426725
0.001122061528536,34.3340682525011,-359.954997430469
0.00112724246018796,34.334069111707,-359.954789638655
0.00113244731392627,34.3340699788657,-359.954580887396
0.00113767620020718,34.334070854051,-359.954371172264
0.00114292922999693,34.334071737337,-359.954160488809
0.00114820651477415,34.3340726287988,-359.953948832558
0.00115350816653217,34.3340735285121,-359.953736199019
0.00115883429778148,34.3340744365532,-359.953522583682
0.00116418502155202,34.3340753529992,-359.953307982012
0.00116956045139566,34.3340762779279,-359.953092389455
0.00117496070138857,34.3340772114178,-359.952875801436
0.00118038588613362,34.3340781535482,-359.952658213359
0.00118583612076289,34.334079104399,-359.952439620605
0.00119131152094002,34.334080064051,-359.952220018536
0.00119681220286273,34.3340810325857,-359.951999402492
0.00120233828326524,34.3340820100851,-359.951777767791
0.00120788987942081,34.3340829966324,-359.951555109729
0.00121346710914415,34.3340839923113,-359.951331423582
0.00121907009079399,34.3340849972063,-359.951106704601
0.00122469894327554,34.3340860114027,-359.950880948019
0.00123035378604304,34.3340870349866,-359.950654149044
0.0012360347391023,34.3340880680449,-359.950426302863
0.00124174192301323,34.3340891106652,-359.950197404641
0.00124747545889241,34.3340901629362,-359.94996744952
0.00125323546841564,34.3340912249471,-359.949736432621
0.00125902207382055,34.3340922967881,-359.94950434904
0.00126483539790919,34.3340933785502,-359.949271193853
0.00127067556405061,34.3340944703252,-359.949036962111
0.0012765426961835,34.3340955722057,-359.948801648844
0.00128243691881883,34.3340966842854,-359.948565249058
0.00128835835704247,34.3340978066587,-359.948327757736
0.00129430713651785,34.3340989394207,-359.948089169838
0.00130028338348863,34.3341000826677,-359.947849480301
0.00130628722478138,34.3341012364967,-359.947608684038
0.00131231878780828,34.3341024010058,-359.94736677594
0.00131837820056979,34.3341035762936,-359.947123750872
0.00132446559165742,34.33410476246,-359.946879603677
0.00133058109025641,34.3341059596058,-359.946634329174
0.00133672482614851,34.3341071678324,-359.946387922157
0.00134289692971469,34.3341083872426,-359.946140377398
0.00134909753193795,34.3341096179398,-359.945891689644
0.00135532676440608,34.3341108600284,-359.945641853615
0.00136158475931445,34.334112113614,-359.945390864012
0.00136787164946883,34.3341133788029,-359.945138715507
0.00137418756828818,34.3341146557026,-359.944885402749
0.00138053264980751,34.3341159444214,-359.944630920362
0.00138690702868073,34.3341172450688,-359.944375262946
0.00139331084018346,34.3341185577552,-359.944118425076
0.00139974422021597,34.3341198825919,-359.943860401301
0.00140620730530598,34.3341212196915,-359.943601186144
0.00141270023261165,34.3341225691675,-359.943340774106
0.00141922313992442,34.3341239311344,-359.94307915966
0.00142577616567197,34.3341253057079,-359.942816337254
0.00143235944892113,34.3341266930046,-359.94255230131
0.00143897312938086,34.3341280931423,-359.942287046225
0.00144561734740521,34.3341295062399,-359.94202056637
0.00145229224399628,34.3341309324174,-359.941752856089
0.00145899796080722,34.3341323717957,-359.941483909702
0.00146573464014525,34.3341338244972,-359.941213721501
0.00147250242497467,34.3341352906451,-359.940942285752
0.00147930145891988,34.3341367703638,-359.940669596695
0.00148613188626846,34.3341382637791,-359.940395648543
0.00149299385197421,34.3341397710176,-359.940120435482
0.00149988750166022,34.3341412922074,-359.939843951672
0.00150681298162197,34.3341428274775,-359.939566191244
0.00151377043883045,34.3341443769584,-359.939287148306
0.00152076002093524,34.3341459407815,-359.939006816934
0.0015277818762677,34.3341475190796,-359.938725191181
0.00153483615384405,34.3341491119866,-359.938442265068
0.0015419230033686,34.3341507196379,-359.938158032593
0.00154904257523688,34.3341523421699,-359.937872487723
0.00155619502053882,34.3341539797203,-359.937585624398
0.00156338049106204,34.3341556324281,-359.937297436531
0.00157059913929496,34.3341573004337,-359.937007918005
0.00157785111843013,34.3341589838787,-359.936717062678
0.0015851365823674,34.3341606829059,-359.936424864376
0.00159245568571727,34.3341623976596,-359.936131316898
0.00159980858380409,34.3341641282853,-359.935836414015
0.00160719543266943,34.3341658749301,-359.935540149468
0.00161461638907533,34.3341676377421,-359.935242516971
0.00162207161050765,34.334169416871,-359.934943510207
0.00162956125517944,34.3341712124679,-359.93464312283
0.00163708548203426,34.3341730246851,-359.934341348466
0.00164464445074955,34.3341748536766,-359.934038180711
0.00165223832174005,34.3341766995976,-359.93373361313
0.00165986725616118,34.3341785626048,-359.933427639261
0.00166753141591249,34.3341804428563,-359.933120252611
0.00167523096364104,34.3341823405118,-359.932811446655
0.00168296606274491,34.3341842557324,-359.932501214841
0.00169073687737664,34.3341861886806,-359.932189550584
0.0016985435724467,34.3341881395207,-359.931876447272
0.00170638631362704,34.3341901084181,-359.931561898259
0.00171426526735454,34.33419209554,-359.931245896869
0.00172218060083458,34.3341941010551,-359.930928436398
0.0017301324820446,34.3341961251337,-359.930609510108
0.00173812107973763,34.3341981679476,-359.93028911123
0.00174614656344591,34.3342002296702,-359.929967232966
0.00175420910348444,34.3342023104766,-359.929643868484
0.00176230887095464,34.3342044105434,-359.929319010923
0.00177044603774795,34.3342065300489,-359.928992653387
0.0017786207765495,34.334208669173,-359.928664788952
0.00178683326084176,34.3342108280973,-359.92833541066
0.00179508366490824,34.3342130070051,-359.928004511519
0.00180337216383714,34.3342152060813,-359.92767208451
0.00181169893352514,34.3342174255128,-359.927338122576
0.00182006415068107,34.3342196654878,-359.92700261863
0.00182846799282969,34.3342219261965,-359.926665565553
0.00183691063831546,34.3342242078309,-359.926326956191
0.00184539226630629,34.3342265105847,-359.925986783359
0.00185391305679739,34.3342288346534,-359.925645039838
0.00186247319061507,34.3342311802341,-359.925301718375
0.00187107284942057,34.3342335475262,-359.924956811685
0.0018797122157139,34.3342359367305,-359.924610312448
0.00188839147283777,34.3342383480499,-359.92426221331
0.00189711080498142,34.3342407816891,-359.923912506885
0.00190587039718455,34.3342432378547,-359.923561185751
0.00191467043534127,34.3342457167552,-359.923208242453
0.00192351110620401,34.334248218601,-359.922853669499
0.0019323925973875,34.3342507436046,-359.922497459367
0.00194131509737275,34.3342532919804,-359.922139604497
0.00195027879551106,34.3342558639446,-359.921780097293
0.001959283882028,34.3342584597155,-359.921418930127
0.00196833054802752,34.3342610795137,-359.921056095335
0.00197741898549592,34.3342637235615,-359.920691585216
0.00198654938730597,34.3342663920833,-359.920325392034
0.00199572194722102,34.3342690853057,-359.91995750802
0.00200493685989908,34.3342718034573,-359.919587925365
0.00201419432089694,34.334274546769,-359.919216636226
0.00202349452667438,34.3342773154735,-359.918843632724
0.00203283767459826,34.3342801098061,-359.918468906943
