omega,uncompensated_dB,compensated_2nd_dB
-9.258893574440522,-0.9790283252931881,-53.73055595715125
-9.2579510495182,-0.9741160899187948,-53.62676487451324
-9.257008524595875,-0.9691763746509543,-53.523498227939
-9.256065999673552,-0.9642091838586644,-53.420749808637886
-9.25512347475123,-0.9592145218921312,-53.3185135116385
-9.254180949828907,-0.9541923930821178,-53.21678333348706
-9.253238424906584,-0.9491428017392547,-53.115553370008755
-9.25229589998426,-0.9440657521533393,-53.01481781413071
-9.251353375061937,-0.9389612485926802,-52.914570953764596
-9.250410850139614,-0.9338292953033605,-52.81480716974507
-9.249468325217292,-0.9286698965085749,-52.715520933825744
-9.248525800294969,-0.9234830564079042,-52.61670680672754
-9.247583275372644,-0.9182687791766351,-52.51835943623951
-9.246640750450322,-0.9130270689650792,-52.42047355537029
-9.245698225527999,-0.9077579298978067,-52.323043980547574
-9.244755700605676,-0.9024613660729931,-52.22606560986528
-9.243813175683353,-0.897137381561675,-52.12953342137672
-9.24287065076103,-0.8917859804070611,-52.03344247143158
-9.241928125838706,-0.8864071666237952,-51.937787893055905
-9.240985600916384,-0.8810009441972734,-51.84256489437465
-9.24004307599406,-0.8755673170828743,-51.74776875707267
-9.239100551071738,-0.8701062892052629,-51.653394834896524
-9.238158026149415,-0.8646178644576731,-51.559438552193654
-9.237215501227091,-0.8591020467011513,-51.46589540248805
-9.236272976304768,-0.8535588397638855,-51.372760947092495
-9.235330451382445,-0.8479882474403801,-51.28003081375362
-9.234387926460123,-0.8423902734908084,-51.187700695332666
-9.2334454015378,-0.836764921640216,-51.0957663485173
-9.232502876615476,-0.8311121955778038,-51.004223592565694
-9.231560351693153,-0.8254320989562132,-50.91306830808172
-9.23061782677083,-0.8197246353907194,-50.82229643581833
-9.229675301848507,-0.8139898084585396,-50.73190397551173
-9.228732776926185,-0.8082276216980406,-50.641886984742555
-9.22779025200386,-0.8024380786080122,-50.55224157782463
-9.226847727081537,-0.7966211826469378,-50.4629639247206
-9.225905202159215,-0.7907769372321687,-50.37405024998221
-9.224962677236892,-0.7849053457392295,-50.28549683171682
-9.22402015231457,-0.7790064115010104,-50.1973000005776
-9.223077627392247,-0.7730801378070463,-50.109456138777524
-9.222135102469922,-0.7671265279027026,-50.021961679126036
-9.2211925775476,-0.7611455849884834,-49.934813104088995
-9.220250052625277,-0.7551373122191565,-49.84800694486854
-9.219307527702954,-0.7491017127030654,-49.76153978050601
-9.218365002780631,-0.7430387895013163,-49.675408237004106
-9.217422477858307,-0.7369485456269947,-49.58960898646951
-9.216479952935984,-0.7308309840444336,-49.504138746275274
-9.215537428013661,-0.7246861076683742,-49.418994278240966
-9.214594903091339,-0.7185139193632044,-49.33417238783227
-9.213652378169016,-0.7123144219421708,-49.24966992337828
-9.212709853246691,-0.7060876181665898,-49.1654837753057
-9.211767328324369,-0.6998335107450917,-49.08161087539118
-9.210824803402046,-0.6935521023327608,-48.99804819602811
-9.209882278479723,-0.6872433955303753,-48.91479274951163
