K,stable,pole1_real,pole1_imag,pole2_real,pole2_imag,pole3_real,pole3_imag
0.001,1,-10.0056203697831,0,-0.00218981510845139,0.355210201710804,-0.00218981510845139,-0.355210201710804
0.00102807322383087,1,-10.0057782126225,0,-0.00225125980791082,0.355453766820566,-0.00225125980791082,-0.355453766820566
0.00105693455355799,1,-10.0059404900885,0,-0.00231442772353252,0.355703976589604,-0.00231442772353252,-0.355703976589604
0.0010866061138546,1,-10.0061073268729,0,-0.0023793671328036,0.355961006998015,-0.0023793671328036,-0.355961006998015
0.00111711065050482,1,-10.0062788511793,0,-0.00244612766289549,0.356225038400826,-0.00244612766289549,-0.356225038400826
0.00114847154784029,1,-10.0064551948219,0,-0.00251476032823207,0.356496255621523,-0.00251476032823207,-0.356496255621523
0.00118071284666619,1,-10.0066364933285,0,-0.00258531756909943,0.356774848046762,-0.00258531756909943,-0.356774848046762
0.00121385926269063,1,-10.0068228860443,0,-0.00265785329131437,0.357061009722241,-0.00265785329131437,-0.357061009722241
0.00124793620547131,1,-10.0070145162407,0,-0.00273242290699045,0.357354939449697,-0.00273242290699045,-0.357354939449697
0.00128296979789415,1,-10.0072115312261,0,-0.00280908337642466,0.35765684088498,-0.00280908337642466,-0.35765684088498
0.00131898689619867,1,-10.0074140824597,0,-0.0028878932511385,0.357966922637183,-0.0028878932511385,-0.357966922637183
0.00135601511056563,1,-10.0076223256695,0,-0.00296891271810227,0.358285398368767,-0.00296891271810227,-0.358285398368767
0.00139408282628258,1,-10.0078364209725,0,-0.00305220364517656,0.358612486896635,-0.00305220364517656,-0.358612486896635
0.00143321922550357,1,-10.0080565329994,0,-0.00313782962780276,0.358948412294113,-0.00313782962780276,-0.358948412294113
0.00147345430961984,1,-10.0082828310222,0,-0.00322585603697422,0.359293403993767,-0.00322585603697422,-0.359293403993767
0.00151481892225835,1,-10.0085154890855,0,-0.0033163500685254,0.359647696891009,-0.0033163500685254,-0.359647696891009
0.00155734477292614,1,-10.0087546861417,0,-0.00340938079377503,0.360011531448418,-0.00340938079377503,-0.360011531448418
0.00160106446131832,1,-10.0090006061901,0,-0.00350501921155261,0.360385153800712,-0.00350501921155261,-0.360385153800712
0.00164601150230855,1,-10.0092534384198,0,-0.00360333830165567,0.360768815860293,-0.00360333830165567,-0.360768815860293
0.00169222035164104,1,-10.0095133773569,0,-0.00370441307976531,0.36116277542329,-0.00370441307976531,-0.36116277542329
0.0017397264323438,1,-10.0097806230157,0,-0.00380832065386816,0.361567296276013,-0.00380832065386816,-0.361567296276013
0.00178856616188346,1,-10.0100553810544,0,-0.00391514028221825,0.361982648301738,-0.00391514028221825,-0.361982648301738
0.00183877698008233,1,-10.0103378629351,0,-0.00402495343288178,0.362409107587715,-0.00402495343288178,-0.362409107587715
0.00189039737781922,1,-10.0106282860884,0,-0.00413784384490837,0.362846956532314,-0.00413784384490837,-0.362846956532314
0.00194346692653602,1,-10.010926874083,0,-0.00425389759116861,0.363296483952196,-0.00425389759116861,-0.363296483952196
0.00199802630857255,1,-10.0112338567999,0,-0.00437320314290564,0.363757985189408,-0.00437320314290564,-0.363757985189408
0.00205411734835306,1,-10.0115494706115,0,-0.00449585143604084,0.364231762218281,-0.00449585143604084,-0.364231762218281
0.00211178304444824,1,-10.0118739585659,0,-0.00462193593928635,0.364718123752005,-0.00462193593928635,-0.364718123752005
0.00217106760253726,1,-10.0122075705772,0,-0.00475155272410614,0.365217385348773,-0.00475155272410614,-0.365217385348773
0.00223201646929523,1,-10.0125505636198,0,-0.00488480053657493,0.365729869517343,-0.00488480053657493,-0.365729869517343
0.00229467636723194,1,-10.0129032019299,0,-0.0050217808711902,0.366255905821898,-0.0050217808711902,-0.366255905821898
0.00235909533050864,1,-10.0132657572117,0,-0.00516259804667813,0.366795830986041,-0.00516259804667813,-0.366795830986041
0.00242532274176035,1,-10.0136385088499,0,-0.00530735928385579,0.367349988995795,-0.00530735928385579,-0.367349988995795
0.00249340936995188,1,-10.0140217441283,0,-0.00545617478559475,0.367918731201446,-0.00545617478559475,-0.367918731201446
0.00256340740929651,1,-10.0144157584551,0,-0.00560915781894644,0.36850241641806,-0.00560915781894644,-0.36850241641806
0.0026353705192674,1,-10.0148208555937,0,-0.00576642479948059,0.369101411024532,-0.00576642479948059,-0.369101411024532
0.00270935386573205,1,-10.0152373479015,0,-0.00592809537789621,0.369716089060967,-0.00592809537789621,-0.369716089060967
0.00278541416324177,1,-10.0156655565745,0,-0.00609429252896391,0.370346832324232,-0.00609429252896391,-0.370346832324232
0.00286360971850812,1,-10.0161058118994,0,-0.00626514264285728,0.370994030461503,-0.00626514264285728,-0.370994030461503
0.00294400047510004,1,-10.0165584535131,0,-0.00644077561893481,0.371658081061594,-0.00644077561893481,-0.371658081061594
0.00302664805939569,1,-10.0170238306699,0,-0.00662132496203668,0.372339389743911,-0.00662132496203668,-0.372339389743911
0.00311161582782436,1,-10.0175023025155,0,-0.00680692788135896,0.373038370244796,-0.00680692788135896,-0.373038370244796
0.00319896891543454,1,-10.0179942383704,0,-0.00699772539196765,0.373755444501091,-0.00699772539196765,-0.373755444501091
0.00328877428582551,1,-10.0185000180202,0,-0.00719386241902398,0.374491042730688,-0.00719386241902398,-0.374491042730688
0.00338110078248069,1,-10.0190200320152,0,-0.00739548790478785,0.375245603509878,-0.00739548790478785,-0.375245603509878
0.00347601918154198,1,-10.0195546819785,0,-0.00760275491846455,0.376019573847263,-0.00760275491846455,-0.376019573847263
0.00357360224606579,1,-10.0201043809227,0,-0.00781582076897168,0.376813409254023,-0.00781582076897168,-0.376813409254023
