f_percent,K_max_exact_jury,K_max_linearised_approx,relative_error_percent
-30.0,0.318480815459437,0.2956464200032562,7.169786796495157
-29.74873949579832,0.31635517794392626,0.29398136023812693,7.07237284725748
-29.497478991596637,0.31422030651050087,0.2923163004729977,6.970907221354625
-29.24621848739496,0.31207620271150766,0.29062059258181105,6.87511894315466
-28.994957983193277,0.30992286812101993,0.2889243562746579,6.7753993029525175
-28.743697478991596,0.3077603043347141,0.2871981711363775,6.681216813450242
-28.492436974789918,0.30558851296974915,0.28547093516191735,6.58322448456146
-28.241176470588236,0.30340749566464237,0.28371444381852967,6.490627992882389
-27.989915966386555,0.30121725407915095,0.28195638522323513,6.394344478970199
-27.738655462184873,0.2990177898941497,0.2801697588479533,6.303314278681695
-27.48739495798319,0.2968091048115123,0.2783810548159451,6.208721261185658
-27.236134453781514,0.29459120055399274,0.2765644646805942,6.119237723156158
-26.984873949579832,0.2923640788651061,0.27474529249863744,6.026317061542235
-26.73361344537815,0.29012774150901205,0.27289890994026605,5.938360626645152
-26.482352941176472,0.28788219027039724,0.27104944696192323,5.847094359211185
-26.23109243697479,0.28562742695435867,0.2691734433486842,5.7606455308312166
-25.97983193277311,0.2833634533862898,0.26729386695767077,5.671015876106117
-25.728571428571428,0.28109027141176385,0.265388413654015,5.5860552124009635
-25.477310924369746,0.2788078828964203,0.26347890122680756,5.498044571181503
-25.226050420168068,0.2765162897258508,0.2615441695580345,5.414552677044903
-24.974789915966387,0.2742154938054872,0.2596048984257796,5.328143635119146
-24.723529411764705,0.27190549706048744,0.2576410596419875,5.246101153786784
-24.472268907563027,0.26958630143562595,0.2556722070517593,5.161276485403755
-24.221008403361346,0.26725790889518036,0.25367943229123846,5.080664089633148
-23.969747899159664,0.264920321422822,0.25168117536669227,4.997406761786164
-23.718487394957982,0.26257354102150615,0.2496596356188043,4.918205144532873
-23.4672268907563,0.2602175697133627,0.2476321513202759,4.836498322134813
-23.215966386554623,0.25785240953958605,0.24558201738786134,4.7586881866391595
-22.96470588235294,0.2554780625603296,0.24352548247195716,4.678515238681182
-22.71344537815126,0.25309453085459516,0.24144692493331385,4.602077287862436
-22.46218487394958,0.2507018165201283,0.2393615159120406,4.523421794663063
-22.2109243697479,0.24829992167331089,0.23725470508251517,4.448336719706237
-21.95966386554622,0.2458888484490554,0.23514059818199468,4.371182481375361
-21.708403361344537,0.24346859900069912,0.2330057040752277,4.297430949377327
-21.457142857142856,0.2410391754999009,0.23086307519404337,4.221761995639465
-21.205882352941178,0.2386005801365358,0.2287002674829102,4.149324636159845
-20.954621848739496,0.23615281511859137,0.226529292150131,4.075125237710004
-20.703361344537814,0.23369588267206548,0.22433874012741842,4.0039826280454855
-20.452100840336136,0.23122978504086295,0.22213959346034484,3.9312373096362494
-20.200840336134455,0.22875452448669348,0.21992146599920373,3.861369958609742
-19.949579831932773,0.22627010328897162,0.21769432266088057,3.7900635141085557
-19.69831932773109,0.22377652374471418,0.21544878817509427,3.7214518441265305
-19.44705882352941,0.22127378816844073,0.2131938223316346,3.651569353824859
-19.195798319327732,0.21876189889207348,0.21092104873574144,3.5841936809116546
-18.94453781512605,0.21624085826483713,0.20863843401350343,3.515720531419075
-18.69327731092437,0.21371066865316174,0.20633858868281238,3.4495610428853962
-18.44201680672269,0.211171332440583,0.2040284981254736,3.3824829500089306
-18.19075630252101,0.20862285202764458,0.20170174785601058,3.3175196793479182
-17.939495798319328,0.20606522983180137,0.1993643538815793,3.251822714434446
-17.688235294117646,0.20349846828732115,0.1970108648500007,3.1880355129555893
-17.436974789915965,0.20092256984519025,0.19464633920780675,3.123706133272784
-17.185714285714287,0.19833753697301632,0.19226627693131695,3.06107463789134
-16.934453781512605,0.19574337215493237,0.18987479065902135,2.998099721744852
-16.683193277310924,0.19314007789150373,0.18746831995532964,2.9366033182197366
-16.431932773109246,0.19052765669963173,0.1850500433359925,2.874970205650889
-16.180672268907564,0.18790611111246053,0.18261732828334415,2.8145879864178966
-15.929411764705883,0.18527544367928334,0.1801724308025895,2.7542845265167983
-15.678151260504201,0.18263565696544942,0.17771363469990473,2.6949952420713945
-15.426890756302521,0.17998675355227117,0.17524228500321865,2.6360098481773293
-15.175630252100841,0.1773287360369325,0.17275757033037298,2.5777918507282873
-14.92436974789916,0.17466160703239614,0.17025993618057306,2.52011356508741
-14.673109243697478,0.17198536916731294,0.16774946455885106,2.462944742899061
-14.421848739495799,0.16930002508593173,0.16522571279376147,2.406563312735633
-14.170588235294119,0.16660557744800714,0.1626896449465156,2.350421013194217
-13.919327731092437,0.16390202892871036,0.16013994143688245,2.295326980646615
-13.668067226890756,0.16118938221854068,0.15757843715042702,2.240187919585135
-13.416806722689074,0.1584676400232346,0.15500294675810822,2.1863727286014916
-13.165546218487396,0.1557368050636772,0.15241616484287857,2.132212882780605
-12.914285714285715,0.1529968800758153,0.14981505137933898,2.0796690069102137
-12.663025210084033,0.1502478678105686,0.1472031496313439,2.0264634857004764
-12.411764705882355,0.14748977103374156,0.14457657581648942,1.9751845818417348
-12.160504201680673,0.1447225925259374,0.14193971097908553,1.9229074730354243
-11.909243697478992,0.14194633508247007,0.13928783840046385,1.8728885676841458
-11.65798319327731,0.13916100151327987,0.13662616612647713,1.8215127508699678
-11.406722689075629,0.13636659464284523,0.13394915519887557,1.7727504674448482
-11.15546218487395,0.13356311731009868,0.13126283001309713,1.7222473863505896
-10.90420168067227,0.1307505723683418,0.1285608399385666,1.6747402249272354
-10.652941176470588,0.12792896268515902,0.12585001520064684,1.6250796073666247
-10.40168067226891,0.125098291142335,0.12312320392897519,1.5788282919968835
-10.150420168067228,0.12225856063576895,0.12038803179673951,1.52997780221059
-9.899159663865547,0.11940977407539216,0.11763655598640406,1.4849857163857783
-9.647899159663865,0.11655193438508432,0.11487718737961403,1.4369105191656262
-9.396638655462183,0.11368504450259104,0.1121012023592354,1.3931842576879467
-9.145378151260505,0.11080910737943978,0.10931778692381572,1.3458464659564306
-8.894117647058824,0.10792412598085949,0.10651744665413568,1.303396542653758
-8.642857142857142,0.105030103285698,0.1037101327268879,1.2567545089616738
-8.391596638655464,0.10212704228634023,0.10088558976329633,1.2155962762175787
-8.140336134453783,0.09921494598862807,0.09805452433712016,1.1696036720525136
-7.889075630252101,0.0962938174117775,0.09520592979274796,1.129758533071188
-7.63781512605042,0.093363659588301,0.09235125848238597,1.0843631348421312
-7.386554621848738,0.09042447556392524,0.08947876199178721,1.0458601681017918
-7.13529411764706,0.08747626839751182,0.08660062900011271,1.0010022300219859
-6.884033613445379,0.08451904116097858,0.0837043786835518,0.9638804063987727
-6.632773109243697,0.08155279693921941,0.08080292676841498,0.9194904392589963
-6.381512605042019,0.07857753883002666,0.0778830691967789,0.8838017117715918
-6.1302521008403374,0.07559326994401111,0.07495843963842762,0.8397973867960536
-5.878991596638656,0.072599993404526,0.07201511979877534,0.8056111003919123
-5.627731092436974,0.06959771234758622,0.06906745236786264,0.7618928292863087
-5.376470588235293,0.0665864299217947,0.06610081362963176,0.72930219075162
-5.125210084033615,0.0635661492882616,0.06313024655582632,0.6857466392348808
-4.873949579831933,0.06053687362052945,0.060140430637705286,0.6548785213277403
-4.622689075630252,0.057498606104495364,0.057147100578913666,0.6113287771583331
-4.371428571428574,0.054451349938336835,0.05413424751639663,0.5823591560159771
-4.120168067226892,0.05139510833243316,0.05111828952861157,0.538609242792281
-3.8689075630252105,0.04832988450929171,0.04808253764224309,0.5117886573907888
-3.617647058823529,0.04525568170347222,0.04504408515002456,0.4675579849489319
-3.3663865546218474,0.042172503161510055,0.04198557101434849,0.4432559918145371
-3.1151260504201694,0.03908035214184441,0.0389247557819498,0.3981447232866839
-2.863865546218488,0.03597923191474112,0.0358436141951676,0.3769333372510163
-2.6126050420168063,0.03286914576222005,0.03276056629831168,0.33033856338662826
-2.3613445378151283,0.029750096977980867,0.029656930252659544,0.31316444242275454
-2.1100840336134468,0.026622088867328364,0.026551778050973793,0.2641070605126683
-1.8588235294117652,0.02348512474710157,0.02342577870382641,0.25269630846854996
-1.6075630252100837,0.020339207945596904,0.02029864881394264,0.1994135256532607
-1.356302521008402,0.017184341802500003,0.01715041545964626,0.1974259080950448
-1.105042016806724,0.01402052966880879,0.014001432728968179,0.13620697856441105
-0.8537815126050425,0.010847774906764196,0.010831092771410283,0.1537839372340807
-0.602521008403361,0.007666080889776439,0.0076603802525553565,0.07436181933176216
-0.351260504201683,0.004475451002355413,0.00446805917847256,0.16516377632026283
-0.1,0.0012758886400363045,0.0012757381043897,0.011798494153865852
