omegaT,zeta,re,im
0.5235987755982988,0.0,0.8660254037844387,0.49999999999999994
0.5235987755982988,0.0005002501250625312,0.8657986278991632,0.49986899525079304
0.5235987755982988,0.0010005002501250625,0.8655719768780565,0.49973791140952595
0.5235987755982988,0.0015007503751875936,0.865345450654128,0.4996067485561488
0.5235987755982988,0.002001000500250125,0.8651190491604225,0.4994755067704573
0.5235987755982988,0.0025012506253126563,0.8648927723300202,0.499344186132092
0.5235987755982988,0.003001500750375187,0.8646666200960372,0.4992127867205388
0.5235987755982988,0.0035017508754377185,0.8644405923916247,0.49908130861512934
0.5235987755982988,0.00400200100050025,0.8642146891499702,0.4989497518950406
0.5235987755982988,0.004502251125562781,0.8639889103042958,0.49881811663929565
0.5235987755982988,0.0050025012506253125,0.8637632557878593,0.49868640292676353
0.5235987755982988,0.005502751375687844,0.8635377255339545,0.49855461083615943
0.5235987755982988,0.006003001500750374,0.8633123194759098,0.49842274044604484
0.5235987755982988,0.006503251625812906,0.8630870375470898,0.4982907918348277
0.5235987755982988,0.007003501750875437,0.862861879680894,0.49815876508076257
0.5235987755982988,0.007503751875937968,0.8626368458107576,0.4980266602619509
0.5235987755982988,0.0080040020010005,0.8624119358701506,0.497894477456341
0.5235987755982988,0.00850425212606303,0.862187149792579,0.4977622167417286
0.5235987755982988,0.009004502251125562,0.861962487511584,0.49762987819575616
0.5235987755982988,0.009504752376188093,0.8617379489607417,0.49749746189591393
0.5235987755982988,0.010005002501250625,0.8615135340736639,0.4973649679195398
0.5235987755982988,0.010505252626313155,0.8612892427839975,0.49723239634381927
0.5235987755982988,0.011005502751375688,0.8610650750254246,0.49709974724578565
0.5235987755982988,0.011505752876438218,0.8608410307316627,0.4969670207023205
0.5235987755982988,0.012006003001500749,0.8606171098364643,0.49683421679015327
0.5235987755982988,0.01250625312656328,0.8603933122736175,0.49670133558586227
0.5235987755982988,0.013006503251625811,0.8601696379769449,0.4965683771658738
0.5235987755982988,0.013506753376688344,0.8599460868803048,0.4964353416064633
0.5235987755982988,0.014007003501750874,0.8597226589175906,0.49630222898375453
0.5235987755982988,0.014507253626813406,0.8594993540227306,0.49616903937372064
0.5235987755982988,0.015007503751875937,0.8592761721296881,0.4960357728521838
0.5235987755982988,0.015507753876938469,0.859053113172462,0.4959024294948153
0.5235987755982988,0.016008004002001,0.8588301770850858,0.49576900937713586
0.5235987755982988,0.01650825412706353,0.8586073638016284,0.4956355125745161
0.5235987755982988,0.01700850425212606,0.858384673256193,0.49550193916217583
0.5235987755982988,0.017508754377188594,0.8581621053829188,0.4953682892151852
0.5235987755982988,0.018009004502251125,0.8579396601159796,0.49523456280846423
0.5235987755982988,0.018509254627313655,0.8577173373895836,0.495100760016783
0.5235987755982988,0.019009504752376186,0.8574951371379749,0.494966880914762
0.5235987755982988,0.01950975487743872,0.8572730592954317,0.4948329255768721
0.5235987755982988,0.02001000500250125,0.8570511037962678,0.49469889407743495
0.5235987755982988,0.02051025512756378,0.8568292705748315,0.49456478649062285
0.5235987755982988,0.02101050525262631,0.8566075595655059,0.4944306028904588
0.5235987755982988,0.02151075537768884,0.8563859707027094,0.49429634335081735
0.5235987755982988,0.022011005502751375,0.8561645039208948,0.4941620079454237
0.5235987755982988,0.022511255627813906,0.85594315915455,0.4940275967478547
0.5235987755982988,0.023011505752876436,0.8557219363381975,0.49389310983153856
0.5235987755982988,0.023511755877938967,0.8555008354063947,0.493758547269755
0.5235987755982988,0.024012006003001497,0.8552798562937338,0.4936239091356359
0.5235987755982988,0.02451225612806403,0.8550589989348417,0.49348919550216475
0.5235987755982988,0.02501250625312656,0.85483826326438,0.4933544064421769
0.5235987755982988,0.025512756378189092,0.854617649217045,0.4932195420283603
0.5235987755982988,0.026013006503251623,0.8543971567275679,0.4930846023332551
0.5235987755982988,0.026513256628314157,0.8541767857307143,0.4929495874292536
0.5235987755982988,0.027013506753376687,0.8539565361612848,0.4928144973886011
0.5235987755982988,0.027513756878439218,0.8537364079541141,0.49267933228339567
0.5235987755982988,0.028014007003501748,0.853516401044072,0.4925440921855878
0.5235987755982988,0.02851425712856428,0.8532965153660627,0.4924087771669816
0.5235987755982988,0.029014507253626812,0.8530767508550251,0.492273387299234
0.5235987755982988,0.029514757378689343,0.8528571074459326,0.49213792265385503
0.5235987755982988,0.030015007503751873,0.8526375850737932,0.4920023833022088
0.5235987755982988,0.030515257628814404,0.8524181836736491,0.4918667693155124
0.5235987755982988,0.031015507753876938,0.8521989031805777,0.4917310807648368
0.5235987755982988,0.03151575787893947,0.8519797435296901,0.4915953177211068
0.5235987755982988,0.032016008004002,0.8517607046561324,0.4914594802551016
0.5235987755982988,0.03251625812906453,0.8515417864950852,0.4913235684374538
0.5235987755982988,0.03301650825412706,0.851322988981763,0.4911875823386506
0.5235987755982988,0.03351675837918959,0.8511043120514153,0.49105152202903385
0.5235987755982988,0.03401700850425212,0.8508857556393259,0.4909153875787995
0.5235987755982988,0.03451725862931466,0.8506673196808127,0.49077917905799806
0.5235987755982988,0.03501750875437719,0.850449004111228,0.4906428965365355
0.5235987755982988,0.03551775887943972,0.8502308088659588,0.4905065400841719
0.5235987755982988,0.03601800900450225,0.8500127338804262,0.490370109770523
0.5235987755982988,0.03651825912956478,0.8497947790900855,0.49023360566505936
0.5235987755982988,0.03701850925462731,0.8495769444304264,0.4900970278371068
0.5235987755982988,0.03751875937968984,0.849359229836973,0.4899603763558469
0.5235987755982988,0.03801900950475237,0.8491416352452836,0.48982365129031663
0.5235987755982988,0.0385192596298149,0.8489241605909503,0.4896868527094086
0.5235987755982988,0.03901950975487744,0.8487068058096003,0.4895499806818714
0.5235987755982988,0.03951975987993997,0.8484895708368944,0.4894130352763092
0.5235987755982988,0.0400200100050025,0.8482724556085275,0.48927601656118275
0.5235987755982988,0.04052026013006503,0.8480554600602289,0.48913892460480873
0.5235987755982988,0.04102051025512756,0.8478385841277621,0.48900175947536006
0.5235987755982988,0.04152076038019009,0.8476218277469246,0.48886452124086643
0.5235987755982988,0.04202101050525262,0.8474051908535482,0.4887272099692139
0.5235987755982988,0.04252126063031515,0.8471886733834983,0.4885898257281452
0.5235987755982988,0.04302151075537768,0.8469722752726752,0.4884523685852599
0.5235987755982988,0.04352176088044022,0.8467559964570123,0.48831483860801483
0.5235987755982988,0.04402201100550275,0.8465398368724777,0.4881772358637235
0.5235987755982988,0.04452226113056528,0.8463237964550736,0.4880395604195568
0.5235987755982988,0.04502251125562781,0.8461078751408359,0.487901812342543
0.5235987755982988,0.04552276138069034,0.8458920728658341,0.4877639916995677
0.5235987755982988,0.04602301150575287,0.8456763895661725,0.4876260985573742
0.5235987755982988,0.0465232616308154,0.8454608251779889,0.4874881329825636
0.5235987755982988,0.047023511755877934,0.845245379637455,0.48735009504159427
0.5235987755982988,0.047523761880940464,0.8450300528807767,0.4872119848007834
0.5235987755982988,0.048024012006002995,0.8448148448441933,0.4870738023263053
0.5235987755982988,0.04852426213106553,0.8445997554639786,0.486935547684193
0.5235987755982988,0.04902451225612806,0.8443847846764397,0.486797220940338
0.5235987755982988,0.04952476238119059,0.844169932417918,0.4866588221604897
0.5235987755982988,0.05002501250625312,0.8439551986247884,0.4865203514102563
0.5235987755982988,0.050525262631315654,0.8437405832334597,0.48638180875510467
0.5235987755982988,0.051025512756378184,0.8435260861803745,0.48624319426036045
0.5235987755982988,0.051525762881440715,0.8433117074020091,0.48610450799120825
0.5235987755982988,0.052026013006503245,0.8430974468348741,0.4859657500126913
0.5235987755982988,0.052526263131565776,0.8428833044155127,0.4858269203897124
0.5235987755982988,0.05302651325662831,0.842669280080503,0.48568801918703325
0.5235987755982988,0.053526763381690844,0.8424553737664562,0.4855490464692753
0.5235987755982988,0.054027013506753374,0.8422415854100169,0.48541000230091913
0.5235987755982988,0.054527263631815905,0.8420279149478643,0.485270886746305
0.5235987755982988,0.055027513756878435,0.8418143623167103,0.4851316998696328
0.5235987755982988,0.055527763881940966,0.8416009274533008,0.48499244173496237
0.5235987755982988,0.056028014007003496,0.8413876102944157,0.4848531124062134
0.5235987755982988,0.056528264132066026,0.8411744107768677,0.4847137119471656
0.5235987755982988,0.05702851425712856,0.8409613288375037,0.4845742404214589
0.5235987755982988,0.057528764382191094,0.840748364413204,0.4844346978925933
0.5235987755982988,0.058029014507253625,0.8405355174408823,0.48429508442392943
0.5235987755982988,0.058529264632316155,0.8403227878574859,0.48415540007868824
0.5235987755982988,0.059029514757378686,0.8401101755999956,0.4840156449199513
0.5235987755982988,0.059529764882441216,0.8398976806054258,0.4838758190106609
0.5235987755982988,0.06003001500750375,0.8396853028108244,0.48373592241362007
0.5235987755982988,0.06053026513256628,0.8394730421532722,0.483595955191493
0.5235987755982988,0.06103051525762881,0.8392608985698843,0.48345591740680444
0.5235987755982988,0.06153076538269134,0.8390488719978086,0.4833158091219409
0.5235987755982988,0.062031015507753876,0.8388369623742267,0.4831756303991496
0.5235987755982988,0.0625312656328164,0.8386251696363533,0.4830353813005394
0.5235987755982988,0.06303151575787894,0.8384134937214366,0.48289506188808046
0.5235987755982988,0.06353176588294146,0.8382019345667583,0.4827546722236047
0.5235987755982988,0.064032016008004,0.8379904921096332,0.4826142123688055
0.5235987755982988,0.06453226613306653,0.8377791662874097,0.48247368238523825
0.5235987755982988,0.06503251625812906,0.8375679570374691,0.48233308233431993
0.5235987755982988,0.0655327663831916,0.8373568642972261,0.48219241227732973
0.5235987755982988,0.06603301650825412,0.8371458880041289,0.48205167227540896
0.5235987755982988,0.06653326663331666,0.836935028095659,0.48191086238956105
0.5235987755982988,0.06703351675837918,0.8367242845093306,0.4817699826806515
0.5235987755982988,0.06753376688344172,0.8365136571826912,0.48162903320940864
0.5235987755982988,0.06803401700850424,0.8363031460533221,0.48148801403642305
0.5235987755982988,0.06853426713356678,0.8360927510588372,0.4813469252221479
0.5235987755982988,0.06903451725862932,0.8358824721368836,0.48120576682689914
0.5235987755982988,0.06953476738369184,0.8356723092251419,0.48106453891085565
0.5235987755982988,0.07003501750875438,0.8354622622613254,0.48092324153405897
0.5235987755982988,0.0705352676338169,0.8352523311831807,0.4807818747564139
0.5235987755982988,0.07103551775887944,0.8350425159284873,0.48064043863768807
0.5235987755982988,0.07153576788394196,0.834832816435058,0.48049893323751247
0.5235987755982988,0.0720360180090045,0.8346232326407389,0.48035735861538154
0.5235987755982988,0.07253626813406702,0.8344137644834082,0.48021571483065295
0.5235987755982988,0.07303651825912956,0.8342044119009782,0.48007400194254796
0.5235987755982988,0.0735367683841921,0.8339951748313933,0.4799322200101513
0.5235987755982988,0.07403701850925462,0.8337860532126317,0.47979036909241146
0.5235987755982988,0.07453726863431716,0.8335770469827036,0.4796484492481411
0.5235987755982988,0.07503751875937968,0.8333681560796532,0.4795064605360159
0.5235987755982988,0.07553776888444222,0.8331593804415568,0.47936440301457656
0.5235987755982988,0.07603801900950474,0.8329507200065239,0.47922227674222706
0.5235987755982988,0.07653826913456728,0.8327421747126971,0.479080081777236
0.5235987755982988,0.0770385192596298,0.8325337444982516,0.4789378181777361
0.5235987755982988,0.07753876938469234,0.8323254293013953,0.4787954860017246
0.5235987755982988,0.07803901950975488,0.8321172290603694,0.4786530853070631
0.5235987755982988,0.0785392696348174,0.8319091437134476,0.4785106161514774
0.5235987755982988,0.07903951975987994,0.8317011731989365,0.47836807859255875
0.5235987755982988,0.07953976988494246,0.8314933174551756,0.4782254726877624
0.5235987755982988,0.080040020010005,0.8312855764205369,0.47808279849440877
0.5235987755982988,0.08054027013506752,0.8310779500334255,0.47794005606968315
0.5235987755982988,0.08104052026013006,0.8308704382322787,0.477797245470636
0.5235987755982988,0.08154077038519258,0.830663040955567,0.4776543667541826
0.5235987755982988,0.08204102051025512,0.8304557581417935,0.47751141997710367
0.5235987755982988,0.08254127063531766,0.8302485897294938,0.477368405196045
0.5235987755982988,0.08304152076038018,0.8300415356572366,0.4772253224675179
0.5235987755982988,0.08354177088544272,0.8298345958636226,0.47708217184789925
0.5235987755982988,0.08404202101050524,0.8296277702872856,0.47693895339343134
0.5235987755982988,0.08454227113556778,0.829421058866892,0.47679566716022204
0.5235987755982988,0.0850425212606303,0.8292144615411405,0.47665231320424517
0.5235987755982988,0.08554277138569284,0.8290079782487627,0.47650889158133997
0.5235987755982988,0.08604302151075537,0.8288016089285225,0.4763654023472122
0.5235987755982988,0.0865432716358179,0.8285953535192166,0.47622184555743297
0.5235987755982988,0.08704352176088044,0.828389211959674,0.4760782212674401
0.5235987755982988,0.08754377188594296,0.8281831841887562,0.4759345295325368
0.5235987755982988,0.0880440220110055,0.8279772701453576,0.47579077040789336
0.5235987755982988,0.08854427213606803,0.8277714697684044,0.4756469439485458
0.5235987755982988,0.08904452226113056,0.8275657829968558,0.4755030502093969
0.5235987755982988,0.08954477238619309,0.8273602097697036,0.4753590892452157
0.5235987755982988,0.09004502251125562,0.8271547500259712,0.475215061110638
0.5235987755982988,0.09054527263631815,0.826949403704715,0.4750709658601662
0.5235987755982988,0.09104552276138068,0.8267441707450239,0.4749268035481694
0.5235987755982988,0.09154577288644322,0.8265390510860189,0.47478257422888365
0.5235987755982988,0.09204602301150575,0.8263340446668533,0.4746382779564119
0.5235987755982988,0.09254627313656828,0.8261291514267131,0.474493914784724
0.5235987755982988,0.0930465232616308,0.8259243713048159,0.4743494847676569
0.5235987755982988,0.09354677338669334,0.8257197042404126,0.47420498795891475
0.5235987755982988,0.09404702351175587,0.8255151501727855,0.4740604244120691
0.5235987755982988,0.0945472736368184,0.8253107090412498,0.4739157941805583
0.5235987755982988,0.09504752376188093,0.8251063807851527,0.4737710973176887
0.5235987755982988,0.09554777388694347,0.8249021653438734,0.4736263338766338
0.5235987755982988,0.09604802401200599,0.8246980626568238,0.4734815039104347
0.5235987755982988,0.09654827413706853,0.8244940726634475,0.4733366074720002
0.5235987755982988,0.09704852426213106,0.8242901953032207,0.4731916446141067
0.5235987755982988,0.09754877438719359,0.8240864305156516,0.4730466153893984
0.5235987755982988,0.09804902451225612,0.8238827782402804,0.4729015198503875
0.5235987755982988,0.09854927463731865,0.8236792384166799,0.4727563580494541
0.5235987755982988,0.09904952476238119,0.8234758109844544,0.4726111300388461
0.5235987755982988,0.09954977488744371,0.8232724958832407,0.4724658358706797
