n,theta_c_deg,guard_band_deg,resonance_cost_dB
1,20.0,0.6498743829822384,-19.889614622000376
1,20.5,0.633693480124152,-19.672909913874264
1,21.0,0.6182750342791895,-19.461319123620548
1,21.5,0.6035658478841883,-19.25459900974884
1,22.0,0.5895175591677081,-19.052523111514304
1,22.5,0.5760861048691562,-18.854880240298947
1,23.0,0.5632312530336515,-18.66147313682047
1,23.5,0.5509161954465609,-18.472117272765587
1,24.0,0.5391071910107281,-18.28663977859967
1,24.5,0.5277732527895608,-18.104878481939256
1,25.0,0.5168858726028522,-17.92668104308255
1,25.499999999999996,0.5064187780215388,-17.751904176151665
1,26.0,0.4963477174001154,-17.58041294587017
1,26.5,0.4866502692438573,-17.412080131330026
1,27.0,0.477305672756652,-17.246785649233573
1,27.5,0.4682946768735038,-17.084416030061572
1,28.0,0.45959940546765904,-16.924863941444475
1,28.500000000000004,0.45120323674567786,-16.768027753723317
1,29.000000000000004,0.44309069511865035,-16.613811143297145
1,29.499999999999996,0.4352473540689224,-16.46212272988074
1,29.999999999999996,0.42765974872985263,-16.312875744252658
1,30.5,0.4203152970640343,-16.165987723469335
1,31.0,0.41320222866912326,-16.021380230865244
1,31.5,0.40630952036392126,-15.878978598459383
1,32.0,0.3996268378128825,-15.738711689650744
1,32.5,0.3931444825390905,-15.600511680315162
1,33.0,0.38685334375422303,-15.464313856617828
1,33.5,0.3807448545017563,-15.330056428033119
1,34.0,0.3748109516701412,-15.197680354219898
1,34.50000000000001,0.3690440394828088,-15.067129184538622
1,35.0,0.36343695611748555,-14.938348909118789
1,35.5,0.3579829431465847,-14.811287820493668
1,36.0,0.35267561752371956,-14.685896384915615
1,36.5,0.34750894587311815,-14.562127122550706
1,37.0,0.34247722086334254,-14.439934495827933
1,37.49999999999999,0.3375750394710482,-14.319274805286174
1,38.0,0.33279728296094385,-14.200106092323175
1,38.5,0.32813909842539424,-14.082388048305212
1,39.00000000000001,0.3235958817443823,-13.966081929544975
1,39.5,0.31916326183929516,-13.851150477699338
1,40.0,0.3148370861078159,-13.737557845177843
1,40.5,0.3106134069377099,-13.62526952518863
1,41.0,0.30648846920727063,-13.514252286080385
1,41.5,0.3024586986894497,-13.404474109667962
1,41.99999999999999,0.2985206912840763,-13.295904133255469
1,42.5,0.29467120301035643,-13.1885125950944
1,43.0,0.29090714069738927,-13.08227078303577
1,43.50000000000001,0.28722555331674854,-12.977150986154829
1,44.0,0.28362362390601115,-12.873126449144564
1,44.5,0.28009866203674544,-12.770171329290388
1,45.0,0.2766480967846714,-12.668260655853022
1,45.5,0.27326947016323977,-12.567370291700051
1,46.0,0.26996043098551803,-12.467476897038729
1,46.49999999999999,0.26671872912199157,-12.368557895113874
1,47.0,0.2635422101249171,-12.27059143974479
1,47.5,0.26042881019225794,-12.173556384584616
1,48.00000000000001,0.25737655144623983,-12.077432253993909
1,48.5,0.2543835375039577,-11.982199215428246
1,49.00000000000001,0.2514479493193218,-11.88783805324672
1,49.5,0.24856804127682797,-11.794330143854943
1,49.99999999999999,0.24574213751964538,-11.701657432102115
1,50.5,0.24296862849611928,-11.60980240885743
1,50.99999999999999,0.2402459677090914,-11.518748089696215
1,51.5,0.23757266865480708,-11.428477994630903
1,52.0,0.23494730193820296,-11.33897612882642
1,52.50000000000001,0.23236849255327818,-11.250226964243549
1,53.0,0.22983491731717579,-11.162215422157598
1,53.50000000000001,0.22734530244825368,-11.074926856503193
1,54.0,0.2248984212787826,-10.98834703799916
1,54.49999999999999,0.22249309209323734,-10.902462139010499
1,55.0,0.22012817608495602,-10.817258719107162
1,55.49999999999999,0.21780257542279527,-10.732723711281903
1,56.0,0.21551523142159879,-10.648844408791865
1,56.5,0.2132651228098638,-10.565608452590759
1,57.00000000000001,0.211051264088244,-10.483003819320471
1,57.5,0.20887270397418212,-10.401018809833023
1,58.00000000000001,0.20672852392648855,-10.319642038215282
1,58.5,0.20461783674594836,-10.238862421290836
1,58.99999999999999,0.20253978524686708,-10.158669168574617
1,59.5,0.2004935409957392,-10.07905177265759
1,59.99999999999999,0.19847830311276415,-9.999999999999998
1,60.5,0.19649329713313143,-9.921503882112896
1,61.0,0.1945377739239018,-9.843553707109017
1,61.50000000000001,0.19261100865401648,-9.766140011604918
1,62.0,0.19071229981405013,-9.689253572957528
1,62.50000000000001,0.18884096828288355,-9.612885401819067
1,63.0,0.1869963564391074,-9.537026734995273
1,63.49999999999999,0.18517782731407886,-9.461669028592656
1,64.0,0.18338476378487492,-9.386803951441335
1,64.5,0.1816165678047252,-9.312423378780686
1,65.0,0.17987265966896562,-9.238519386195794
1,65.5,0.17815247731457828,-9.165084243793277
1,66.0,0.17645547565158815,-9.09211041060572
1,66.5,0.17478112592461104,-9.019590529214476
1,67.0,0.17312891510307785,-8.947517420581178
1,67.5,0.17149834529827696,-8.875884079078777
1,68.0,0.16988893320647733,-8.804683667713398
1,68.5,0.16830020957622369,-8.733909513528783
1,69.0,0.16673171869873538,-8.663555103185463
1,69.5,0.16518301792049273,-8.59361407870727
1,70.0,0.1636536771765097,-8.524080233388089
1,70.5,0.16214327854363136,-8.454947507852161
1,71.0,0.16065141581258394,-8.386209986261582
1,71.5,0.15917769407801394,-8.317861892664906
1,72.0,0.15772172934565154,-8.249897587481136
1,72.5,0.1562831481555803,-8.182311564113586
1,73.0,0.15486158722118049,-8.115098445688405
1,73.5,0.15345669308267768,-8.048252981912844
1,74.0,0.15206812177473664,-7.981770046048435
1,74.5,0.15069553850748982,-7.915644631994737
1,75.0,0.1493386173602627,-7.849871851479168
1,75.5,0.14799704098753777,-7.784446931349008
1,76.0,0.14667050033641965,-7.719365210961535
1,76.5,0.14535869437527013,-7.654622139668673
1,77.0,0.14406132983285164,-7.590213274392534
1,77.5,0.1427781209475725,-7.526134277288497
1,78.00000000000001,0.1415087892264517,-7.46238091349257
1,78.5,0.1402530632131165,-7.398949048949978
1,79.00000000000001,0.13901067826475655,-7.335834648321963
1,79.5,0.13778137633744905,-7.273033772968043
1,80.0,0.13656490577955008,-7.210542579000973
1,80.5,0.13536102113266807,-7.148357315411862
1,81.0,0.13416948294022,-7.086474322262967
1,81.5,0.13299005756270457,-7.024890028945792
1,82.0,0.13182251700015113,-6.963600952502245
1,82.50000000000001,0.1306666387206241,-6.9026036960066595
1,83.0,0.12952220549511387,-6.841894947006662
1,83.50000000000001,0.12838900523840757,-6.781471476020803
1,84.0,0.12726683085548077,-6.721330135091145
1,84.5,0.12615548009341093,-6.661467856388919
1,85.0,0.12505475539858324,-6.601881650871474
1,85.5,0.12396446377878176,-6.542568606988932
1,86.0,0.12288441667016582,-6.4835258894388055
1,86.5,0.12181442980877576,-6.424750737967127
1,87.00000000000001,0.1207543231065675,-6.366240466214523
1,87.5,0.1197039205316711,-6.307992460605874
1,88.00000000000001,0.11866304999259307,-6.250004179282078
1,88.5,0.11763154322651533,-6.19227315107271
1,89.0,0.11660923569125807,-6.134796974508179
1,89.5,0.11559596646088131,-6.077573316870236
1,90.0,0.11459157812474678,-6.020599913279623
1,90.5,0.11359591668998932,-5.963874565819671
1,91.0,0.1126088314870418,-5.907395142694828
1,91.50000000000001,0.11163017507839129,-5.851159577422964
1,92.0,0.11065980317033779,-5.795165868060488
1,92.50000000000001,0.10969757452739909,-5.739412076459228
1,93.0,0.1087433508897691,-5.683896327554158
1,93.5,0.107796996893066,-5.628616808680995
1,94.0,0.10685837999100668,-5.573571768922797
1,94.5,0.10592737038019293,-5.518759518484662
1,95.0,0.10500384092756934,-5.464178428095678
1,95.5,0.10408766709991679,-5.409826928437322
1,96.00000000000001,0.10317872689563595,-5.355703509597463
1,96.5,0.10227690077866798,-5.30180672054923
1,97.00000000000001,0.10138207161445098,-5.248135168653953
1,97.5,0.10049412460770826,-5.194687519187448
1,98.0,0.09961294724245041,-5.141462494888919
1,98.5,0.09873842922335131,-5.088458875531757
1,99.0,0.09787046241928689,-5.035675497515591
1,99.5,0.09700894080842606,-4.983111253478817
1,100.0,0.0961537604248483,-4.930765091931063
1,100.50000000000001,0.09530481930694228,-4.878636016904825
1,101.0,0.09446201744722948,-4.826723087625718
1,101.50000000000001,0.09362525674361266,-4.775025418200642
1,102.0,0.09279444095220182,-4.723542177323313
1,102.5,0.09196947564141245,-4.6722725879964635
1,103.0,0.09115026814736148,-4.621215927270191
1,103.5,0.09033672753061167,-4.5703715259957916
