n,H_exactly_at_z_eq_minus1,grid_point_dB_at_pi_minus_1e4
1,-0.0,-90.79181245682817
2,0.0,-181.58362490759845
3,-0.0,-272.37543760889224
4,7.39125354183983e-18,-340.68743749100895
