K,max_abs_root,excess
-1.0,1.896424004376894,0.8964240043768941
-0.9286915327781848,1.8184530016856688,0.8184530016856688
-0.8624679630538944,1.7468665256717375,0.7468665256717375
-0.8009666945806018,1.6812694515155426,0.6812694515155426
-0.7438509872943353,1.6212724542635688,0.6212724542635688
-0.6908081135489424,1.5664922021868675,0.5664922021868675
-0.641547645827375,1.5165525794043964,0.5165525794043964
-0.595799866553661,1.4710866652462034,0.47108666524620335
-0.5533142912987585,1.4297391426069792,0.4297391426069792
-0.5138582972943192,1.392168804194815,0.39216880419481503
-0.47721584974505044,1.3580508684862151,0.35805086848621515
-0.4431863189657749,1.3270788912344416,0.32707889123444156
-0.41158338186664783,1.2989661448003362,0.29896614480033623
-0.3822340017717662,1.273446419610309,0.273446419610309
-0.3549774809853617,1.2502742683569648,0.25027426835696476
-0.3296645809180345,1.2292247591172565,0.22922475911725648
-0.30615670495544745,1.2100928285889982,0.21009282858899825
-0.2843251395953936,1.1926923346478406,0.19269233464784064
-0.26405034969821745,1.176854903268297,0.1768549032682969
-0.24522132399185378,1.1624286533327957,0.16242865333279566
-0.22773496724789058,1.149276867914609,0.14927686791460903
-0.21149553580063365,1.1372766650796546,0.13727666507965464
-0.19641411331843395,1.1263177068582004,0.12631770685820043
-0.1824081239569649,1.1163009726901922,0.11630097269019224
-0.16940088022878685,1.1071376136521542,0.10713761365215424
-0.1573211631136458,1.0987478960646766,0.0987478960646766
-0.14610283211045885,1.091060237395255,0.09106023739525493
-0.13568446309589582,1.0840103333711981,0.08401033337119812
-0.12600901200671283,1.0775403725523023,0.07754037255230228
-0.11702350250437883,1.071598332966599,0.07159833296659901
-0.10867873591186356,1.0661373545159725,0.06613735451597247
-0.10092902183438413,1.0611151804949206,0.061115180494920596
-0.09373192798917727,1.0564936615672387,0.05649366156723867
-0.0870480478745235,1.0522383157847137,0.05223831578471372
-0.0808407850059402,1.0483179386164434,0.0483179386164434
-0.07507615253815832,1.044704257420932,0.04470425742093198
-0.06972258717575106,1.0413716252895346,0.04137162528953464
-0.064750776353509,1.0382967496887636,0.03829674968876362
-0.060133497740317725,1.0354584518105563,0.03545845181055629
-0.055845470187769294,1.0328374529920885,0.03283745299208851
-0.051863215307397896,1.0304161849836997,0.03041618498369969
-0.04816492891863247,1.028178621222585,0.028178621222584965
-0.04473036166359711,1.0261101266106318,0.026110126610631834
-0.041540708135088644,1.024197323598908,0.024197323598907916
-0.03857850391066669,1.0224279726507937,0.02242797265079366
-0.03582752992908632,1.0207908653935978,0.020790865393597757
-0.03327272368549947,1.0192757289777523,0.019275728977752316
-0.030900096759191517,1.017873140345916,0.017873140345916028
-0.02869665822228785,1.016574449274919,0.016574449274918912
-0.026650343510068206,1.0153717091936765,0.015371709193676475
-0.024749948363430446,1.014257614902527,0.014257614902527083
-0.022985067481815148,1.0132254464264654,0.013225446426465393
-0.02134603755069697,1.0122690183276237,0.012269018327623726
-0.019823884331697458,1.011382633883803,0.011382633883803006
-0.018410273525621593,1.0105610436106327,0.010561043610632703
-0.017097465139375156,1.0097994076667918,0.00979940766679177
-0.015878271106907926,1.0090932617358073,0.009093261735807268
-0.01474601593214189,1.0084384860250006,0.008438486025000635
-0.013694500138392386,1.0078312770636084,0.007831277063608422
-0.012717966324154716,1.007268122018092,0.007268122018091905
-0.01181106763940058,1.0067457752743927,0.006745775274392685
-0.010968838509781765,1.006261237064623,0.006261237064622893
-0.010186667448445609,1.005811733940181,0.005811733940181085
-0.009460271806598614,1.0053947009145379,0.005394700914537864
-0.008785674324568315,1.0050077651181044,0.0050077651181044125
-0.00815918135497331,1.004648730824004,0.004648730824003966
-0.0075773626387653495,1.004315565718458,0.0043155657184579255
-0.0070370325234111585,1.004006388302378,0.004006388302377983
-0.006535232520376647,1.003719456322392,0.003719456322391901
-0.006069215106410428,1.0034531561396576,0.003453156139657576
-0.005636428679932827,1.003205992953912,0.003205992953912107
-0.005234503590161738,1.0029765818083223,0.002976581808322276
-0.004861239162480226,1.0027636393078114,0.0027636393078114274
-0.004514591649005101,1.0025659759900258,0.002565975990025837
-0.004192663038382149,1.002382489293774,0.0023824892937740483
-0.00389369066353756,1.0022121570749492,0.0022121570749491504
-0.0036160375504848117,1.0020540316245155,0.002054031624515451
-0.0033581834553432126,1.00190723414723,0.0019072341472299303
-0.003118716540493036,1.001770949663562,0.0017709496635620603
-0.0028963256442911555,1.0016444223005552,0.0016444223005551706
-0.002689793102021517,1.0015269509403206,0.001526950940320626
-0.0024979880787725562,1.0014178851977449,0.0014178851977448836
-0.0023198603777369185,1.001316621701219,0.001316621701219045
-0.002154434690031882,1.0012226006526341,0.0012226006526341315
-0.0020008052545562025,1.0011353026447187,0.0011353026447187275
-0.0018581308986444498,1.001054245715756,0.0010542457157560747
-0.0017256304323646202,1.0009789826232824,0.0009789826232824428
-0.001602578371241384,1.0009090983199351,0.000909098319935131
-0.001488300963985328,1.0008442076159478,0.000844207615947834
-0.0013821725034787872,1.0007839530140967,0.0007839530140967277
-0.001283611900819576,1.0007280027039693,0.0007280027039693326
-0.0011920795036644515,1.0006760487035329,0.0006760487035328833
-0.0011070741414515996,1.0006278051369242,0.0006278051369241755
-0.0010281303813237791,1.0005830066382078,0.0005830066382077614
-0.000954815979727402,1.000541406871689,0.0005414068716889098
-0.0008867295157341453,1.0005027771601238,0.0005027771601238129
-0.0008234981931268026,1.0004669052127766,0.0004669052127765916
-0.000764775799214996,1.0004335939459286,0.0004335939459285676
-0.0007102408092046375,1.0004026603889877,0.00040266038898773004
-0.0006595946257418731,1.0003739346699665,0.0003739346699664914
-0.0006125599439924734,1.0003472590743592,0.00034725907435917414
-0.0005688792333048904,1.0003224871721552,0.00032248717215521694
-0.0005283133271435972,1.0002994830078848,0.0002994830078848487
-0.000490640113572131,1.0002781203492082,0.0002781203492081552
-0.00045565331911576505,1.000258281989657,0.00025828198965704985
-0.0004231613793450881,1.0002398591016592,0.0002398591016592455
-0.0003929863899965208,1.0002227506361276,0.00022275063612764434
-0.0003649631328868352,1.0002068627653353,0.000206862765335325
-0.00033893817128820335,1.0001921083657705,0.00019210836577054913
-0.0003147690098106772,1.0001784065382266,0.00017840653822664976
-0.0002923233141921493,1.0001656821623586,0.00016568216235857136
-0.00027147818672390605,1.0001538654832018,0.00015386548320184268
-0.0002521194933444671,1.0001428917274024,0.00014289172740244993
-0.00023414123871733254,1.0001327007469314,0.00013270074693139122
-0.0002174449858709829,1.000123236688402,0.00012323668840208413
-0.00020193931722345385,1.0001144476860353,0.00011444768603530164
-0.00018753933404042986,1.0001062855766676,0.00010628557666758631
