theta,re,im
-3.141592653589793,0.85,-1.7451216887849783e-16
-3.1384509823944233,0.8500034545655203,-0.004476921571144562
-3.1353093111990535,0.8500138186371611,-0.008954083857462035
-3.132167640003684,0.8500310933402615,-0.013431727617720855
-3.1290259688083144,0.8500552805507253,-0.017910093697899268
-3.1258842976129446,0.8500863828955264,-0.022389423074827008
-3.1227426264175753,0.8501244037534208,-0.026869956899882058
-3.1196009552222055,0.8501693472558572,-0.03135193654275341
-3.1164592840268357,0.850221218288096,-0.035835603635280905
-3.113317612831466,0.8502800224905316,-0.04032120011540078
-3.110175941636096,0.8503457662602166,-0.04480896827120395
-3.1070342704407268,0.8504184567525979,-0.04929915078512741
-3.103892599245357,0.8504981018834527,-0.05379199077829828
-3.100750928049987,0.8505847103310388,-0.058287731855038494
-3.097609256854618,0.8506782915384482,-0.06278661814755884
-3.094467585659248,0.8507788557161763,-0.0672888943608542
-3.0913259144638783,0.8508864138448962,-0.07179480581781113
-3.0881842432685085,0.8510009776784505,-0.0763045985045581
-3.0850425720731387,0.8511225597470564,-0.08081851911606562
-3.0819009008777694,0.8512511733607248,-0.08533681510201792
-3.0787592296823996,0.8513868326128998,-0.08985973471297706
-3.07561755848703,0.8515295523843149,-0.09438752704684797
-3.0724758872916604,0.8516793483470747,-0.0989204420956753
-3.0693342160962906,0.851836236968954,-0.10345873079278439
-3.066192544900921,0.85200023551793,-0.10800264506028004
-3.063050873705551,0.8521713620669369,-0.11255243785693383
-3.0599092025101813,0.8523496354988547,-0.11710836322646982
-3.056767531314812,0.8525350755117282,-0.12167067634627143
-3.053625860119442,0.8527277026242253,-0.12623963357653287
-3.0504841889240724,0.8529275381813308,-0.1308154925098649
-3.047342517728703,0.8531346043602849,-0.13539851202138872
-3.0442008465333332,0.8533489241767632,-0.13998895231933162
-3.0410591753379634,0.8535705214913087,-0.14458707499614123
-3.0379175041425936,0.8537994210160118,-0.14919314308015066
-3.034775832947224,0.8540356483214473,-0.15380742108780793
-3.0316341617518545,0.8542792298438696,-0.15843017507649457
-3.0284924905564847,0.8545301928926698,-0.163061672697959
-3.025350819361115,0.8547885656581008,-0.1677021832523789
-3.0222091481657456,0.8550543772192709,-0.1723519777430878
-3.019067476970376,0.8553276575524145,-0.17701132893198396
-3.015925805775006,0.8556084375394394,-0.18168051139564037
-3.0127841345796362,0.8558967489767624,-0.1863598015821535
-3.0096424633842664,0.8561926245844284,-0.1910494778687458
-3.006500792188897,0.8564960980155275,-0.19574982062015134
-3.0033591209935273,0.8568072038659087,-0.2004611122478154
-3.0002174497981575,0.8571259776841991,-0.20518363726992336
-2.997075778602788,0.8574524559821308,-0.20991768237230127
-2.9939341074074184,0.8577866762451869,-0.21466353647020903
-2.9907924362120486,0.8581286769435641,-0.21942149077104908
-2.987650765016679,0.8584784975434682,-0.22419183883803492
-2.984509093821309,0.8588361785187377,-0.2289748766548365
-2.9813674226259397,0.8592017613628131,-0.23377090269124043
-2.97822575143057,0.8595752886010488,-0.23858021796985657
-2.9750840802352,0.8599568038033834,-0.2434031261338974
-2.9719424090398308,0.8603463515973667,-0.24823993351607254
-2.968800737844461,0.8607439776815605,-0.25309094920862935
-2.965659066649091,0.861149728839312,-0.2579564851345668
-2.9625173954537214,0.861563652952913,-0.26283685612007296
-2.9593757242583516,0.8619857990181539,-0.26773237996821103
-2.9562340530629823,0.8624162171592749,-0.272643377533897
-2.9530923818676125,0.8628549586443316,-0.27757017280020946
-2.9499507106722427,0.8633020759009762,-0.28251309295606203
-2.9468090394768733,0.8637576225326709,-0.287472468475293
-2.9436673682815035,0.8642216533353346,-0.29244863319720593
-2.9405256970861338,0.8646942243144442,-0.29744192440860034
-2.937384025890764,0.8651753927025883,-0.3024526829273484
-2.934242354695394,0.8656652169774938,-0.3074812531875532
-2.931100683500025,0.8661637568805324,-0.31252798332633963
-2.927959012304655,0.8666710734357174,-0.3175932252723282
-2.9248173411092853,0.8671872289692054,-0.32267733483583144
-2.921675669913916,0.8677122871293119,-0.3277806718008367
-2.918533998718546,0.8682463129070571,-0.3329036000188219
-2.9153923275231763,0.8687893726572488,-0.33804648750445127
-2.9122506563278066,0.8693415341201259,-0.34320970653321986
-2.9091089851324368,0.869902866443563,-0.3483936337410933
-2.9059673139370674,0.8704734402058615,-0.35359865022620446
-2.9028256427416976,0.8710533274391377,-0.35882514165267304
-2.899683971546328,0.8716426016533206,-0.3640734983565959
-2.8965423003509585,0.8722413378607798,-0.3693441154542897
-2.8934006291555887,0.8728496126015981,-0.3746373929528424
-2.890258957960219,0.8734675039695002,-0.3799537358630371
-2.887117286764849,0.8740950916384663,-0.3852935543147307
-2.8839756155694793,0.8747324568900362,-0.39065726367475007
-2.88083394437411,0.8753796826413299,-0.39604528466738137
-2.87769227317874,0.876036853473802,-0.40145804349753633
-2.8745506019833704,0.8767040556627477,-0.4068959719766614
-2.871408930788001,0.8773813772075837,-0.41235950765148466
-2.8682672595926313,0.8780689078629227,-0.4178490939356812
-2.8651255883972615,0.8787667391704639,-0.423365180244534
-2.8619839172018917,0.8794749644917229,-0.4289082221326952
-2.858842246006522,0.8801936790416222,-0.43447868143513135
-2.8557005748111526,0.8809229799229692,-0.4400770264113461
-2.852558903615783,0.8816629661618433,-0.4457037318929915
-2.849417232420413,0.8824137387439186,-0.45135927943494836
-2.8462755612250437,0.8831754006517532,-0.4570441574700049
-2.843133890029674,0.883948056903063,-0.46275886146722706
-2.839992218834304,0.884731814590019,-0.4685038940941335
-2.8368505476389343,0.8855267829195893,-0.47427976538279876
-2.8337088764435645,0.8863330732549607,-0.48008699289999884
-2.830567205248195,0.8871507991580703,-0.48592610192152424
-2.8274255340528254,0.8879800764332776,-0.49179762561079005
-2.8242838628574556,0.8888210231722147,-0.49770210520187114
-2.8211421916620862,0.8896737597998444,-0.5036400901871053
-2.8180005204667165,0.8905384091217665,-0.5096121385094063
-2.8148588492713467,0.8914150963728089,-0.5156188167594223
-2.811717178075977,0.892303949266938,-0.521660700377707
-2.808575506880607,0.8932050980485352,-0.5277383738620512
-2.8054338356852377,0.8941186755450753,-0.5338524309801361
-2.802292164489868,0.8950448172212512,-0.5400034749876856
-2.799150493294498,0.8959836612345927,-0.5461921188522777
-2.796008822099129,0.8969353484926188,-0.5524189854830085
-2.792867150903759,0.8979000227115788,-0.5586847079661931
-2.7897254797083892,0.8988778304768237,-0.5649899298072836
-2.7865838085130195,0.8998689213048687,-0.5713353051792263
-2.7834421373176497,0.9008734477071892,-0.5777214991774485
-2.7803004661222803,0.9018915652558149,-0.5841491880816964
-2.7771587949269105,0.902923432650773,-0.5906190596249522
-2.7740171237315407,0.903969211789441,-0.5971318132696478
-2.7708754525361714,0.9050290678378754,-0.6036881604914306
-2.7677337813408016,0.9061031693041719,-0.610288825070725
-2.764592110145432,0.9071916881139287,-0.6169345433923367
-2.761450438950062,0.908294799687882,-0.6236260647533878
-2.7583087677546922,0.9094126830217819,-0.6303641516798432
-2.755167096559323,0.9105455207685832,-0.6371495802519244
-2.752025425363953,0.9116934993230342,-0.6439831404387149
-2.7488837541685833,0.9128568089087306,-0.6508656364422502
-2.745742082973214,0.9140356436677302,-0.6577978870514375
-2.742600411777844,0.9152302017528093,-0.66478072600613
-2.7394587405824744,0.9164406854224473,-0.6718150023716946
-2.7363170693871046,0.9176673011386391,-0.6789015809244556
