zeta,x_omegaT,re,im
0.3,0.0,1.0,0.0
0.3,0.0020006668889629878,0.9993981598967175,0.001907368269567813
0.3,0.0040013337779259755,0.998793043951229,0.0038124406777029166
0.3,0.006002000666888963,0.9981846585141214,0.005715212357909314
0.3,0.008002667555851951,0.9975730099414409,0.007615678458732767
0.3,0.01000333444481494,0.9969581045946625,0.009513834143762157
0.3,0.012004001333777926,0.996339948840657,0.01140967459163079
0.3,0.014004668222740914,0.9957185490516601,0.013303194996017629
0.3,0.016005335111703902,0.9950939116052393,0.015194390565648478
0.3,0.01800600200066689,0.9944660428842625,0.017083256524297083
0.3,0.02000666888962988,0.9938349492768668,0.018969788110786204
0.3,0.022007335778592867,0.9932006371764254,0.020853980578988598
0.3,0.02400800266755585,0.9925631129815162,0.02273582919782793
0.3,0.02600866955651884,0.9919223830958908,0.024615329251279693
0.3,0.028009336445481828,0.9912784539284413,0.02649247603837196
0.3,0.030010003334444816,0.9906313318931693,0.028367264873186165
0.3,0.032010670223407804,0.9899810234091544,0.03023969108485778
0.3,0.03401133711237079,0.9893275349005213,0.032109750017576925
0.3,0.03601200400133378,0.9886708727964092,0.03397743703058897
0.3,0.038012670890296765,0.9880110435309395,0.035842747498194986
0.3,0.04001333777925976,0.9873480535431844,0.037705676809752245
0.3,0.04201400466822274,0.9866819092771347,0.03956622036967453
0.3,0.04401467155718573,0.9860126171816685,0.04142437359743255
0.3,0.04601533844614872,0.9853401837105195,0.043280131927554075
0.3,0.0480160053351117,0.9846646153222455,0.04513349080962429
0.3,0.050016672224074694,0.9839859184801962,0.04698444570828577
0.3,0.05201733911303768,0.9833040996524823,0.04883299210323869
0.3,0.05401800600200067,0.9826191653119436,0.05067912548924078
0.3,0.056018672890963656,0.9819311219361172,0.052522841376107264
0.3,0.05801933977992665,0.9812399760072065,0.05436413528871085
0.3,0.06002000666888963,0.9805457340120493,0.05620300276698145
0.3,0.062020673557852624,0.9798484024420859,0.05803943936590606
0.3,0.06402134044681561,0.9791479877933289,0.05987344065552836
0.3,0.06602200733577859,0.9784444965663304,0.061705002220948525
0.3,0.06802267422474158,0.9777379352661508,0.06353411966232268
0.3,0.07002334111370458,0.9770283104023281,0.06536078859486256
0.3,0.07202400800266756,0.9763156284888458,0.06718500464883485
0.3,0.07402467489163055,0.9755998960441019,0.06900676346956075
0.3,0.07602534178059353,0.9748811195908768,0.0708260607174152
0.3,0.07802600866955653,0.9741593056563032,0.07264289206782634
0.3,0.08002667555851951,0.9734344607718336,0.07445725321127453
0.3,0.0820273424474825,0.9727065914732095,0.07626913985329177
0.3,0.08402800933644548,0.9719757043004301,0.07807854771446066
0.3,0.08602867622540847,0.9712418057977215,0.0798854725304135
0.3,0.08802934311437147,0.9705049025135039,0.08168991005183135
0.3,0.09003001000333445,0.9697650010003622,0.08349185604444287
0.3,0.09203067689229744,0.9690221078150139,0.08529130628902332
0.3,0.09403134378126042,0.9682762295182779,0.08708825658139333
0.3,0.0960320106702234,0.9675273726750431,0.08888270273241759
0.3,0.0980326775591864,0.9667755438542385,0.09067464056800378
0.3,0.10003334444814939,0.9660207496288004,0.09246406592910097
0.3,0.10203401133711237,0.9652629965756424,0.09425097467169835
0.3,0.10403467822607536,0.9645022912756238,0.09603536266682379
0.3,0.10603534511503836,0.9637386403135191,0.0978172258005422
0.3,0.10803601200400134,0.9629720502779863,0.09959655997395402
0.3,0.11003667889296433,0.9622025277615365,0.1013733611031936
0.3,0.11203734578192731,0.9614300793605021,0.10314762511942745
0.3,0.1140380126708903,0.9606547116750067,0.10491934796885252
0.3,0.1160386795598533,0.9598764313089339,0.10668852561269432
0.3,0.11803934644881628,0.9590952448698958,0.10845515402720518
0.3,0.12004001333777926,0.9583111589692029,0.11021922920366212
0.3,0.12204068022674225,0.9575241802218328,0.11198074714836508
0.3,0.12404134711570525,0.9567343152463993,0.11373970388263473
0.3,0.12604201400466822,0.9559415706651218,0.11549609544281034
0.3,0.12804268089363122,0.955145953103794,0.11724991788024777
0.3,0.13004334778259422,0.954347469191754,0.11900116726131717
0.3,0.13204401467155719,0.9535461255618524,0.12074983966740055
0.3,0.13404468156052018,0.9527419288504225,0.12249593119488977
0.3,0.13604534844948316,0.9519348856972493,0.12423943795518387
0.3,0.13804601533844615,0.9511250027455384,0.12598035607468677
0.3,0.14004668222740915,0.9503122866418856,0.12771868169480466
0.3,0.14204734911637212,0.9494967440362467,0.12945441097194352
0.3,0.14404801600533512,0.948678381581906,0.13118754007750646
0.3,0.1460486828942981,0.9478572059354464,0.1329180651978911
0.3,0.1480493497832611,0.9470332237567184,0.13464598253448679
0.3,0.1500500166722241,0.9462064417088096,0.13637128830367173
0.3,0.15205068356118706,0.9453768664580143,0.1380939787368103
0.3,0.15405135045015006,0.9445445046738035,0.1398140500802501
0.3,0.15605201733911306,0.9437093630287928,0.14153149859531894
0.3,0.15805268422807603,0.9428714481987137,0.14324632055832176
0.3,0.16005335111703903,0.9420307668623824,0.1449585122605378
0.3,0.162054018006002,0.9411873257016691,0.14666807000821716
0.3,0.164054684894965,0.9403411314014682,0.1483749901225779
0.3,0.166055351783928,0.9394921906496675,0.15007926893980267
0.3,0.16805601867289097,0.9386405101371181,0.1517809028110353
0.3,0.17005668556185397,0.9377860965576038,0.15347988810237767
0.3,0.17205735245081694,0.9369289566078113,0.15517622119488617
0.3,0.17405801933977993,0.9360690969872996,0.15686989848456825
0.3,0.17605868622874293,0.9352065243984693,0.15856091638237899
0.3,0.1780593531177059,0.9343412455465336,0.16024927131421726
0.3,0.1800600200066689,0.9334732671394866,0.16193495972092248
0.3,0.18206068689563187,0.9326025958880746,0.16361797805827064
0.3,0.18406135378459487,0.9317292385057645,0.16529832279697065
0.3,0.18606202067355787,0.9308532017087151,0.1669759904226606
0.3,0.18806268756252084,0.929974492215746,0.1686509774359037
0.3,0.19006335445148384,0.929093116748308,0.17032328035218475
0.3,0.1920640213404468,0.9282090820304526,0.17199289570190576
0.3,0.1940646882294098,0.9273223947888027,0.1736598200303822
0.3,0.1960653551183728,0.926433061752522,0.17532404989783892
0.3,0.19806602200733578,0.9255410896532853,0.17698558187940583
0.3,0.20006668889629878,0.9246464852252483,0.17864441256511387
0.3,0.20206735578526178,0.9237492552050183,0.1803005385598909
0.3,0.20406802267422475,0.9228494063316234,0.18195395648355703
0.3,0.20606868956318775,0.9219469453464835,0.18360466297082076
0.3,0.20806935645215072,0.9210418789933799,0.1852526546712741
0.3,0.21007002334111372,0.9201342140184258,0.18689792824938845
0.3,0.2120706902300767,0.9192239571700364,0.18854048038451005
0.3,0.21407135711903968,0.9183111151988989,0.19018030777085515
0.3,0.21607202400800268,0.9173956948579433,0.19181740711750586
0.3,0.21807269089696565,0.9164777029023122,0.193451775148405
0.3,0.22007335778592865,0.9155571460893318,0.1950834086023518
0.3,0.22207402467489165,0.9146340311784811,0.1967123042329967
0.3,0.22407469156385462,0.9137083649313633,0.19833845880883688
0.3,0.22607535845281762,0.912780154111676,0.19996186911321126
0.3,0.2280760253417806,0.9118494054851811,0.20158253194429543
0.3,0.2300766922307436,0.9109161258196761,0.20320044411509683
0.3,0.2320773591197066,0.9099803218849639,0.20481560245344965
0.3,0.23407802600866956,0.9090420004528235,0.20642800380200965
0.3,0.23607869289763256,0.9081011682969805,0.2080376450182492
0.3,0.23807935978659556,0.9071578321930783,0.20964452297445194
0.3,0.24008002667555853,0.9062119989186475,0.21124863455770734
0.3,0.24208069356452153,0.9052636752530775,0.21284997666990588
0.3,0.2440813604534845,0.9043128679775869,0.21444854622773324
0.3,0.2460820273424475,0.9033595838751939,0.21604434016266508
0.3,0.2480826942314105,0.9024038297306871,0.21763735542096155
0.3,0.2500833611203735,0.901445612330597,0.21922758896366162
0.3,0.25208402800933644,0.900484938463165,0.22081503776657782
0.3,0.25408469489829943,0.8995218149183166,0.22239969882029043
0.3,0.25608536178726243,0.89855624848763,0.22398156913014167
0.3,0.25808602867622543,0.8975882459643083,0.22556064571623022
0.3,0.26008669556518843,0.8966178141431496,0.22713692561340526
0.3,0.2620873624541514,0.8956449598205186,0.22871040587126065
0.3,0.26408802934311437,0.8946696897943169,0.23028108355412932
0.3,0.26608869623207737,0.8936920108639544,0.23184895574107686
0.3,0.26808936312104037,0.8927119298303203,0.23341401952589586
0.3,0.27009003001000337,0.8917294534957538,0.23497627201709984
0.3,0.2720906968989663,0.8907445886640151,0.2365357103379169
0.3,0.2740913637879293,0.889757342140257,0.23809233162628413
0.3,0.2760920306768923,0.8887677207309954,0.2396461330348407
0.3,0.2780926975658553,0.8877757312440812,0.24119711173092212
0.3,0.2800933644548183,0.8867813804886706,0.2427452648965539
0.3,0.28209403134378125,0.8857846752751968,0.24429058972844483
0.3,0.28409469823274425,0.8847856224153411,0.2458330834379811
0.3,0.28609536512170725,0.883784228722004,0.24737274325121933
0.3,0.28809603201067024,0.8827805010092772,0.24890956640888054
0.3,0.29009669889963324,0.8817744460924138,0.2504435501663433
0.3,0.2920973657885962,0.8807660707878004,0.25197469179363713
0.3,0.2940980326775592,0.8797553819129285,0.253502988575436
0.3,0.2960986995665222,0.8787423862863651,0.2550284378110516
0.3,0.2980993664554852,0.8777270907277257,0.2565510368144263
0.3,0.3001000333444482,0.8767095020576436,0.25807078291412683
0.3,0.3021007002334112,0.8756896270977437,0.259587673453337
0.3,0.3041013671223741,0.8746674726706118,0.2611017057898508
0.3,0.3061020340113371,0.8736430455997682,0.262612877296066
0.3,0.3081027009003001,0.8726163527096381,0.2641211853589764
0.3,0.3101033677892631,0.8715874008255229,0.2656266273801652
0.3,0.3121040346782261,0.870556196773573,0.2671292007757979
0.3,0.31410470156718906,0.8695227473807589,0.2686289029766147
0.3,0.31610536845615206,0.8684870594748423,0.27012573142792407
0.3,0.31810603534511506,0.867449139884349,0.27161968358959476
0.3,0.32010670223407806,0.8664089954385398,0.27311075693604897
0.3,0.32210736912304105,0.8653666329673827,0.2745989489562546
0.3,0.324108036012004,0.8643220593015245,0.2760842571537182
0.3,0.326108702900967,0.8632752812722629,0.2775666790464774
0.3,0.32810936978993,0.8622263057115183,0.2790462121670932
0.3,0.330110036678893,0.8611751394518053,0.2805228540626428
0.3,0.332110703567856,0.8601217893262056,0.2819966022947117
0.3,0.33411137045681893,0.8590662621683391,0.2834674544393859
0.3,0.33611203734578193,0.8580085648123363,0.28493540808724505
0.3,0.33811270423474493,0.8569487040928103,0.28640046084335335
0.3,0.34011337112370793,0.855886686844829,0.28786261032725313
0.3,0.34211403801267093,0.8548225199038871,0.28932185417295603
0.3,0.34411470490163387,0.853756210105878,0.29077819002893535
0.3,0.34611537179059687,0.8526877642870662,0.29223161555811844
0.3,0.34811603867955987,0.8516171892840598,0.29368212843787833
0.3,0.35011670556852287,0.8505444919337823,0.295129726360026
0.3,0.35211737245748587,0.8494696790734451,0.2965744070308019
0.3,0.3541180393464488,0.8483927575405198,0.2980161681708682
0.3,0.3561187062354118,0.8473137341727102,0.2994550075153003
0.3,0.3581193731243748,0.8462326158079251,0.3008909228135788
0.3,0.3601200400133378,0.8451494092842506,0.30232391182958135
0.3,0.3621207069023008,0.8440641214399224,0.30375397234157386
0.3,0.36412137379126375,0.8429767591132985,0.30518110214220245
0.3,0.36612204068022675,0.8418873291428312,0.3066052990384851
0.3,0.36812270756918974,0.8407958383670402,0.308026560851803
0.3,0.37012337445815274,0.8397022936244851,0.3094448854178922
0.3,0.37212404134711574,0.8386067017537373,0.3108602705868347
0.3,0.3741247082360787,0.8375090695933539,0.3122727142230503
0.3,0.3761253751250417,0.8364094039818489,0.3136822142052876
0.3,0.3781260420140047,0.8353077117576672,0.3150887684266155
0.3,0.3801267089029677,0.834203999759156,0.3164923747944143
0.3,0.3821273757919307,0.8330982748245392,0.3178930312303671
0.3,0.3841280426808936,0.8319905437918887,0.31929073567045063
0.3,0.3861287095698566,0.8308808134990983,0.3206854860649267
0.3,0.3881293764588196,0.8297690907838553,0.322077280378333
0.3,0.3901300433477826,0.8286553824836149,0.32346611658947444
0.3,0.3921307102367456,0.8275396954355723,0.3248519926914137
0.3,0.3941313771257086,0.8264220364766355,0.3262349066914624
0.3,0.39613204401467156,0.8253024124433987,0.327614856611172
0.3,0.39813271090363456,0.8241808301721153,0.3289918404863245
0.3,0.40013337779259756,0.8230572964986708,0.3303658563669235
0.3,0.40213404468156055,0.8219318182585557,0.3317369023171844
0.3,0.40413471157052355,0.8208044022868393,0.3331049764155258
0.3,0.4061353784594865,0.819675055418142,0.33447007675455936
0.3,0.4081360453484495,0.8185437844866095,0.3358322014410813
0.3,0.4101367122374125,0.8174105963258851,0.33719134859606215
0.3,0.4121373791263755,0.816275497769083,0.3385475163546376
0.3,0.4141380460153385,0.8151384956487628,0.33990070286609914
0.3,0.41613871290430143,0.8139995967969015,0.34125090629388405
0.3,0.41813937979326443,0.8128588080448671,0.3425981248155663
0.3,0.42014004668222743,0.8117161362233926,0.3439423566228464
0.3,0.42214071357119043,0.810571588162549,0.34528359992154195
0.3,0.4241413804601534,0.809425170691719,0.3466218529315779
0.3,0.42614204734911637,0.8082768906395699,0.3479571138869764
0.3,0.42814271423807937,0.8071267548340281,0.3492893810358476
0.3,0.43014338112704237,0.8059747701022519,0.35061865264037917
0.3,0.43214404801600537,0.8048209432706055,0.35194492697682656
0.3,0.43414471490496837,0.8036652811646325,0.35326820233550305
0.3,0.4361453817939313,0.80250779060903,0.35458847702076973
0.3,0.4381460486828943,0.801348478427621,0.35590574935102537
0.3,0.4401467155718573,0.8001873514433299,0.3572200176586964
0.3,0.4421473824608203,0.7990244164781553,0.35853128029022663
0.3,0.4441480493497833,0.7978596803531436,0.3598395356060672
0.3,0.44614871623874625,0.796693149888364,0.3611447819806659
0.3,0.44814938312770924,0.7955248319028808,0.36244701780245786
0.3,0.45015005001667224,0.7943547332147286,0.363746241473854
0.3,0.45215071690563524,0.793182860640886,0.36504245141123154
0.3,0.45415138379459824,0.7920092209972488,0.36633564604492314
0.3,0.4561520506835612,0.7908338210986053,0.3676258238192066
0.3,0.4581527175725242,0.7896566677586097,0.3689129831922945
0.3,0.4601533844614872,0.7884777677897555,0.37019712263632326
0.3,0.4621540513504502,0.787297128003351,0.3714782406373427
0.3,0.4641547182394132,0.7861147552094929,0.3727563356953058
0.3,0.4661553851283761,0.7849306562170403,0.3740314063240574
0.3,0.4681560520173391,0.7837448378335886,0.3753034510513238
0.3,0.4701567189063021,0.782557306865445,0.3765724684187021
0.3,0.4721573857952651,0.781368070117602,0.37783845698164925
