alpha,zero1,zero2,zero1_mag,zero2_mag,one_inside_one_outside,departure_slope,direction
-3.0,3.3027756377319943,-0.3027756377319947,3.3027756377319943,0.3027756377319947,True,-8.881784197001252e-16,inward
-2.9,3.2113914953808536,-0.3113914953808537,3.2113914953808536,0.3113914953808537,True,0.03333333333333266,outward
-2.8,3.120465053408525,-0.3204650534085254,3.120465053408525,0.3204650534085254,True,0.06666666666666587,outward
-2.7,3.0300297616411447,-0.3300297616411442,3.0300297616411447,0.3300297616411442,True,0.09999999999999909,outward
-2.6,2.9401219466856725,-0.3401219466856725,2.9401219466856725,0.3401219466856725,True,0.13333333333333286,outward
-2.5,2.850781059358212,-0.3507810593582122,2.850781059358212,0.3507810593582122,True,0.16666666666666596,outward
-2.4,2.762049935181331,-0.3620499351813309,2.762049935181331,0.3620499351813309,True,0.1999999999999995,outward
-2.3,2.673975065412817,-0.37397506541281705,2.673975065412817,0.37397506541281705,True,0.23333333333333273,outward
-2.2,2.586606874731851,-0.38660687473185046,2.586606874731851,0.38660687473185046,True,0.26666666666666605,outward
-2.1,2.5,-0.4,2.5,0.4,True,0.2999999999999996,outward
-2.0,2.414213562373095,-0.4142135623730951,2.414213562373095,0.4142135623730951,True,0.3333333333333329,outward
-1.9,2.329311422413372,-0.4293114224133722,2.329311422413372,0.4293114224133722,True,0.3666666666666665,outward
-1.7999999999999998,2.245362404707371,-0.4453624047073711,2.245362404707371,0.4453624047073711,True,0.39999999999999974,outward
-1.7,2.1624404748406687,-0.46244047484066875,2.1624404748406687,0.46244047484066875,True,0.43333333333333307,outward
-1.5999999999999999,2.0806248474865696,-0.48062484748656975,2.0806248474865696,0.48062484748656975,True,0.46666666666666645,outward
-1.5,2.0,-0.5,2.0,0.5,True,0.4999999999999997,outward
-1.4,1.9206555615733703,-0.5206555615733703,1.9206555615733703,0.5206555615733703,True,0.533333333333333,outward
-1.2999999999999998,1.8426860441876562,-0.5426860441876563,1.8426860441876562,0.5426860441876563,True,0.5666666666666667,outward
-1.2,1.76619037896906,-0.5661903789690601,1.76619037896906,0.5661903789690601,True,0.5999999999999998,outward
-1.0999999999999999,1.6912712210513328,-0.5912712210513328,1.6912712210513328,0.5912712210513328,True,0.6333333333333332,outward
-1.0,1.618033988749895,-0.6180339887498948,1.618033988749895,0.6180339887498948,True,0.6666666666666664,outward
-0.8999999999999999,1.5465856099730653,-0.6465856099730655,1.5465856099730653,0.6465856099730655,True,0.6999999999999998,outward
-0.7999999999999998,1.4770329614269007,-0.6770329614269008,1.4770329614269007,0.6770329614269008,True,0.7333333333333332,outward
-0.6999999999999997,1.4094810050208544,-0.7094810050208546,1.4094810050208544,0.7094810050208546,True,0.7666666666666666,outward
-0.5999999999999996,1.3440306508910547,-0.7440306508910552,1.3440306508910547,0.7440306508910552,True,0.8000000000000002,outward
-0.5,1.2807764064044151,-0.7807764064044151,1.2807764064044151,0.7807764064044151,True,0.8333333333333334,outward
-0.3999999999999999,1.219803902718557,-0.819803902718557,1.219803902718557,0.819803902718557,True,0.8666666666666667,outward
-0.2999999999999998,1.161187420807834,-0.8611874208078343,1.161187420807834,0.8611874208078343,True,0.9000000000000001,outward
-0.19999999999999973,1.1049875621120888,-0.9049875621120892,1.1049875621120888,0.9049875621120892,True,0.9333333333333336,outward
-0.09999999999999964,1.0512492197250392,-0.9512492197250394,1.0512492197250392,0.9512492197250394,True,0.966666666666667,outward
0.0,-1.0,1.0,1.0,1.0,False,1.0000000000000002,outward
0.10000000000000009,-1.0512492197250394,0.9512492197250392,1.0512492197250394,0.9512492197250392,True,1.0333333333333337,outward
0.20000000000000018,-1.104987562112089,0.904987562112089,1.104987562112089,0.904987562112089,True,1.066666666666667,outward
0.30000000000000027,-1.1611874208078343,0.8611874208078342,1.1611874208078343,0.8611874208078342,True,1.1,outward
0.40000000000000036,-1.2198039027185572,0.8198039027185569,1.2198039027185572,0.8198039027185569,True,1.1333333333333337,outward
0.5,-1.2807764064044151,0.7807764064044151,1.2807764064044151,0.7807764064044151,True,1.166666666666667,outward
0.6000000000000001,-1.3440306508910551,0.7440306508910549,1.3440306508910551,0.7440306508910549,True,1.2000000000000004,outward
0.7000000000000002,-1.4094810050208546,0.7094810050208545,1.4094810050208546,0.7094810050208545,True,1.2333333333333336,outward
0.8000000000000003,-1.477032961426901,0.6770329614269006,1.477032961426901,0.6770329614269006,True,1.2666666666666673,outward
0.9000000000000004,-1.5465856099730657,0.6465856099730654,1.5465856099730657,0.6465856099730654,True,1.3000000000000005,outward
1.0,-1.618033988749895,0.6180339887498948,1.618033988749895,0.6180339887498948,True,1.3333333333333335,outward
1.1000000000000005,-1.6912712210513332,0.5912712210513326,1.6912712210513332,0.5912712210513326,True,1.3666666666666674,outward
1.2000000000000002,-1.7661903789690603,0.56619037896906,1.7661903789690603,0.56619037896906,True,1.4000000000000006,outward
1.2999999999999998,-1.8426860441876562,0.5426860441876563,1.8426860441876562,0.5426860441876563,True,1.4333333333333338,outward
1.4000000000000004,-1.9206555615733705,0.5206555615733702,1.9206555615733705,0.5206555615733702,True,1.4666666666666675,outward
1.5,-2.0,0.5,2.0,0.5,True,1.5000000000000007,outward
1.6000000000000005,-2.08062484748657,0.48062484748656964,2.08062484748657,0.48062484748656964,True,1.533333333333334,outward
1.7000000000000002,-2.162440474840669,0.46244047484066864,2.162440474840669,0.46244047484066864,True,1.5666666666666673,outward
1.8000000000000007,-2.2453624047073717,0.4453624047073709,2.2453624047073717,0.4453624047073709,True,1.6000000000000012,outward
1.9000000000000004,-2.3293114224133724,0.4293114224133721,2.3293114224133724,0.4293114224133721,True,1.6333333333333342,outward
2.0,-2.414213562373095,0.4142135623730951,2.414213562373095,0.4142135623730951,True,1.6666666666666679,outward
2.1000000000000005,-2.5000000000000004,0.3999999999999999,2.5000000000000004,0.3999999999999999,True,1.7000000000000008,outward
2.2,-2.586606874731851,0.38660687473185046,2.586606874731851,0.38660687473185046,True,1.733333333333334,outward
2.3000000000000007,-2.673975065412818,0.37397506541281694,2.673975065412818,0.37397506541281694,True,1.7666666666666682,outward
2.4000000000000004,-2.7620499351813312,0.36204993518133083,2.7620499351813312,0.36204993518133083,True,1.8000000000000012,outward
2.5,-2.850781059358212,0.3507810593582122,2.850781059358212,0.3507810593582122,True,1.8333333333333341,outward
2.6000000000000005,-2.940121946685673,0.34012194668567247,2.940121946685673,0.34012194668567247,True,1.8666666666666676,outward
2.7,-3.0300297616411447,0.3300297616411442,3.0300297616411447,0.3300297616411442,True,1.900000000000001,outward
2.8000000000000007,-3.120465053408526,0.3204650534085253,3.120465053408526,0.3204650534085253,True,1.9333333333333345,outward
2.9000000000000004,-3.2113914953808544,0.31139149538085364,3.2113914953808544,0.31139149538085364,True,1.9666666666666675,outward
3.0,-3.3027756377319943,0.3027756377319947,3.3027756377319943,0.3027756377319947,True,2.0000000000000013,outward
