M_dB,seq,re,im,mag_dB,phase_deg
-12,0,0.33544983106018367,0.0,-9.487448450163697,0.0
-12,1,0.33543959403008294,0.0023428810203092463,-9.487501665961428,0.40017640722874753
-12,2,0.3354088837215403,0.0046855831245170764,-9.487661313203134,0.800356486327361
-12,3,0.3353577024797745,0.007027927410185153,-9.487927391434127,1.200543909425214
-12,4,0.33528605421328467,0.009369735002200258,-9.488299899895837,1.6007423491707071
-12,5,0.3351939443935516,0.011710827066434237,-9.4887788375247,2.000955478990818
-12,6,0.3350813800546199,0.014051024823400829,-9.489364202950574,2.4011869733506903
-12,7,0.3349483697925612,0.016390149561908297,-9.490055994494718,2.801440508013275
-12,8,0.3347949237648171,0.018728022652706885,-9.490854210167319,3.2017197602990497
-12,9,0.33462105368942413,0.021064465562129975,-9.491758847664553,3.6020284093458064
-12,10,0.3344267728441184,0.023399299865727953,-9.49276990436521,4.002370136368544
-12,11,0.3342120960653218,0.025732347261893773,-9.493887377326866,4.402748624919468
-12,12,0.3339770397470092,0.02806342958547909,-9.495111263281565,4.803167561148112
-12,13,0.33372162183945625,0.03039236882139999,-9.496441558631103,5.203630634061589
-12,14,0.3334458618478685,0.03271898711823128,-9.49787825944179,5.604141535785004
-12,15,0.33314978083089236,0.03504310680178824,-9.499421361438808,6.004703961822013
-12,16,0.3328334013990064,0.03736455038869491,-9.501070860000056,6.405321611315572
-12,17,0.33249674771279497,0.039683140599937695,-9.50282675014957,6.805998187308849
-12,18,0.33213984548110315,0.041998700374403466,-9.504689026550455,7.206737397006366
-12,19,0.3317627219590733,0.044311052882400975,-9.506657683497355,7.607542952035332
-12,20,0.3313654059460639,0.04662002153916461,-9.508732714908458,8.008418568707203
-12,21,0.33094792778345017,0.048925430018339454,-9.510914114316993,8.409367968279483
-12,22,0.3305103193523069,0.05122710226544652,-9.513201874862315,8.810394877217764
-12,23,0.3300526140709742,0.05352486251132744,-9.51559598928043,9.211503027458033
-12,24,0.329574846892505,0.05581853528556708,-9.518096449894102,9.612696156669251
-12,25,0.3290770543019962,0.05810794542989359,-9.520703248602443,10.0139780085162
-12,26,0.3285592743138023,0.06039291811155445,-9.523416376870014,10.415352332922632
-12,27,0.32802154646863224,0.06267327883666779,-9.526235825715437,10.816822886334728
-12,28,0.3274639118305305,0.0649488534635477,-9.529161585699503,11.218393431984838
-12,29,0.3268864129837401,0.06721946821600272,-9.532193646912804,11.620067740155589
-12,30,0.32628909402945167,0.06948494969660642,-9.535331998962807,12.021849588444276
-12,31,0.3256720005824352,0.0717451248999391,-9.538576630960467,12.423742762027642
-12,32,0.3250351797675563,0.07399982122579933,-9.541927531506321,12.825751053926956
-12,33,0.3243786802161782,0.0762488664923849,-9.545384688676009,13.227878265273494
-12,34,0.3237025520624474,0.07849208894944153,-9.548948090005354,13.630128205574362
-12,35,0.3230068469394653,0.0807293172913787,-9.55261772247484,14.032504692978682
-12,36,0.3222916179753451,0.08296038067035164,-9.556393572493606,14.435011554544205
-12,37,0.321556919789155,0.08518510870930822,-9.560275625882856,14.837652626504248
-12,38,0.3208028084867467,0.08740333151499988,-9.56426386785877,15.240431754535049
-12,39,0.320029341656471,0.08961487969095579,-9.568358283014827,15.643352794023562
-12,40,0.31923657836478025,0.09181958435041887,-9.572558855303587,16.046419610335587
-12,41,0.3184245791517173,0.094017277129243,-9.576865568017915,16.449636079084343
-12,42,0.31759340602629255,0.09620779019875028,-9.581278403771627,16.85300608639946
-12,43,0.3167431224617485,0.09839095627854742,-9.585797344479554,17.25653352919638
-12,44,0.31587379339071264,0.10056660864930027,-9.590422371337048,17.660222315446166
-12,45,0.3149854852002387,0.10273458116546544,-9.59515346479887,18.064076364445732
-12,46,0.314078265726737,0.10489470826797814,-9.599990604557503,18.46809960708852
-12,47,0.31315220425079426,0.10704682499689534,-9.604933769520853,18.872295986135573
-12,48,0.3122073714918824,0.10919076700399291,-9.60998293778935,19.276669456487042
-12,49,0.31124383960295854,0.11132637056531637,-9.615138086632404,19.681223985454125
-12,50,0.31026168216495476,0.11345347259368373,-9.620399192464275,20.085963553031412
-12,51,0.30926097418115905,0.11557191065113974,-9.625766230819272,20.490892152169646
-12,52,0.3082417920714875,0.11768152296136075,-9.631239176326345,20.896013789048958
-12,53,0.3072042136666486,0.11978214842200872,-9.636818002682995,21.30133248335241
-12,54,0.3061483182021995,0.12187362661703405,-9.642502682628542,21.706852268540054
-12,55,0.30507418631249533,0.1239557978289259,-9.648293187916735,22.11257719212335
-12,56,0.30398190002453124,0.12602850305090904,-9.65418948928766,22.518511315939936
-12,57,0.3028715427516784,0.12809158399908666,-9.660191556438996,22.924658716428898
-12,58,0.3017431992873142,0.13014488312452774,-9.666299357996538,23.3310234849063
-12,59,0.3005969557983467,0.13218824362529855,-9.67251286148406,23.737609727841207
-12,60,0.29943289981863486,0.13422150945843683,-9.678832033292426,24.14442156713196
-12,61,0.29825112024230327,0.13624452535186826,-9.685256838648,24.551463140382904
-12,62,0.2970517073169543,0.13825713681626378,-9.69178724158031,24.95873860118135
-12,63,0.29583475263677583,0.14025919015683755,-9.69842320488899,25.36625211937499
-12,64,0.294600349135547,0.1422505324850836,-9.705164690109926,25.774007881349483
-12,65,0.2933485910795408,0.14423101173045177,-9.71201165748069,26.18201009030648
-12,66,0.2920795740603256,0.14620047665196037,-9.718964065905162,26.590262966541836
-12,67,0.29079339498746526,0.14815877684974585,-9.726021872917352,26.998770747724045
-12,68,0.2894901520811184,0.1501057627765484,-9.73318503464448,27.40753768917309
-12,69,0.28816994486453773,0.152041285749132,-9.740453505769189,27.816568064139297
-12,70,0.2868328741564701,0.153965197959639,-9.747827239490958,28.225866164082554
-12,71,0.285479042063457,0.15587735248687748,-9.755306187486688,28.63543629895163
-12,72,0.28410855197203755,0.15777760330754081,-9.762890299870437,29.04528279746359
-12,73,0.28272150854085293,0.15966580530735922,-9.770579525152275,29.45541000738349
-12,74,0.28131801769265435,0.16154181429218137,-9.778373810196301,29.865822295804012
-12,75,0.27989818660621385,0.1634054869989858,-9.786273100177755,30.27652404942522
-12,76,0.2784621237081398,0.16525668110682148,-9.794277338539235,30.687519674834327
-12,77,0.2770099386645964,0.16709525524767616,-9.802386466946016,31.098813598785547
-12,78,0.2755417423729295,0.16892106901727214,-9.810600425240404,31.510410268479745
-12,79,0.2740576469531975,0.1707339829857883,-9.818919151395203,31.92231415184416
-12,80,0.27255776573960905,0.17253385870850774,-9.827342581466214,32.33452973781192
-12,81,0.2710422132718684,0.1743205587363904,-9.835870649543727,32.74706153660149
-12,82,0.26951110528642863,0.17609394662656935,-9.844503287703086,33.15991407999579
-12,83,0.26796455870765307,0.1778538869527702,-9.853240425954224,33.57309192162116
-12,84,0.26640269163888625,0.17960024531565352,-9.862081992190202,33.98659963722609
-12,85,0.2648256233534351,0.18133288835307773,-9.871027912134707,34.400441824959394
-12,86,0.26323347428546023,0.183051683750284,-9.880078109288528,34.81462310564828
-12,87,0.2616263660207792,0.18475650025000018,-9.889232504874938,35.229148123075625
-12,88,0.2600044212875813,0.18644720766246456,-9.898491017784048,35.644021544257136
-12,89,0.2583677639470552,0.18812367687536788,-9.907853564516035,36.059248059717575
-12,90,0.2567165189839305,0.1897857798637131,-9.917320059123275,36.47483238376661
-12,91,0.2550508124969331,0.19143338969959206,-9.926890413151357,36.89077925477385
-12,92,0.25337077168915517,0.19306638056187864,-9.936564535578947,37.30709343544319
-12,93,0.25167652485834174,0.19468462774583703,-9.946342332756496,37.723779713086245
-12,94,0.2499682013870927,0.19628800767264484,-9.956223708343785,38.14084289989491
-12,95,0.24824593173298265,0.19787639789883057,-9.966208563246258,38.558287833213036
-12,96,0.24650984741859838,0.19944967712562386,-9.976296795550155,38.976119375806846
-12,97,0.2447600810214947,0.20100772520821872,-9.98648830045642,39.394342416134485
-12,98,0.24299676616407057,0.2025504231649484,-9.996782970213358,39.81296186861402
-12,99,0.24122003750336451,0.20407765318637155,-10.00718069404801,40.23198267389039
-12,100,0.23943003072077157,0.20558929864426898,-10.01768135809628,40.65140979910087
-12,101,0.23762688251168185,0.2070852441005497,-10.028284845331715,41.0712482381389
-12,102,0.23581073057504165,0.20856537531606698,-10.038991035493005,41.49150301191655
-12,103,0.23398171360283798,0.21002957925934185,-10.049799805010108,41.9121791686251
-12,104,0.2321399712695073,0.21147774411519504,-10.060711026929035,42.33328178399381
-12,105,0.23028564422126907,0.21290975929328587,-10.071724570835226,42.75481596154692
-12,106,0.22841887406538514,0.21432551543655762,-10.082840302775566,43.17678683285843
-12,107,0.22653980335934587,0.2157249044295884,-10.094058085178943,43.59919955780485
-12,108,0.22464857559998375,0.2171078194068478,-10.105377776775374,44.02205932481557
-12,109,0.2227453352125146,0.21847415476085763,-10.116799232513687,44.445371351121
-12,110,0.22083022753950932,0.2198238061502567,-10.128322303477681,44.86914088299783
-12,111,0.21890339882979376,0.2211566705077689,-10.139946836800828,45.29337319601212
-12,112,0.21696499622728083,0.2224726460480742,-10.151672675579409,45.71807359525903
-12,113,0.21501516775973373,0.2237716322755814,-10.163499658784115,46.14324741559999
-12,114,0.21305406232746132,0.22505352999210265,-10.175427621170103,46.56890002189662
