branch,sign,K,re,im,mag
0,pos,0.0,-0.5,0.8660254037844389,1.0000000000000002
0,pos,0.020006668889629875,-0.5044100383548258,0.8815422101339105,1.0156506067742472
0,pos,0.04001333777925975,-0.5089691451512892,0.8969059804263344,1.0312564804356665
0,pos,0.060020006668889625,-0.5136749981939357,0.9121175741159956,1.0468144404720392
0,pos,0.0800266755585195,-0.5185250989319115,0.9271777086374443,1.0623214116342239
0,pos,0.10003334444814937,-0.5235167929835076,0.9420869980077449,1.0777744403867544
0,pos,0.12004001333777925,-0.5286472904557222,0.9568459856205616,1.0931707084917528
0,pos,0.14004668222740912,-0.5339136858242136,0.9714551718565347,1.1085075438792495
0,pos,0.160053351117039,-0.5393129771715315,0.9859150370804817,1.1237824289812635
0,pos,0.18006002000666887,-0.5448420846147588,1.0002260605488082,1.138993006724951
0,pos,0.20006668889629875,-0.5504978677866895,1.014388735708195,1.1541370843922147
0,pos,0.22007335778592862,-0.5562771422663231,1.0284035823273943,1.16921263555942
0,pos,0.2400800266755585,-0.5621766948841909,1.0422711558672435,1.1842178003322499
0,pos,0.2600866955651884,-0.5681932978551749,1.0559920544590096,1.199150884087611
0,pos,0.28009336445481825,-0.5743237217157551,1.0695669238277432,1.2140103549277401
0,pos,0.3001000333444481,-0.5805647470638547,1.0829964604653919,1.2287948400420163
0,pos,0.320106702234078,-0.5869131751174732,1.096281413327883,1.2435031211599972
0,pos,0.3401133711237079,-0.5933658371233215,1.1094225843014809,1.25813412926573
0,pos,0.36012004001333775,-0.5999196026587408,1.1224208276563814,1.2726869387288682
0,pos,0.3801267089029676,-0.6065713868795064,1.1352770486799235,1.2871607609930957
0,pos,0.4001333777925975,-0.6133181567730622,1.1479922016580364,1.301554937947366
0,pos,0.4201400466822274,-0.620156936481385,1.1605672873515451,1.3158689350906116
0,pos,0.44014671557185725,-0.6270848117605339,1.1730033500939367,1.3301023345864569
0,pos,0.4601533844614871,-0.6340989336451077,1.1853014746188764,1.3442548282909552
0,pos,0.480160053351117,-0.6411965213857171,1.1974627827093836,1.3583262108239114
0,pos,0.5001667222407469,-0.6483748647263132,1.2094884297458042,1.3723163727427565
0,pos,0.5201733911303767,-0.6556313255861308,1.2213796012166886,1.38622529386751
0,pos,0.5401800600200066,-0.662963339208268,1.2331375092451653,1.4000530367959447
0,pos,0.5601867289096365,-0.6703684148336595,1.2447633891732799,1.4137997406396507
0,pos,0.5801933977992664,-0.6778441359556464,1.256258496238054,1.4274656150043523
0,pos,0.6002000666888962,-0.6853881602066259,1.2676241023654455,1.441050934231412
0,pos,0.6202067355785261,-0.6929982189243492,1.2788614931019104,1.4545560319118573
0,pos,0.640213404468156,-0.700672116441676,1.289971964697826,1.4679812956796239
0,pos,0.6602200733577859,-0.7084077291397074,1.300956821352342,1.4813271622865984
0,pos,0.6802267422474157,-0.716203004300642,1.3118173726254463,1.494594112958831
0,pos,0.7002334111370456,-0.7240559587931287,1.3225549310198246,1.5077826690304839
0,pos,0.7202400800266755,-0.7319646776195877,1.3331708097324695,1.5208933878498767
0,pos,0.7402467489163054,-0.7399273123518504,1.3436663205739525,1.5339268589502488
0,pos,0.7602534178059352,-0.7479420794785288,1.3540427720516162,1.5468837004765066
0,pos,0.7802600866955651,-0.7560072586848716,1.364301467611625,1.5597645558581745
0,pos,0.800266755585195,-0.7641211910833587,1.3744437040339024,1.5725700907180844
0,pos,0.8202734244748249,-0.772282277411011,1.384470769973249,1.5853009900058281
0,pos,0.8402800933644547,-0.780488976207357,1.3943839446394624,1.5979579553447316
0,pos,0.8602867622540846,-0.7887398019851222,1.4041844966090153,1.6105417025810427
0,pos,0.8802934311437145,-0.7970333234039884,1.413873682760658,1.6230529595239929
0,pos,0.9003001000333444,-0.8053681614563296,1.4234527473273293,1.6354924638656303
0,pos,0.9203067689229742,-0.8137429876723892,1.4329229210568186,1.6478609612694852
0,pos,0.9403134378126041,-0.8221565223512537,1.4422854204737792,1.6601592036175126
0,pos,0.960320106702234,-0.8306075328228157,1.4515414472358827,1.672387947405041
0,pos,0.9803267755918639,-0.8390948317450614,1.4606921875772187,1.6845479522739606
0,pos,1.0003334444814937,-0.8476172754401194,1.469738811832247,1.696639979674709
0,pos,1.0203401133711236,-0.8561737622718143,1.4786824740340037,1.7086647916481439
0,pos,1.0403467822607535,-0.8647632310668243,1.4875243115805246,1.720623149718801
0,pos,1.0603534511503834,-0.873384659580964,1.4962654449638157,1.7325158138914987
0,pos,1.0803601200400132,-0.8820370630116943,1.5049069775560209,1.7443435417437396
0,pos,1.1003667889296431,-0.8907194925574492,1.5134499954477614,1.7561070876067406
0,pos,1.120373457819273,-0.8994310340241238,1.5218955673339525,1.7678072018284228
0,pos,1.1403801267089029,-0.9081708064786711,1.530244744442714,1.7794446301120659
0,pos,1.1603867955985327,-0.9169379609495684,1.5384985605032984,1.791020112924775
0,pos,1.1803934644881626,-0.9257316791736463,1.54665803174923,1.8025343849702453
0,pos,1.2004001333777925,-0.9345511723886233,1.5547241569531711,1.8139881747207447
0,pos,1.2204068022674224,-0.9433956801705565,1.5626979174902362,1.825382204003531
0,pos,1.2404134711570522,-0.9522644693152134,1.5705802774267605,1.8367171876372543
0,pos,1.2604201400466821,-0.9611568327624244,1.5783721836317832,1.8479938331142933
