f_percent,K_max_stable
-30.0,0.31803392586381096
-27.5,0.296856372351189
-25.0,0.27437466375222963
-22.5,0.25028869830065414
-20.0,0.2260805377898398
-17.5,0.2015508900929149
-15.0,0.17502717092754835
-12.5,0.14805580348311648
-10.0,0.12040491422205045
-7.5,0.09169824297272385
-5.0,0.062054639922791734
-2.5,0.031461455705964474
0.0,
2.5,
5.0,
7.5,
10.0,
12.5,
15.0,
17.5,
20.0,
22.5,
25.0,
27.5,
30.0,
