K,stable,pole1_real,pole1_imag,pole2_real,pole2_imag,pole3_real,pole3_imag
0.001,1,-12.006263867725,0,-0.0018680661375043,0.353750647194359,-0.0018680661375043,-0.353750647194359
0.00102807322383087,1,-12.0064397644643,0,-0.00192048388701953,0.35395426924524,-0.00192048388701953,-0.35395426924524
0.00105693455355799,1,-12.0066206020257,0,-0.00197437175495597,0.354163471233061,-0.00197437175495597,-0.354163471233061
0.0010866061138546,1,-12.0068065192753,0,-0.00202977093163523,0.354378402295501,-0.00202977093163523,-0.354378402295501
0.00111711065050482,1,-12.0069976589868,0,-0.00208672375913534,0.354599215350818,-0.00208672375913534,-0.354599215350818
0.00114847154784029,1,-12.0071941679517,0,-0.00214527376336253,0.354826067182615,-0.00214527376336253,-0.354826067182615
0.00118071284666619,1,-12.0073961970926,0,-0.0022054656870094,0.355059118525896,-0.0022054656870094,-0.355059118525896
0.00121385926269063,1,-12.0076039015801,0,-0.00226734552342143,0.35529853415442,-0.00226734552342143,-0.35529853415442
0.00124793620547131,1,-12.0078174409519,0,-0.00233096055140013,0.355544482969331,-0.00233096055140013,-0.355544482969331
0.00128296979789415,1,-12.008036979237,0,-0.00239635937096248,0.35579713808904,-0.00239635937096248,-0.35579713808904
0.00131898689619867,1,-12.0082626850818,0,-0.00246359194008955,0.356056676940337,-0.00246359194008955,-0.356056676940337
0.00135601511056563,1,-12.0084947318807,0,-0.00253270961248201,0.356323281350723,-0.00253270961248201,-0.356323281350723
0.00139408282628258,1,-12.0087332979101,0,-0.00260376517636154,0.35659713764192,-0.00260376517636154,-0.35659713764192
0.00143321922550357,1,-12.0089785664664,0,-0.00267681289433244,0.356878436724533,-0.00267681289433244,-0.356878436724533
0.00147345430961984,1,-12.0092307260075,0,-0.00275190854434538,0.357167374193839,-0.00275190854434538,-0.357167374193839
0.00151481892225835,1,-12.009489970299,0,-0.00282910946178276,0.357464150426655,-0.00282910946178276,-0.357464150426655
0.00155734477292614,1,-12.0097564985639,0,-0.00290847458270172,0.357768970679249,-0.00290847458270172,-0.357768970679249
0.00160106446131832,1,-12.0100305156367,0,-0.00299006448826231,0.358082045186255,-0.00299006448826231,-0.358082045186255
0.00164601150230855,1,-12.0103122321223,0,-0.00307394145037541,0.358403589260545,-0.00307394145037541,-0.358403589260545
0.00169222035164104,1,-12.0106018645592,0,-0.00316016947860209,0.358733823393995,-0.00316016947860209,-0.358733823393995
0.0017397264323438,1,-12.0108996355868,0,-0.00324881436833478,0.359072973359103,-0.00324881436833478,-0.359072973359103
0.00178856616188346,1,-12.0112057741182,0,-0.00333994375029967,0.359421270311394,-0.00333994375029967,-0.359421270311394
0.00183877698008233,1,-12.011520515518,0,-0.00343362714141211,0.359778950892556,-0.00343362714141211,-0.359778950892556
0.00189039737781922,1,-12.0118441017842,0,-0.00352993599702059,0.360146257334216,-0.00352993599702059,-0.360146257334216
0.00194346692653602,1,-12.0121767817362,0,-0.00362894376457886,0.360523437562319,-0.00362894376457886,-0.360523437562319
0.00199802630857255,1,-12.0125188112082,0,-0.0037307259387815,0.360910745302,-0.0037307259387815,-0.360910745302
0.00205411734835306,1,-12.0128704532471,0,-0.0038353601182022,0.361308440182885,-0.0038353601182022,-0.361308440182885
0.00211178304444824,1,-12.0132319783175,0,-0.00394292606347492,0.361716787844733,-0.00394292606347492,-0.361716787844733
0.00217106760253726,1,-12.0136036645113,0,-0.00405350575705954,0.362136060043309,-0.00405350575705954,-0.362136060043309
0.00223201646929523,1,-12.0139857977637,0,-0.00416718346462862,0.362566534756427,-0.00416718346462862,-0.362566534756427
0.00229467636723194,1,-12.0143786720761,0,-0.00428404579812819,0.363008496290013,-0.00428404579812819,-0.363008496290013
0.00235909533050864,1,-12.014782589744,0,-0.00440418178054191,0.363462235384125,-0.00440418178054191,-0.363462235384125
0.00242532274176035,1,-12.0151978615928,0,-0.00452768291241739,0.363928049318783,-0.00452768291241739,-0.363928049318783
0.00249340936995188,1,-12.0156248072192,0,-0.00465464324018831,0.364406242019508,-0.00465464324018831,-0.364406242019508
0.00256340740929651,1,-12.0160637552403,0,-0.00478515942635249,0.364897124162438,-0.00478515942635249,-0.364897124162438
0.0026353705192674,1,-12.0165150435496,0,-0.00491933082153679,0.365401013278896,-0.00491933082153679,-0.365401013278896
0.00270935386573205,1,-12.0169790195803,0,-0.00505725953851769,0.365918233859266,-0.00505725953851769,-0.365918233859266
0.00278541416324177,1,-12.017456040576,0,-0.00519905052822627,0.366449117456039,-0.00519905052822627,-0.366449117456039
0.00286360971850812,1,-12.0179464738695,0,-0.00534481165780976,0.366994002785884,-0.00534481165780976,-0.366994002785884
0.00294400047510004,1,-12.0184506971694,0,-0.00549465379078737,0.367553235830582,-0.00549465379078737,-0.367553235830582
0.00302664805939569,1,-12.0189690988552,0,-0.00564869086936071,0.368127169936674,-0.00564869086936071,-0.368127169936674
0.00311161582782436,1,-12.0195020782804,0,-0.00580703999893054,0.36871616591365,-0.00580703999893054,-0.36871616591365
0.00319896891543454,1,-12.0200500460846,0,-0.00596982153488148,0.369320592130507,-0.00596982153488148,-0.369320592130507
0.00328877428582551,1,-12.0206134245149,0,-0.00613715917168468,0.369940824610506,-0.00613715917168468,-0.369940824610506
0.00338110078248069,1,-12.021192647756,0,-0.00630918003438225,0.370577247123941,-0.00630918003438225,-0.370577247123941
0.00347601918154198,1,-12.0217881622704,0,-0.00648601477251238,0.371230251278732,-0.00648601477251238,-0.371230251278732
0.00357360224606579,1,-12.0224004271476,0,-0.00666779765653557,0.371900236608649,-0.00666779765653557,-0.371900236608649
0.00367392478180207,1,-12.0230299144644,0,-0.00685466667682467,0.372587610658974,-0.00685466667682467,-0.372587610658974
0.00377706369453937,1,-12.0236771096548,0,-0.00704676364528374,0.373292789069387,-0.00704676364528374,-0.373292789069387
0.00388309804905961,1,-12.0243425118913,0,-0.00724423429965946,0.374016195653878,-0.00724423429965946,-0.374016195653878
