alpha,K_lower_exact,K_upper_exact
-2.999,-0.0004999999999999449,0.0
-2.9914862155388473,-0.004256892230576348,0.0
-2.9839724310776945,-0.008013784461152751,0.0
-2.9764586466165412,-0.011770676691729376,0.0
-2.9689448621553884,-0.015527568922305779,0.0
-2.9614310776942356,-0.019284461152882182,0.0
-2.953917293233083,-0.023041353383458585,0.0
-2.94640350877193,-0.026798245614034988,0.0
-2.938889724310777,-0.03055513784461139,0.0
-2.931375939849624,-0.034312030075188016,0.0
-2.923862155388471,-0.03806892230576442,0.0
-2.9163483709273184,-0.04182581453634082,0.0
-2.9088345864661656,-0.045582706766917225,0.0
-2.9013208020050127,-0.04933959899749363,0.0
-2.89380701754386,-0.05309649122807003,0.0
-2.8862932330827067,-0.056853383458646656,0.0
-2.878779448621554,-0.06061027568922306,0.0
-2.871265664160401,-0.06436716791979946,0.0
-2.8637518796992483,-0.06812406015037586,0.0
-2.8562380952380955,-0.07188095238095227,0.0
-2.8487243107769427,-0.07563784461152867,0.0
-2.8412105263157894,-0.0793947368421053,0.0
-2.8336967418546366,-0.0831516290726817,0.0
-2.826182957393484,-0.0869085213032581,0.0
-2.818669172932331,-0.0906654135338345,0.0
-2.811155388471178,-0.09442230576441091,0.0
-2.803641604010025,-0.09817919799498753,0.0
-2.796127819548872,-0.10193609022556394,0.0
-2.7886140350877193,-0.10569298245614034,0.0
-2.7811002506265665,-0.10944987468671674,0.0
-2.7735864661654137,-0.11320676691729314,0.0
-2.766072681704261,-0.11696365914786955,0.0
-2.7585588972431077,-0.12072055137844617,0.0
-2.751045112781955,-0.12447744360902258,0.0
-2.743531328320802,-0.12823433583959898,0.0
-2.7360175438596492,-0.13199122807017538,0.0
-2.7285037593984964,-0.13574812030075178,0.0
-2.7209899749373436,-0.1395050125313282,0.0
-2.7134761904761904,-0.1432619047619048,0.0
-2.7059624060150376,-0.14701879699248122,0.0
-2.6984486215538848,-0.15077568922305762,0.0
-2.690934837092732,-0.15453258145363402,0.0
-2.683421052631579,-0.15828947368421042,0.0
-2.675907268170426,-0.16204636591478705,0.0
-2.668393483709273,-0.16580325814536345,0.0
-2.6608796992481203,-0.16956015037593986,0.0
-2.6533659147869675,-0.17331704260651626,0.0
-2.6458521303258147,-0.17707393483709266,0.0
-2.638338345864662,-0.18083082706766906,0.0
-2.630824561403509,-0.18458771929824547,0.0
-2.623310776942356,-0.1883446115288221,0.0
-2.615796992481203,-0.1921015037593985,0.0
-2.60828320802005,-0.1958583959899749,0.0
-2.6007694235588974,-0.1996152882205513,0.0
-2.5932556390977446,-0.2033721804511277,0.0
-2.5857418546365913,-0.20712907268170433,0.0
-2.5782280701754385,-0.21088596491228073,0.0
-2.5707142857142857,-0.21464285714285714,0.0
-2.563200501253133,-0.21839974937343354,0.0
-2.55568671679198,-0.22215664160400994,0.0
-2.5481729323308273,-0.22591353383458634,0.0
-2.540659147869674,-0.22967042606516297,0.0
-2.5331453634085213,-0.23342731829573937,0.0
-2.5256315789473684,-0.23718421052631578,0.0
-2.5181177944862156,-0.24094110275689218,0.0
-2.510604010025063,-0.24469799498746858,0.0
-2.50309022556391,-0.24845488721804498,0.0
-2.495576441102757,-0.2522117794486216,0.0
-2.488062656641604,-0.255968671679198,0.0
-2.480548872180451,-0.2597255639097744,0.0
-2.4730350877192984,-0.2634824561403508,0.0
-2.4655213032581456,-0.2672393483709272,0.0
-2.4580075187969923,-0.27099624060150385,0.0
-2.4504937343358395,-0.27475313283208025,0.0
-2.4429799498746867,-0.27851002506265665,0.0
-2.435466165413534,-0.28226691729323306,0.0
-2.427952380952381,-0.28602380952380946,0.0
-2.420438596491228,-0.2897807017543861,0.0
-2.4129248120300755,-0.29353759398496226,0.0
-2.405411027568922,-0.2972944862155389,0.0
-2.3978972431077694,-0.3010513784461153,0.0
-2.3903834586466166,-0.3048082706766917,0.0
-2.382869674185464,-0.3085651629072681,0.0
-2.375355889724311,-0.3123220551378445,0.0
-2.3678421052631577,-0.3160789473684211,0.0
-2.360328320802005,-0.31983583959899753,0.0
-2.352814536340852,-0.32359273182957393,0.0
-2.3453007518796993,-0.32734962406015033,0.0
