K,f_percent,pole_re,pole_im,dzdf_analytical_re,dzdf_analytical_im,dzdf_finitediff_re,dzdf_finitediff_im,relative_error
0.05,-25,0.9645769921346975,0.0,0.000379099829981583,-0.0,0.0003790998315267302,0.0,4.075831958393969e-09
0.05,-25,-0.3822884960673494,0.6991772887496038,-0.005189549914990784,0.00810486955213286,-0.005189549916462255,0.008104869553271499,1.9332727442891983e-10
0.05,-25,-0.3822884960673494,-0.6991772887496038,-0.005189549914990784,-0.00810486955213286,-0.005189549916462255,-0.008104869553271499,1.9332727442891983e-10
0.05,-15,0.9681177213343144,0.0,0.00033027103773135676,-0.0,0.000330271035520191,0.0,6.695003539315434e-09
0.05,-15,-0.43405886066715715,0.7807259799087275,-0.005165135518865679,0.008199859650493923,-0.005165135516516095,0.008199859648505559,3.1761376269314653e-10
0.05,-15,-0.43405886066715715,-0.7807259799087275,-0.005165135518865679,-0.008199859650493923,-0.005165135516516095,-0.008199859648505559,3.1761376269314653e-10
0.05,-10,0.9697139581793017,0.0,0.0003085020069704242,-0.0,0.00030850199117526955,0.0,5.119951983984897e-08
0.05,-10,-0.4598569790896505,0.8218217699485345,-0.005154251003485215,0.008237549666637868,-0.005154251003502974,0.008237549665168764,1.5119737928048834e-10
0.05,-10,-0.4598569790896505,-0.8218217699485345,-0.005154251003485215,-0.008237549666637868,-0.005154251003502974,-0.008237549665168764,1.5119737928048834e-10
0.05,-5,-0.48560271481750905,0.8630932683750957,-0.005144172975807926,0.008270306583311609,-0.00514417297814429,0.0082703065867884,4.3008551041556206e-10
0.05,-5,-0.48560271481750905,-0.8630932683750957,-0.005144172975807926,-0.008270306583311609,-0.00514417297814429,-0.0082703065867884,4.3008551041556206e-10
0.05,-5,0.9712054296350175,0.0,0.000288345951615856,-0.0,0.00028834595100502014,0.0,2.1184132063516227e-09
0.05,-2,-0.5010266429679546,0.8879310177672236,-0.0051384897975693,0.0082879633763693,-0.005138489792000378,0.008287963373376783,6.483043669137464e-10
0.05,-2,-0.5010266429679546,-0.8879310177672236,-0.0051384897975693,-0.0082879633763693,-0.005138489792000378,-0.008287963373376783,6.483043669137464e-10
0.05,-2,0.9720532859359078,0.0,0.00027697959513861504,-0.0,0.0002769795931500951,0.0,7.179301118950198e-09
0.1,-25,0.9318033282025541,0.0,0.0007186317201375783,-0.0,0.0007186317180218893,0.0,2.9440518232021566e-09
0.1,-25,-0.3909016641012767,0.7471163445018624,-0.005359315860068792,0.007602266024872331,-0.00535931585998739,0.007602266023365445,1.6224191542867247e-10
0.1,-25,-0.3909016641012767,-0.7471163445018624,-0.005359315860068792,-0.007602266024872331,-0.00535931585998739,-0.007602266023365445,1.6224191542867247e-10
0.1,-15,0.9385149441551345,0.0,0.0006261067810721544,-0.0,0.0006261067808654985,0.0,3.3006490141467645e-10
0.1,-15,-0.4442574720775673,0.8240266086104303,-0.005313053390536076,0.007771798734058725,-0.0053130533883560815,0.0077717987329029015,2.620952940380116e-10
0.1,-15,-0.4442574720775673,-0.8240266086104303,-0.005313053390536076,-0.007771798734058725,-0.0053130533883560815,-0.0077717987329029015,2.620952940380116e-10
