f_percent,K_boundary_linearised
-30.0,0.2956464200032562
-29.49322033898305,0.2922880791210464
-28.9864406779661,0.2888668567388222
-28.47966101694915,0.2853831096038939
-27.972881355932202,0.28183719480999486
-27.466101694915253,0.2782294697284868
-26.959322033898303,0.27456029193776055
-26.452542372881357,0.27083001915093347
-25.945762711864408,0.2670390091419401
-25.438983050847458,0.2631876196701149
-24.93220338983051,0.2592762084033635
-24.42542372881356,0.2553051328400218
-23.91864406779661,0.25127475022949647
-23.41186440677966,0.2471854174917866
-22.90508474576271,0.24303749113597997
-22.398305084745765,0.23883132717781866
-21.891525423728815,0.23456728105642988
-21.384745762711866,0.2302457075503123
-20.877966101694916,0.22586696069267304
-20.371186440677967,0.22143139368620257
-19.864406779661017,0.21693935881738124
-19.357627118644068,0.21239120737040326
-18.85084745762712,0.20778728954080458
-18.34406779661017,0.20312795434888395
-17.83728813559322,0.19841354955299711
-17.33050847457627,0.1936444215628093
-16.82372881355932,0.188820915352586
-16.31694915254237,0.18394337437460095
-15.810169491525423,0.17901214047273986
-15.303389830508474,0.17402755379637297
-14.796610169491526,0.16898995271457318
-14.289830508474576,0.16389967373074835
-13.783050847457627,0.15875705139775945
-13.276271186440677,0.15356241823359099
-12.769491525423728,0.14831610463763822
-12.262711864406779,0.14301843880767748
-11.755932203389829,0.137669746657576
-11.24915254237288,0.13227035173580345
-10.742372881355934,0.12682057514480127
-10.235593220338984,0.12132073546126002
-9.728813559322035,0.11577114865736318
-9.222033898305085,0.11017212802304016
-8.715254237288136,0.10452398408927879
-8.208474576271186,0.09882702455254314
-7.701694915254237,0.09308155420033486
-7.194915254237287,0.08728787483794073
-6.688135593220338,0.08144628521640268
-6.181355932203388,0.0755570809617467
-5.674576271186439,0.06962055450549896
-5.167796610169493,0.06363699501652482
-4.661016949152543,0.05760668833421298
-4.154237288135594,0.0515299169030344
-3.6474576271186443,0.04540695970849465
-3.140677966101695,0.03923809221450397
-2.6338983050847453,0.03302358630218054
-2.127118644067796,0.026763710210102494
-1.6203389830508463,0.020458728476025586
-1.1135593220338968,0.014108901880071854
-0.6067796610169474,0.007714487389404214
-0.1,0.001275738104389741
