omega,uncompensated_dB,compensated_2nd_dB,filter1_dB,filter2_dB,compensated_1st_dB
-9.288111847032535,-1.117653103331095,-57.24778668257497,-28.071836964852594,-56.130133579243626,-29.189490068183687
-9.287169322110213,-1.113594983319706,-57.123959661166495,-28.01204636539609,-56.0103646778468,-29.125641348715796
-9.28622679718789,-1.1095092422619226,-57.00091741917596,-27.952662615264646,-55.89140817691404,-29.062171857526568
-9.285284272265567,-1.1053958847852736,-56.87864891033068,-27.893680189091718,-55.77325302554541,-28.999076073876992
-9.284341747343245,-1.10125491551827,-56.757143311608864,-27.83509367313623,-55.655888396090596,-28.936348588654504
-9.283399222420922,-1.0970863390898296,-56.63639001726562,-27.77689776229595,-55.53930367817579,-28.87398410138578
-9.282456697498596,-1.0928901601286576,-56.5163786330574,-27.719087257219776,-55.423488472928504,-28.811977417348434
-9.281514172576276,-1.0886663832627033,-56.39709897065767,-27.661657061516692,-55.30843258739513,-28.750323444779397
-9.280571647653952,-1.084415013118474,-56.278541042253735,-27.604602179052826,-55.19412602913526,-28.6890171921713
-9.27962912273163,-1.0801360543204808,-56.16069505532213,-27.547917711341444,-55.080559001001646,-28.628053765661925
-9.278686597809306,-1.075829511490627,-56.04355140757104,-27.49159885501311,-54.96772189608042,-28.567428366503737
-9.277744072886984,-1.0714953892475894,-55.92710068204664,-27.435640899369528,-54.855605292799055,-28.50713628861712
-9.27680154796466,-1.0671336922061991,-55.811333642394445,-27.380039224014716,-54.74419995018824,-28.447172916220914
-9.275859023042337,-1.06274442497684,-55.69624122827318,-27.324789296561974,-54.63349680329634,-28.387533721538816
-9.274916498120014,-1.058327592164801,-55.58181455091045,-27.269886670412184,-54.523486958745636,-28.328214262576985
-9.273973973197691,-1.0538831983696806,-55.46804488880007,-27.21532698260279,-54.41416169043038,-28.269210180972472
-9.273031448275368,-1.049411248184748,-55.35492368353252,-27.161105951723222,-54.305512435347765,-28.21051719990797
-9.272088923353044,-1.0449117461963011,-55.24244253575419,-27.107219375894953,-54.197530789557895,-28.152131122091255
-9.27114639843072,-1.040384696983073,-55.13059320125197,-27.053663130814005,-54.090208504268695,-28.094047827797077
-9.270203873508398,-1.0358301051155503,-55.01936758715591,-27.000433167853025,-53.98353748204036,-28.036263272968576
-9.269261348586076,-1.0312479751553707,-54.90875774825902,-26.947525512220455,-53.87750977310365,-27.978773487375825
-9.268318823663751,-1.0266383116546458,-54.79875588344684,-26.894936261176777,-53.772117571791995,-27.921574572831425
-9.267376298741429,-1.0220011191553573,-54.68935433223509,-26.842661582303393,-53.66735321307972,-27.86466270145875
-9.266433773819106,-1.0173364021887057,-54.58054557141095,-26.790697711822823,-53.56320916922223,-27.808034114011527
-9.265491248896785,-1.0126441652744207,-54.47232221177216,-26.739040952969685,-53.45967804649799,-27.751685118244104
-9.26454872397446,-1.0079244129201423,-54.36467699496453,-26.6876876744087,-53.35675258204439,-27.695612087328843
-9.263606199052138,-1.003177149620773,-54.25760279041076,-26.636634308700625,-53.25442564078998,-27.639811458321397
-9.262663674129811,-0.9984023798577903,-54.151092592329285,-26.585877350810776,-53.15269021247131,-27.584279730668566
-9.26172114920749,-0.9936001080986222,-54.04513951683981,-26.53541335666329,-53.05153940874119,-27.529013464761913
-9.260778624285168,-0.9887703387959546,-53.93973679915113,-26.48523894173413,-52.95096646035517,-27.474009280530087
-9.259836099362843,-0.9839130763870664,-53.83487779083061,-26.435350779687155,-52.850964714443364,-27.41926385607422
-9.258893574440522,-0.979028325293188,-53.73055595715125,-26.385745601047844,-52.75152763185807,-27.364773926341034
-9.2579510495182,-0.9741160899187948,-53.62676487451324,-26.336420191913753,-52.65264878459445,-27.310536281832547
-9.257008524595877,-0.9691763746509544,-53.523498227939,-26.287371392703122,-52.554321853288215,-27.256547767354075
-9.256065999673552,-0.9642091838586644,-53.420749808637886,-26.238596096937037,-52.456540624779215,-27.2028052807957
-9.25512347475123,-0.9592145218921312,-53.3185135116385,-26.190091250056508,-52.35929898974638,-27.14930577194864
-9.254180949828909,-0.9541923930821178,-53.21678333348706,-26.141853848271424,-52.26259094040511,-27.09604624135354
-9.253238424906584,-0.9491428017392548,-53.11555337000876,-26.093880937441597,-52.166410568269505,-27.043023739180853
-9.25229589998426,-0.9440657521533392,-53.01481781413071,-26.046169611989228,-52.07075206197737,-26.990235364142567
-9.251353375061935,-0.9389612485926802,-52.9145709537646,-25.998717013839688,-51.97560970517175,-26.937678262432367
-9.250410850139614,-0.9338292953033605,-52.81480716974507,-25.951520331392018,-51.88097787444171,-26.88534962669538
-9.249468325217292,-0.9286698965085748,-52.715520933825744,-25.90457679851612,-51.78685103731717,-26.833246695024695
-9.248525800294969,-0.9234830564079042,-52.61670680672754,-25.85788369357834,-51.69322375031964,-26.781366749986244
