theta_rad,plant_dB,filt1_dB,filt2_dB,casc1_dB,casc2_dB
0.001,55.06656260137122,-3.257207934221481e-06,-2.44264147277982e-12,55.06655934416328,55.06656260136877
0.0017853194932707659,50.03226393591318,-1.0381908097716909e-05,-2.4817931679250853e-11,50.03225355400508,50.03226393588836
0.0025706389865415317,46.86579278283663,-2.1524206822046315e-05,-1.066787259881125e-10,46.86577125862981,46.86579278272995
0.003355958479812298,44.550326133909394,-3.668408692212587e-05,-3.0986638050562836e-10,44.550289449822465,44.550326133599526
0.004141277973083064,42.724024634281754,-5.586152503046633e-05,-7.185319672881728e-10,42.72396877275672,42.72402463356322
0.00492659746635383,41.21583669834901,-7.90564915776756e-05,-1.439124702432151e-09,41.21575764185743,41.21583669690988
0.005711916959624596,39.931218011265976,-0.00010626895079894242,-2.6003900174573825e-09,39.93111174231518,39.93121800866559
0.006497236452895362,38.81237112611895,-0.0001374988607481788,-4.353387881595653e-09,38.8122336272582,38.81237112176556
0.007282555946166128,37.82136826839866,-0.00017274617327256897,-6.8714725510205325e-09,37.82119552222538,37.821368261527184
0.008067875439436894,36.93197289152758,-0.00021201083402949304,-1.0350301247954703e-08,36.93176088069356,36.93197288117728
0.00885319493270766,36.125279194585296,-0.00025529278249085895,-1.5007841875518927e-08,36.125023901802805,36.125279179577454
0.009638514425978427,35.38721227298345,-0.00030259195193001984,-2.10843720537205e-08,35.38690968103151,35.38721225189907
0.010423833919249191,34.70701064753329,-0.00035390826942792284,-2.884247333391062e-08,34.70665673926386,34.70701061869081
0.011209153412519959,34.076261482132566,-0.00040924165587920204,-3.8567035056644354e-08,34.075852240476685,34.07626144356553
0.011994472905790723,33.48826324789165,-0.00046859202598375013,-5.056526881729423e-08,33.48779465586567,33.48826319732638
0.01277979239906149,32.937590907277944,-0.0005319592882613796,-6.516669110903447e-08,32.93705894798968,32.937590842111256
0.013565111892332254,32.419790987990524,-0.0005993433450336387,-8.272313682450904e-08,32.41919164464549,32.419790905267384
0.014350431385603022,31.93116259866624,-0.0006707440924325746,-1.0360875925714939e-07,31.93049185457381,31.931162495057478
0.015135750878873786,31.468596864268676,-0.0007461614204104054,-1.2822003299574086e-07,31.467850702848263,31.46859673604864
0.015921070372144554,31.029457022753487,-0.0008255952127269552,-1.5697575006899624e-07,31.02863142754076,31.029456865777732
0.01670638986541532,30.61148741996504,-0.0009090453469592148,-1.9031704598461685e-07,30.61057837461808,30.61148722964799
0.017491709358686085,30.212743427898747,-0.000996511694503131,-2.2870735247983778e-07,30.21174691620424,30.212743199191397
0.018277028851956853,29.831536766526078,-0.0010879941205628044,-2.7263246695601175e-07,29.830448772405518,29.831536493893616
0.019062348345227617,29.466392336945795,-0.0011834924841608455,-3.2260049462241943e-07,29.46520884446163,29.466392014345296
0.019847667838498385,29.11601377482829,-0.0012830066381457862,-3.791418976809292e-07,29.114730768190146,29.11601339568639
0.02063298733176915,28.779255692049137,-0.0013865364291820725,-4.428094606147087e-07,28.777869155619953,28.779255249239675
0.021418306825039916,28.455101106282868,-0.0014940816977486839,-5.141783278020917e-07,28.45360702458512,28.455100592104543
0.02220362631831068,28.142642936823425,-0.0016056422781521608,-5.93845978449798e-07,28.14103729454527,28.14264234297745
0.022988945811581448,27.841068718045314,-0.0017212179985289732,-6.824322439572571e-07,27.839347500046784,27.84106803561307
0.023774265304852212,27.549647881601885,-0.0018408086808217854,-7.805793272103363e-07,27.54780707292106,27.549647101022554
0.02455958479812298,27.267721106180574,-0.001964414140820293,-8.889517630518908e-07,27.26575669203975,27.267720217228813
0.025344904291393744,26.994691344132743,-0.0020920341881229113,-1.0082364751859295e-06,26.99259930994462,26.994690335896266
0.02613022378466451,26.730016217799122,-0.002223668626169781,-1.1391427356856208e-06,26.72779254917295,26.730015078656386
0.02691554327793528,26.473201542060725,-0.0023593172522275,-1.2824021977911745e-06,26.470842224808496,26.473200259658526
0.027700862771206043,26.22379577868673,-0.002498979857389222,-1.4387688872426885e-06,26.221296798829343,26.223794339917845
